O74740	Accession	Label	Set	CV_Fold
Q07589	Q07589	0	Training	4
Q9Y7M6	Q9Y7M6	0	Training	0
Q08047	Q08047	0	Training	1
Q7YTB0	Q7YTB0	0	Training	2
Q68DK7	Q68DK7	0	Training	3
F4JZC2	F4JZC2	0	Training	4
P27716	P27716	0	Training	0
Q01981	Q01981	0	Training	1
O60729	O60729	0	Training	2
P34447	P34447	0	Training	3
Q1K6U7	Q1K6U7	0	Training	4
O43805	O43805	0	Training	0
Q6PCD5	Q6PCD5	0	Training	1
O23300	O23300	0	Training	2
O94326	O94326	0	Training	3
B4XT64	B4XT64	0	Training	4
Q38885	Q38885	0	Training	0
Q9FMM3	Q9FMM3	0	Training	1
Q9LU21	Q9LU21	0	Training	2
Q69TW5	Q69TW5	0	Training	3
Q06506	Q06506	0	Training	4
A0A140LI88	A0A140LI88	0	Training	0
Q99JZ7	Q99JZ7	0	Training	1
Q9BSF0	Q9BSF0	0	Training	2
Q06010	Q06010	0	Training	3
Q99590	Q99590	0	Training	4
O74499	O74499	0	Training	0
Q57X81	Q57X81	0	Training	1
Q22707	Q22707	0	Training	2
Q9NRR8	Q9NRR8	0	Training	3
Q8ND76	Q8ND76	0	Training	4
P81909	P81909	0	Training	0
Q04231	Q04231	0	Training	1
P32179	P32179	0	Training	2
P38883	P38883	0	Training	3
Q9VCX1	Q9VCX1	0	Training	4
Q6UXV4	Q6UXV4	0	Training	0
Q13309	Q13309	0	Training	1
A4D1E9	A4D1E9	0	Training	2
Q99417	Q99417	0	Training	3
Q90578	Q90578	0	Training	4
Q9EQW6	Q9EQW6	0	Training	0
O94614	O94614	0	Training	1
P0C2C1	P0C2C1	0	Training	2
Q15543	Q15543	0	Training	3
Q969T9	Q969T9	0	Training	4
Q86WX3	Q86WX3	0	Training	0
Q12386	Q12386	0	Training	1
Q06596	Q06596	0	Training	2
P32354	P32354	0	Training	3
Q9UIS9	Q9UIS9	0	Training	4
Q0D9C4	Q0D9C4	0	Training	0
P25651	P25651	0	Training	1
Q08580	Q08580	0	Training	2
O09130	O09130	0	Training	3
Q9S7R7	Q9S7R7	0	Training	4
Q12486	Q12486	0	Training	0
P20433	P20433	0	Training	1
P42951	P42951	0	Training	2
Q5THR3	Q5THR3	0	Training	3
Q9SX77	Q9SX77	0	Training	4
Q700C7	Q700C7	0	Training	0
P36626	P36626	0	Training	1
Q19555	Q19555	0	Training	2
Q91WK7	Q91WK7	0	Training	3
P56931	P56931	0	Training	4
O80575	O80575	0	Training	0
Q07139	Q07139	0	Training	1
P27680	P27680	0	Training	2
Q92733	Q92733	0	Training	3
O96759	O96759	0	Training	4
Q9M9F0	Q9M9F0	0	Training	0
Q9H0F6	Q9H0F6	0	Training	1
P09007	P09007	0	Training	2
Q12374	Q12374	0	Training	3
G5ECD9	G5ECD9	0	Training	4
Q69ZK0	Q69ZK0	0	Training	0
B7SXM5	B7SXM5	0	Training	1
A0A7J6KE60	A0A7J6KE60	0	Training	2
Q38CL4	Q38CL4	0	Training	3
Q969H6	Q969H6	0	Training	4
Q08058	Q08058	0	Training	0
A0MES8	A0MES8	0	Training	1
P49640	P49640	0	Training	2
Q9NBD7	Q9NBD7	0	Training	3
Q0VAA5	Q0VAA5	0	Training	4
D3ZGZ6	D3ZGZ6	0	Training	0
Q99K24	Q99K24	0	Training	1
O60231	O60231	0	Training	2
P17655	P17655	0	Training	3
Q65ZG8	Q65ZG8	0	Training	4
Q08231	Q08231	0	Training	0
Q8C886	Q8C886	0	Training	1
P32529	P32529	0	Training	2
Q9VL76	Q9VL76	0	Training	3
Q04002	Q04002	0	Training	4
P52739	P52739	0	Training	0
O15164	O15164	0	Training	1
D3ZXW3	D3ZXW3	0	Training	2
Q57UZ7	Q57UZ7	0	Training	3
O65312	O65312	0	Training	4
P53004	P53004	0	Training	0
O70239	O70239	0	Training	1
Q8K337	Q8K337	0	Training	2
O17679	O17679	0	Training	3
Q9NZM5	Q9NZM5	0	Training	4
Q60707	Q60707	0	Training	0
P55197	P55197	0	Training	1
Q9VHY5	Q9VHY5	0	Training	2
O95568	O95568	0	Training	3
P0CT67	P0CT67	0	Training	4
O43325	O43325	0	Training	0
G5EGF8	G5EGF8	0	Training	1
P54074	P54074	0	Training	2
Q3U5Q7	Q3U5Q7	0	Training	3
Q9VL14	Q9VL14	0	Training	4
Q9LK29	Q9LK29	0	Training	0
Q8GYC1	Q8GYC1	0	Training	1
Q13061	Q13061	0	Training	2
Q9UTT1	Q9UTT1	0	Training	3
P29418	P29418	0	Training	4
P40028	P40028	0	Training	0
Q8BHS6	Q8BHS6	0	Training	1
B6HLU1	B6HLU1	0	Training	2
Q8R010	Q8R010	0	Training	3
O44548	O44548	0	Training	4
Q8BH70	Q8BH70	0	Training	0
O43670	O43670	0	Training	1
Q9SSW0	Q9SSW0	0	Training	2
O74846	O74846	0	Training	3
Q96QC0	Q96QC0	0	Training	4
F4IDB2	F4IDB2	0	Training	0
P40037	P40037	0	Training	1
Q91ZE0	Q91ZE0	0	Training	2
P47057	P47057	0	Training	3
O82277	O82277	0	Training	4
Q8K4V4	Q8K4V4	0	Training	0
Q9Z110	Q9Z110	0	Training	1
O80860	O80860	0	Training	2
Q8BTW8	Q8BTW8	0	Training	3
Q9UUH6	Q9UUH6	0	Training	4
Q96GE9	Q96GE9	0	Training	0
Q54BW5	Q54BW5	0	Training	1
Q5PQZ7	Q5PQZ7	0	Training	2
Q9ZQH0	Q9ZQH0	0	Training	3
P51998	P51998	0	Training	4
Q94AX2	Q94AX2	0	Training	0
P53276	P53276	0	Training	1
P57081	P57081	0	Training	2
A0A087X1C5	A0A087X1C5	0	Training	3
O74835	O74835	0	Training	4
Q5SY16	Q5SY16	0	Training	0
Q9VW47	Q9VW47	0	Training	1
Q13216	Q13216	0	Training	2
O94664	O94664	0	Training	3
Q05021	Q05021	0	Training	4
P06180	P06180	0	Training	0
Q96T23	Q96T23	0	Training	1
Q5ICL9	Q5ICL9	0	Training	2
Q8TC26	Q8TC26	0	Training	3
Q8WV28	Q8WV28	0	Training	4
M9MRD1	M9MRD1	0	Training	0
O00154	O00154	0	Training	1
Q12341	Q12341	0	Training	2
Q22323	Q22323	0	Training	3
Q8QFR4	Q8QFR4	0	Training	4
Q8LAM0	Q8LAM0	0	Training	0
P53972	P53972	0	Training	1
Q92913	Q92913	0	Training	2
P11155	P11155	0	Training	3
P34440	P34440	0	Training	4
Q13228	Q13228	0	Training	0
Q12774	Q12774	0	Training	1
O88801	O88801	0	Training	2
Q08245	Q08245	0	Training	3
F4JYE9	F4JYE9	0	Training	4
Q9Y3C1	Q9Y3C1	0	Training	0
Q8IVH4	Q8IVH4	0	Training	1
Q84JU6	Q84JU6	0	Training	2
Q8VHT6	Q8VHT6	0	Training	3
Q9P7J2	Q9P7J2	0	Training	4
Q5SWY8	Q5SWY8	0	Training	0
Q9H790	Q9H790	0	Training	1
Q2VLK6	Q2VLK6	0	Training	2
Q9NYT0	Q9NYT0	0	Training	3
Q9JJG9	Q9JJG9	0	Training	4
Q949P2	Q949P2	0	Training	0
F4IMQ0	F4IMQ0	0	Training	1
Q3KN41	Q3KN41	0	Training	2
Q8GWP5	Q8GWP5	0	Training	3
P36954	P36954	0	Training	4
Q8LAP6	Q8LAP6	0	Training	0
Q8VY77	Q8VY77	0	Training	1
A8K830	A8K830	0	Training	2
P91645	P91645	0	Training	3
Q15464	Q15464	0	Training	4
Q9XIN0	Q9XIN0	0	Training	0
O17850	O17850	0	Training	1
P16521	P16521	0	Training	2
Q9XI46	Q9XI46	0	Training	3
P34706	P34706	0	Training	4
Q86LG1	Q86LG1	0	Training	0
O49621	O49621	0	Training	1
Q99188	Q99188	0	Training	2
P38289	P38289	0	Training	3
E9QDC5	E9QDC5	0	Training	4
Q12098	Q12098	0	Training	0
O75486	O75486	0	Training	1
Q8WXC6	Q8WXC6	0	Training	2
P57105	P57105	0	Training	3
Q06810	Q06810	0	Training	4
P0CY15	P0CY15	0	Training	0
Q5BPF3	Q5BPF3	0	Training	1
Q9JLI8	Q9JLI8	0	Training	2
P18870	P18870	0	Training	3
Q9ULJ3	Q9ULJ3	0	Training	4
Q2MHN3	Q2MHN3	0	Training	0
Q15424	Q15424	0	Training	1
A0A075TXZ8	A0A075TXZ8	0	Training	2
Q10135	Q10135	0	Training	3
Q08465	Q08465	0	Training	4
O23193	O23193	0	Training	0
Q63707	Q63707	0	Training	1
Q02521	Q02521	0	Training	2
P42073	P42073	0	Training	3
Q9VQ89	Q9VQ89	0	Training	4
Q18616	Q18616	0	Training	0
Q969F2	Q969F2	0	Training	1
Q9C900	Q9C900	0	Training	2
P15384	P15384	0	Training	3
Q924W6	Q924W6	0	Training	4
Q09685	Q09685	0	Training	0
Q9BZJ7	Q9BZJ7	0	Training	1
Q9VX31	Q9VX31	0	Training	2
O14215	O14215	0	Training	3
O59793	O59793	0	Training	4
Q708Y0	Q708Y0	0	Training	0
P11183	P11183	0	Training	1
Q7S300	Q7S300	0	Training	2
Q03063	Q03063	0	Training	3
Q13769	Q13769	0	Training	4
Q9CPZ1	Q9CPZ1	0	Training	0
P38768	P38768	0	Training	1
Q9LYB9	Q9LYB9	0	Training	2
A8CEI3	A8CEI3	0	Training	3
P24329	P24329	0	Training	4
Q08913	Q08913	0	Training	0
O74547	O74547	0	Training	1
Q9UBI1	Q9UBI1	0	Training	2
P00560	P00560	0	Training	3
Q0DEC8	Q0DEC8	0	Training	4
O09053	O09053	0	Training	0
B8BDQ4	B8BDQ4	0	Training	1
P21657	P21657	0	Training	2
P32121	P32121	0	Training	3
Q86VZ6	Q86VZ6	0	Training	4
Q9SS80	Q9SS80	0	Training	0
P40316	P40316	0	Training	1
Q9LSD0	Q9LSD0	0	Training	2
Q6P2D8	Q6P2D8	0	Training	3
M0R7Z9	M0R7Z9	0	Training	4
Q9ULR0	Q9ULR0	0	Training	0
P04842	P04842	0	Training	1
Q10164	Q10164	0	Training	2
Q925J9	Q925J9	0	Training	3
Q02204	Q02204	0	Training	4
P51826	P51826	0	Training	0
Q9VGL8	Q9VGL8	0	Training	1
O14212	O14212	0	Training	2
Q9JIB0	Q9JIB0	0	Training	3
Q52KF3	Q52KF3	0	Training	4
Q92540	Q92540	0	Training	0
Q9U1H0	Q9U1H0	0	Training	1
A1A519	A1A519	0	Training	2
P10080	P10080	0	Training	3
Q9VLD6	Q9VLD6	0	Training	4
P53846	P53846	0	Training	0
Q9Z351	Q9Z351	0	Training	1
Q9BSF4	Q9BSF4	0	Training	2
Q01454	Q01454	0	Training	3
Q940H2	Q940H2	0	Training	4
Q9Y2L1	Q9Y2L1	0	Training	0
Q5T5X7	Q5T5X7	0	Training	1
Q9VBX1	Q9VBX1	0	Training	2
Q08230	Q08230	0	Training	3
Q9C9U5	Q9C9U5	0	Training	4
O81836	O81836	0	Training	0
Q9UT91	Q9UT91	0	Training	1
Q96P67	Q96P67	0	Training	2
Q6Y685	Q6Y685	0	Training	3
Q10148	Q10148	0	Training	4
P31414	P31414	0	Training	0
P13468	P13468	0	Training	1
P38313	P38313	0	Training	2
Q8R4C2	Q8R4C2	0	Training	3
Q8TDB4	Q8TDB4	0	Training	4
Q9FGR0	Q9FGR0	0	Training	0
Q9FIC3	Q9FIC3	0	Training	1
P0CW70	P0CW70	0	Training	2
A1Z9P3	A1Z9P3	0	Training	3
G5EFF5	G5EFF5	0	Training	4
Q9NXF7	Q9NXF7	0	Training	0
Q99359	Q99359	0	Training	1
A8MUP2	A8MUP2	0	Training	2
Q9ES53	Q9ES53	0	Training	3
Q9AT00	Q9AT00	0	Training	4
Q9LSC4	Q9LSC4	0	Training	0
Q5JTC6	Q5JTC6	0	Training	1
Q9Y4F1	Q9Y4F1	0	Training	2
Q80VM7	Q80VM7	0	Training	3
Q945P0	Q945P0	0	Training	4
P04160	P04160	0	Training	0
Q93WK5	Q93WK5	0	Training	1
Q9UU79	Q9UU79	0	Training	2
Q8TDV5	Q8TDV5	0	Training	3
Q6NTE8	Q6NTE8	0	Training	4
P41695	P41695	0	Training	0
O00712	O00712	0	Training	1
P16862	P16862	0	Training	2
Q9SYM0	Q9SYM0	0	Training	3
P47977	P47977	0	Training	4
Q9PVF7	Q9PVF7	0	Training	0
P54258	P54258	0	Training	1
Q9LTS6	Q9LTS6	0	Training	2
Q03172	Q03172	0	Training	3
P55199	P55199	0	Training	4
P38863	P38863	0	Training	0
Q9NVI1	Q9NVI1	0	Training	1
Q96330	Q96330	0	Training	2
P53246	P53246	0	Training	3
P55264	P55264	0	Training	4
P53196	P53196	0	Training	0
Q55D99	Q55D99	0	Training	1
Q9DAG5	Q9DAG5	0	Training	2
Q8BVN9	Q8BVN9	0	Training	3
Q09779	Q09779	0	Training	4
Q9SMH4	Q9SMH4	0	Training	0
Q07362	Q07362	0	Training	1
Q197W8	Q197W8	0	Training	2
Q9FK23	Q9FK23	0	Training	3
P40571	P40571	0	Training	4
O00287	O00287	0	Training	0
P38783	P38783	0	Training	1
Q9UJQ4	Q9UJQ4	0	Training	2
Q9HCC0	Q9HCC0	0	Training	3
O94606	O94606	0	Training	4
P06733	P06733	0	Training	0
Q9H777	Q9H777	0	Training	1
Q9C685	Q9C685	0	Training	2
Q8LPQ5	Q8LPQ5	0	Training	3
O49290	O49290	0	Training	4
P33748	P33748	0	Training	0
P0CY08	P0CY08	0	Training	1
Q99288	Q99288	0	Training	2
Q9H0U6	Q9H0U6	0	Training	3
Q42529	Q42529	0	Training	4
Q8TF63	Q8TF63	0	Training	0
P53335	P53335	0	Training	1
D4AEP3	D4AEP3	0	Training	2
Q23794	Q23794	0	Training	3
Q94CV1	Q94CV1	0	Training	4
Q05728	Q05728	0	Training	0
P38852	P38852	0	Training	1
O43542	O43542	0	Training	2
Q9LLY4	Q9LLY4	0	Training	3
Q96NW4	Q96NW4	0	Training	4
Q3UMU9	Q3UMU9	0	Training	0
Q84TI7	Q84TI7	0	Training	1
Q08050	Q08050	0	Training	2
A0A0D1E6B3	A0A0D1E6B3	0	Training	3
Q84JH7	Q84JH7	0	Training	4
Q8S9K3	Q8S9K3	0	Training	0
O55035	O55035	0	Training	1
Q8K480	Q8K480	0	Training	2
P20618	P20618	0	Training	3
Q99383	Q99383	0	Training	4
Q9NTK1	Q9NTK1	0	Training	0
Q8TE02	Q8TE02	0	Training	1
Q9UF56	Q9UF56	0	Training	2
Q9NQT4	Q9NQT4	0	Training	3
Q9BXU7	Q9BXU7	0	Training	4
Q86WB7	Q86WB7	0	Training	0
O08816	O08816	0	Training	1
Q9I9L7	Q9I9L7	0	Training	2
P49379	P49379	0	Training	3
Q9BTF0	Q9BTF0	0	Training	4
Q9UT03	Q9UT03	0	Training	0
Q9ZVJ3	Q9ZVJ3	0	Training	1
P11171	P11171	0	Training	2
E3SCZ8	E3SCZ8	0	Training	3
O94687	O94687	0	Training	4
Q96GM8	Q96GM8	0	Training	0
A0PJW6	A0PJW6	0	Training	1
O74309	O74309	0	Training	2
O14114	O14114	0	Training	3
P49728	P49728	0	Training	4
P86452	P86452	0	Training	0
Q96CW1	Q96CW1	0	Training	1
Q53EK2	Q53EK2	0	Training	2
Q86SP6	Q86SP6	0	Training	3
Q9NZI6	Q9NZI6	0	Training	4
Q3UMZ3	Q3UMZ3	0	Training	0
Q9SQU2	Q9SQU2	0	Training	1
P40465	P40465	0	Training	2
Q9Y3U8	Q9Y3U8	0	Training	3
Q03124	Q03124	0	Training	4
Q9NZ81	Q9NZ81	0	Training	0
Q09725	Q09725	0	Training	1
O96622	O96622	0	Training	2
Q8GZ52	Q8GZ52	0	Training	3
P53930	P53930	0	Training	4
Q6UWZ7	Q6UWZ7	0	Training	0
Q9NPJ1	Q9NPJ1	0	Training	1
Q9P6M0	Q9P6M0	0	Training	2
Q12318	Q12318	0	Training	3
Q07930	Q07930	0	Training	4
Q9NQW7	Q9NQW7	0	Training	0
P97577	P97577	0	Training	1
Q5JWF2	Q5JWF2	0	Training	2
P40502	P40502	0	Training	3
P78417	P78417	0	Training	4
Q12416	Q12416	0	Training	0
Q9VAW5	Q9VAW5	0	Training	1
Q652K4	Q652K4	0	Training	2
Q9FLT9	Q9FLT9	0	Training	3
Q92629	Q92629	0	Training	4
Q8GZ79	Q8GZ79	0	Training	0
Q9VAH9	Q9VAH9	0	Training	1
Q9VR38	Q9VR38	0	Training	2
Q6PEM8	Q6PEM8	0	Training	3
E9EXC4	E9EXC4	0	Training	4
Q8S1D9	Q8S1D9	0	Training	0
P30419	P30419	0	Training	1
Q96AH0	Q96AH0	0	Training	2
Q0IGK1	Q0IGK1	0	Training	3
B2RWS6	B2RWS6	0	Training	4
F4ITM1	F4ITM1	0	Training	0
Q9SY88	Q9SY88	0	Training	1
Q6PRD7	Q6PRD7	0	Training	2
Q9HEV5	Q9HEV5	0	Training	3
Q8W4B2	Q8W4B2	0	Training	4
Q0WP44	Q0WP44	0	Training	0
P38297	P38297	0	Training	1
Q0VG06	Q0VG06	0	Training	2
Q99315	Q99315	0	Training	3
P38199	P38199	0	Training	4
Q5IBH7	Q5IBH7	0	Training	0
Q8NEY8	Q8NEY8	0	Training	1
Q1MTN9	Q1MTN9	0	Training	2
Q39249	Q39249	0	Training	3
Q5SFM8	Q5SFM8	0	Training	4
P79005	P79005	0	Training	0
Q6DBA5	Q6DBA5	0	Training	1
Q6PCN7	Q6PCN7	0	Training	2
Q01593	Q01593	0	Training	3
Q21691	Q21691	0	Training	4
Q969X0	Q969X0	0	Training	0
P07253	P07253	0	Training	1
A0A096MJY4	A0A096MJY4	0	Training	2
P27895	P27895	0	Training	3
Q9ZWA1	Q9ZWA1	0	Training	4
P60002	P60002	0	Training	0
Q94AC8	Q94AC8	0	Training	1
O62090	O62090	0	Training	2
P32318	P32318	0	Training	3
Q8HTL5	Q8HTL5	0	Training	4
Q9USZ4	Q9USZ4	0	Training	0
O74954	O74954	0	Training	1
Q4V8P4	Q4V8P4	0	Training	2
Q9HB75	Q9HB75	0	Training	3
Q9XI19	Q9XI19	0	Training	4
P42844	P42844	0	Training	0
P40065	P40065	0	Training	1
Q9H2W6	Q9H2W6	0	Training	2
Q811D2	Q811D2	0	Training	3
B2D6M2	B2D6M2	0	Training	4
Q8IWS0	Q8IWS0	0	Training	0
P87052	P87052	0	Training	1
P13637	P13637	0	Training	2
P29350	P29350	0	Training	3
O02696	O02696	0	Training	4
P53568	P53568	0	Training	0
Q9UTI3	Q9UTI3	0	Training	1
Q5AMH6	Q5AMH6	0	Training	2
Q96FX2	Q96FX2	0	Training	3
Q14061	Q14061	0	Training	4
P48995	P48995	0	Training	0
P46939	P46939	0	Training	1
Q9FNN6	Q9FNN6	0	Training	2
Q6P5E8	Q6P5E8	0	Training	3
Q0DRX6	Q0DRX6	0	Training	4
Q9UU83	Q9UU83	0	Training	0
Q04226	Q04226	0	Training	1
Q62417	Q62417	0	Training	2
O42936	O42936	0	Training	3
Q02873	Q02873	0	Training	4
Q8IWL3	Q8IWL3	0	Training	0
Q9UID6	Q9UID6	0	Training	1
G5EE01	G5EE01	0	Training	2
P53913	P53913	0	Training	3
Q9Y512	Q9Y512	0	Training	4
Q9Z1B8	Q9Z1B8	0	Training	0
Q9UPX6	Q9UPX6	0	Training	1
O75817	O75817	0	Training	2
Q1MTQ7	Q1MTQ7	0	Training	3
P54790	P54790	0	Training	4
Q41811	Q41811	0	Training	0
Q9U3D6	Q9U3D6	0	Training	1
P53869	P53869	0	Training	2
Q8N6F7	Q8N6F7	0	Training	3
P28005	P28005	0	Training	4
Q04087	Q04087	0	Training	0
O94418	O94418	0	Training	1
Q96EB1	Q96EB1	0	Training	2
Q9C108	Q9C108	0	Training	3
Q9UKN8	Q9UKN8	0	Training	4
O94653	O94653	0	Training	0
P47140	P47140	0	Training	1
O94993	O94993	0	Training	2
P53352	P53352	0	Training	3
Q56Y52	Q56Y52	0	Training	4
O23077	O23077	0	Training	0
G5EF48	G5EF48	0	Training	1
P48552	P48552	0	Training	2
Q8RWV8	Q8RWV8	0	Training	3
Q9BSI4	Q9BSI4	0	Training	4
Q03112	Q03112	0	Training	0
O36024	O36024	0	Training	1
C8KI33	C8KI33	0	Training	2
Q04603	Q04603	0	Training	3
Q10414	Q10414	0	Training	4
Q9Y6J0	Q9Y6J0	0	Training	0
P08659	P08659	0	Training	1
Q06182	Q06182	0	Training	2
Q12510	Q12510	0	Training	3
Q8IHY1	Q8IHY1	0	Training	4
Q15785	Q15785	0	Training	0
Q9BQS6	Q9BQS6	0	Training	1
P62750	P62750	0	Training	2
Q3UHF7	Q3UHF7	0	Training	3
A0A0D2Y5A7	A0A0D2Y5A7	0	Training	4
F4I9G2	F4I9G2	0	Training	0
Q94BU8	Q94BU8	0	Training	1
P32851	P32851	0	Training	2
Q3SXM5	Q3SXM5	0	Training	3
Q14973	Q14973	0	Training	4
Q04839	Q04839	0	Training	0
O81775	O81775	0	Training	1
O45952	O45952	0	Training	2
Q95ZL9	Q95ZL9	0	Training	3
Q3V0B4	Q3V0B4	0	Training	4
P53298	P53298	0	Training	0
Q8RWH9	Q8RWH9	0	Training	1
Q64727	Q64727	0	Training	2
Q9S850	Q9S850	0	Training	3
Q9S7Z2	Q9S7Z2	0	Training	4
Q14694	Q14694	0	Training	0
P40997	P40997	0	Training	1
Q8R4U1	Q8R4U1	0	Training	2
P13618	P13618	0	Training	3
Q9NZM4	Q9NZM4	0	Training	4
Q8R4T5	Q8R4T5	0	Training	0
P23351	P23351	0	Training	1
Q6C354	Q6C354	0	Training	2
A9JRD8	A9JRD8	0	Training	3
A2A884	A2A884	0	Training	4
Q8GYD9	Q8GYD9	0	Training	0
P50077	P50077	0	Training	1
Q8L794	Q8L794	0	Training	2
O14880	O14880	0	Training	3
Q9SYD8	Q9SYD8	0	Training	4
Q9H4I3	Q9H4I3	0	Training	0
P34427	P34427	0	Training	1
A0A075TMP0	A0A075TMP0	0	Training	2
V5IQE0	V5IQE0	0	Training	3
P08153	P08153	0	Training	4
Q09146	Q09146	0	Training	0
Q27607	Q27607	0	Training	1
O24164	O24164	0	Training	2
P56378	P56378	0	Training	3
O60104	O60104	0	Training	4
Q9UHH9	Q9UHH9	0	Training	0
P14284	P14284	0	Training	1
P18491	P18491	0	Training	2
Q9Y421	Q9Y421	0	Training	3
P22265	P22265	0	Training	4
Q8NCG7	Q8NCG7	0	Training	0
O80536	O80536	0	Training	1
Q9U2M1	Q9U2M1	0	Training	2
Q15834	Q15834	0	Training	3
P29144	P29144	0	Training	4
Q9Y118	Q9Y118	0	Training	0
P53239	P53239	0	Training	1
P10795	P10795	0	Training	2
Q56VL3	Q56VL3	0	Training	3
O94580	O94580	0	Training	4
Q92794	Q92794	0	Training	0
Q9BRG1	Q9BRG1	0	Training	1
O43918	O43918	0	Training	2
P25032	P25032	0	Training	3
P03888	P03888	0	Training	4
Q91XT6	Q91XT6	0	Training	0
F4KBW6	F4KBW6	0	Training	1
Q91YE8	Q91YE8	0	Training	2
Q8WUF5	Q8WUF5	0	Training	3
Q4L180	Q4L180	0	Training	4
Q8VY21	Q8VY21	0	Training	0
P40087	P40087	0	Training	1
P38283	P38283	0	Training	2
Q06991	Q06991	0	Training	3
Q62384	Q62384	0	Training	4
Q9BUV0	Q9BUV0	0	Training	0
Q06338	Q06338	0	Training	1
Q09967	Q09967	0	Training	2
A0A2I0C2C6	A0A2I0C2C6	0	Training	3
P07246	P07246	0	Training	4
Q9ERH4	Q9ERH4	0	Training	0
O43813	O43813	0	Training	1
P28776	P28776	0	Training	2
Q3KNY0	Q3KNY0	0	Training	3
Q02884	Q02884	0	Training	4
P20084	P20084	0	Training	0
Q3TN34	Q3TN34	0	Training	1
Q76NM6	Q76NM6	0	Training	2
Q84LG2	Q84LG2	0	Training	3
P33418	P33418	0	Training	4
Q99MZ3	Q99MZ3	0	Training	0
P0CJ62	P0CJ62	0	Training	1
Q2NNE0	Q2NNE0	0	Training	2
P36144	P36144	0	Training	3
O43396	O43396	0	Training	4
Q04748	Q04748	0	Training	0
P00480	P00480	0	Training	1
P28715	P28715	0	Training	2
Q32P44	Q32P44	0	Training	3
Q04110	Q04110	0	Training	4
O94643	O94643	0	Training	0
Q8WVM0	Q8WVM0	0	Training	1
Q6PCM1	Q6PCM1	0	Training	2
Q9FZ89	Q9FZ89	0	Training	3
Q99ML0	Q99ML0	0	Training	4
O94259	O94259	0	Training	0
A0A0D1CVS5	A0A0D1CVS5	0	Training	1
P07248	P07248	0	Training	2
Q9C666	Q9C666	0	Training	3
Q15723	Q15723	0	Training	4
Q7S711	Q7S711	0	Training	0
O81098	O81098	0	Training	1
Q8BGW0	Q8BGW0	0	Training	2
Q07897	Q07897	0	Training	3
Q9W4N2	Q9W4N2	0	Training	4
Q8BX46	Q8BX46	0	Training	0
P30989	P30989	0	Training	1
Q10429	Q10429	0	Training	2
O94888	O94888	0	Training	3
Q96L50	Q96L50	0	Training	4
Q5SYB0	Q5SYB0	0	Training	0
Q6DGH9	Q6DGH9	0	Training	1
Q8K0E1	Q8K0E1	0	Training	2
Q9SU05	Q9SU05	0	Training	3
Q55FB8	Q55FB8	0	Training	4
P35201	P35201	0	Training	0
Q1ENB6	Q1ENB6	0	Training	1
Q3MK94	Q3MK94	0	Training	2
P15924	P15924	0	Training	3
Q9NWW0	Q9NWW0	0	Training	4
O15014	O15014	0	Training	0
Q9QZU4	Q9QZU4	0	Training	1
P48268	P48268	0	Training	2
Q96EY5	Q96EY5	0	Training	3
O75056	O75056	0	Training	4
Q9H9P8	Q9H9P8	0	Training	0
Q7ZW57	Q7ZW57	0	Training	1
Q6ZVD7	Q6ZVD7	0	Training	2
Q9FZF1	Q9FZF1	0	Training	3
P60896	P60896	0	Training	4
P81449	P81449	0	Training	0
Q8GY61	Q8GY61	0	Training	1
O49687	O49687	0	Training	2
A1Z830	A1Z830	0	Training	3
P27338	P27338	0	Training	4
A4D2B0	A4D2B0	0	Training	0
Q08558	Q08558	0	Training	1
P36036	P36036	0	Training	2
Q9LJG6	Q9LJG6	0	Training	3
F4JZG9	F4JZG9	0	Training	4
Q8GUL2	Q8GUL2	0	Training	0
Q5VZK9	Q5VZK9	0	Training	1
Q04922	Q04922	0	Training	2
Q9BRP8	Q9BRP8	0	Training	3
Q8I615	Q8I615	0	Training	4
O75127	O75127	0	Training	0
Q9NTM9	Q9NTM9	0	Training	1
P34766	P34766	0	Training	2
P17341	P17341	0	Training	3
Q6VAK4	Q6VAK4	0	Training	4
Q00497	Q00497	0	Training	0
Q7Z6G3	Q7Z6G3	0	Training	1
Q9SM57	Q9SM57	0	Training	2
P11498	P11498	0	Training	3
O60934	O60934	0	Training	4
Q96HW7	Q96HW7	0	Training	0
P32800	P32800	0	Training	1
P32792	P32792	0	Training	2
Q3E7A8	Q3E7A8	0	Training	3
Q8CC88	Q8CC88	0	Training	4
Q42564	Q42564	0	Training	0
Q9VK33	Q9VK33	0	Training	1
Q05048	Q05048	0	Training	2
Q8N328	Q8N328	0	Training	3
Q94JV5	Q94JV5	0	Training	4
P40999	P40999	0	Training	0
P05982	P05982	0	Training	1
P39979	P39979	0	Training	2
Q96IL0	Q96IL0	0	Training	3
O23875	O23875	0	Training	4
P49815	P49815	0	Training	0
Q9Y5W9	Q9Y5W9	0	Training	1
Q45VK7	Q45VK7	0	Training	2
Q6NZQ4	Q6NZQ4	0	Training	3
Q8IV76	Q8IV76	0	Training	4
Q08421	Q08421	0	Training	0
Q8IUR7	Q8IUR7	0	Training	1
Q8BMA3	Q8BMA3	0	Training	2
Q5BAH2	Q5BAH2	0	Training	3
Q9NRN7	Q9NRN7	0	Training	4
Q9NQ31	Q9NQ31	0	Training	0
Q2NL27	Q2NL27	0	Training	1
P53119	P53119	0	Training	2
Q6L5B5	Q6L5B5	0	Training	3
Q03834	Q03834	0	Training	4
