Q12396	Accession	Label	Set	CV_Fold	O74740
	A0A7J6K338	0	Training	0	A0A7J6K338
	Q12420	0	Training	1	Q12420
	Q8L7F7	0	Training	2	Q8L7F7
	Q8IXW5	0	Training	3	Q8IXW5
	P14066	0	Training	4	P14066
	Q9NZ63	0	Training	0	Q9NZ63
	Q80Z30	0	Training	1	Q80Z30
	Q23405	0	Training	2	Q23405
	P28066	0	Training	3	P28066
	Q9VEC1	0	Training	4	Q9VEC1
	P32843	0	Training	0	P32843
	Q10274	0	Training	1	Q10274
	Q9ESJ1	0	Training	2	Q9ESJ1
	O78750	0	Training	3	O78750
	Q9Y314	0	Training	4	Q9Y314
	Q9FFF5	0	Training	0	Q9FFF5
	Q80WB5	0	Training	1	Q80WB5
	P22293	0	Training	2	P22293
	Q6P3S6	0	Training	3	Q6P3S6
	P0DPI2	0	Training	4	P0DPI2
	Q96DE5	0	Training	0	Q96DE5
	Q8NAV1	0	Training	1	Q8NAV1
	Q9UST6	0	Training	2	Q9UST6
	Q03654	0	Training	3	Q03654
	P38169	0	Training	4	P38169
	Q8GT74	0	Training	0	Q8GT74
	Q8L7E9	0	Training	1	Q8L7E9
	C6SZ50	0	Training	2	C6SZ50
	P53107	0	Training	3	P53107
	Q99816	0	Training	4	Q99816
	Q5TAX3	0	Training	0	Q5TAX3
	O35914	0	Training	1	O35914
	Q8N9N2	0	Training	2	Q8N9N2
	Q9UDX5	0	Training	3	Q9UDX5
	Q96255	0	Training	4	Q96255
	P09114	0	Training	0	P09114
	O60284	0	Training	1	O60284
	Q99JT1	0	Training	2	Q99JT1
	O94258	0	Training	3	O94258
	Q3HNG7	0	Training	4	Q3HNG7
	Q15388	0	Training	0	Q15388
	Q6P4F7	0	Training	1	Q6P4F7
	Q84TH4	0	Training	2	Q84TH4
	O94311	0	Training	3	O94311
	Q7SB95	0	Training	4	Q7SB95
	B2C6R6	0	Training	0	B2C6R6
	P05549	0	Training	1	P05549
	Q59H18	0	Training	2	Q59H18
	Q3E6R5	0	Training	3	Q3E6R5
	Q27539	0	Training	4	Q27539
	O02751	0	Training	0	O02751
	Q9BUE6	0	Training	1	Q9BUE6
	Q567V2	0	Training	2	Q567V2
	P43583	0	Training	3	P43583
	Q5JNS0	0	Training	4	Q5JNS0
	P36159	0	Training	0	P36159
	O82264	0	Training	1	O82264
	P42566	0	Training	2	P42566
	P35639	0	Training	3	P35639
	Q9DCX2	0	Training	4	Q9DCX2
	P56216	0	Training	0	P56216
	O95696	0	Training	1	O95696
	Q8N684	0	Training	2	Q8N684
	P46781	0	Training	3	P46781
	Q92766	0	Training	4	Q92766
	Q9Y0E4	0	Training	0	Q9Y0E4
	Q8LLD0	0	Training	1	Q8LLD0
	Q38AH0	0	Training	2	Q38AH0
	Q9H633	0	Training	3	Q9H633
	Q08622	0	Training	4	Q08622
	Q3TLD5	0	Training	0	Q3TLD5
	A0A8I6ASZ5	0	Training	1	A0A8I6ASZ5
	Q96I36	0	Training	2	Q96I36
	Q9Y808	0	Training	3	Q9Y808
	O80669	0	Training	4	O80669
	Q9JJK4	0	Training	0	Q9JJK4
	O95751	0	Training	1	O95751
	Q8H1D4	0	Training	2	Q8H1D4
	Q9SK71	0	Training	3	Q9SK71
	Q8WXE1	0	Training	4	Q8WXE1
	O75132	0	Training	0	O75132
	Q9Z0P4	0	Training	1	Q9Z0P4
	B3H5K9	0	Training	2	B3H5K9
	Q9GYS1	0	Training	3	Q9GYS1
	P40023	0	Training	4	P40023
	Q9ZPX5	0	Training	0	Q9ZPX5
	Q8GWA2	0	Training	1	Q8GWA2
	Q53GL0	0	Training	2	Q53GL0
	P46962	0	Training	3	P46962
	O96626	0	Training	4	O96626
	Q8SX83	0	Training	0	Q8SX83
	Q94165	0	Training	1	Q94165
	Q01962	0	Training	2	Q01962
	Q20591	0	Training	3	Q20591
	Q9H4M9	0	Training	4	Q9H4M9
	Q9CQE1	0	Training	0	Q9CQE1
	Q96L08	0	Training	1	Q96L08
	Q9S7W5	0	Training	2	Q9S7W5
	P36543	0	Training	3	P36543
	Q8WW38	0	Training	4	Q8WW38
	P35658	0	Training	0	P35658
	Q18909	0	Training	1	Q18909
	Q9Y2K1	0	Training	2	Q9Y2K1
	Q6VNB8	0	Training	3	Q6VNB8
	P16547	0	Training	4	P16547
	Q05979	0	Training	0	Q05979
	Q9Y5U2	0	Training	1	Q9Y5U2
	Q6PB70	0	Training	2	Q6PB70
	Q15911	0	Training	3	Q15911
	P18074	0	Training	4	P18074
	P18887	0	Training	0	P18887
	Q6NLQ7	0	Training	1	Q6NLQ7
	P47979	0	Training	2	P47979
	Q969V5	0	Training	3	Q969V5
	A8MQL1	0	Training	4	A8MQL1
	G8B839	0	Training	0	G8B839
	P41814	0	Training	1	P41814
	Q09823	0	Training	2	Q09823
	P03874	0	Training	3	P03874
	Q9UDW3	0	Training	4	Q9UDW3
	Q9NWY4	0	Training	0	Q9NWY4
	Q9P1Z0	0	Training	1	Q9P1Z0
	O80506	0	Training	2	O80506
	P0CU09	0	Training	3	P0CU09
	Q9SNC0	0	Training	4	Q9SNC0
	P01129	0	Training	0	P01129
	Q9XFT3	0	Training	1	Q9XFT3
	Q923S6	0	Training	2	Q923S6
	Q91YJ3	0	Training	3	Q91YJ3
	Q9LVI9	0	Training	4	Q9LVI9
	Q9UQ84	0	Training	0	Q9UQ84
	P38812	0	Training	1	P38812
	Q9LG26	0	Training	2	Q9LG26
	Q20977	0	Training	3	Q20977
	Q96BY2	0	Training	4	Q96BY2
	O02219	0	Training	0	O02219
	P16371	0	Training	1	P16371
	Q8IYM2	0	Training	2	Q8IYM2
	P87315	0	Training	3	P87315
	A0A2K8FQU5	0	Training	4	A0A2K8FQU5
	P40364	0	Training	0	P40364
	Q3EBC8	0	Training	1	Q3EBC8
	Q9FIE3	0	Training	2	Q9FIE3
	Q9VXG1	0	Training	3	Q9VXG1
	P25637	0	Training	4	P25637
	Q9SEL7	0	Training	0	Q9SEL7
	Q96IZ0	0	Training	1	Q96IZ0
	Q8N4Q1	0	Training	2	Q8N4Q1
	O42648	0	Training	3	O42648
	P49903	0	Training	4	P49903
	Q9GTP4	0	Training	0	Q9GTP4
	P34247	0	Training	1	P34247
	P12354	0	Training	2	P12354
	Q9AYU1	0	Training	3	Q9AYU1
	P53061	0	Training	4	P53061
	Q96BI1	0	Training	0	Q96BI1
	P38874	0	Training	1	P38874
	Q8N3V7	0	Training	2	Q8N3V7
	Q17990	0	Training	3	Q17990
	P20052	0	Training	4	P20052
	Q12219	0	Training	0	Q12219
	Q09904	0	Training	1	Q09904
	A6NFN3	0	Training	2	A6NFN3
	O43812	0	Training	3	O43812
	O94585	0	Training	4	O94585
	P31228	0	Training	0	P31228
	Q9CPP6	0	Training	1	Q9CPP6
	O76906	0	Training	2	O76906
	Q80ZQ9	0	Training	3	Q80ZQ9
	Q07794	0	Training	4	Q07794
	P46310	0	Training	0	P46310
	Q06324	0	Training	1	Q06324
	Q8WW12	0	Training	2	Q8WW12
	Q8W4B1	0	Training	3	Q8W4B1
	Q8N5M1	0	Training	4	Q8N5M1
	Q03799	0	Training	0	Q03799
	Q99L02	0	Training	1	Q99L02
	P38870	0	Training	2	P38870
	Q84LM4	0	Training	3	Q84LM4
	Q8L983	0	Training	4	Q8L983
	Q9LW00	0	Training	0	Q9LW00
	P21306	0	Training	1	P21306
	Q84VQ4	0	Training	2	Q84VQ4
	Q8L9X2	0	Training	3	Q8L9X2
	Q99929	0	Training	4	Q99929
	Q9CWR0	0	Training	0	Q9CWR0
	Q8N7A1	0	Training	1	Q8N7A1
	Q2TAK8	0	Training	2	Q2TAK8
	A0A509APT1	0	Training	3	A0A509APT1
	O23722	0	Training	4	O23722
	P46946	0	Training	0	P46946
	Q13772	0	Training	1	Q13772
	O14894	0	Training	2	O14894
	O14336	0	Training	3	O14336
	Q02223	0	Training	4	Q02223
	Q14CB8	0	Training	0	Q14CB8
	Q3T9M1	0	Training	1	Q3T9M1
	Q969V6	0	Training	2	Q969V6
	P28007	0	Training	3	P28007
	Q02959	0	Training	4	Q02959
	Q9FYS5	0	Training	0	Q9FYS5
	Q15916	0	Training	1	Q15916
	Q8IYL3	0	Training	2	Q8IYL3
	P53834	0	Training	3	P53834
	O23813	0	Training	4	O23813
	Q86W54	0	Training	0	Q86W54
	Q9M8S7	0	Training	1	Q9M8S7
	P25008	0	Training	2	P25008
	Q8CII8	0	Training	3	Q8CII8
	P40467	0	Training	4	P40467
	F4JRB0	0	Training	0	F4JRB0
	Q8ISM1	0	Training	1	Q8ISM1
	Q80Z37	0	Training	2	Q80Z37
	P59382	0	Training	3	P59382
	Q7M6Y2	0	Training	4	Q7M6Y2
	Q39056	0	Training	0	Q39056
	Q9SR77	0	Training	1	Q9SR77
	Q9ZQI7	0	Training	2	Q9ZQI7
	Q9VDV3	0	Training	3	Q9VDV3
	Q6BDR8	0	Training	4	Q6BDR8
	Q9CAF5	0	Training	0	Q9CAF5
	P33749	0	Training	1	P33749
	I1RC73	0	Training	2	I1RC73
	Q0QWG9	0	Training	3	Q0QWG9
	Q96IX5	0	Training	4	Q96IX5
	Q8CJ26	0	Training	0	Q8CJ26
	Q0JHU5	0	Training	1	Q0JHU5
	F4J284	0	Training	2	F4J284
	P83565	0	Training	3	P83565
	Q9VYX1	0	Training	4	Q9VYX1
	Q9C103	0	Training	0	Q9C103
	Q9BW91	0	Training	1	Q9BW91
	Q03254	0	Training	2	Q03254
	P40055	0	Training	3	P40055
	Q9M390	0	Training	4	Q9M390
	O77408	0	Training	0	O77408
	Q5AJU7	0	Training	1	Q5AJU7
	G1UH28	0	Training	2	G1UH28
	P14164	0	Training	3	P14164
	Q9XI73	0	Training	4	Q9XI73
	Q53H47	0	Training	0	Q53H47
	Q9Y5S8	0	Training	1	Q9Y5S8
	Q8NDX5	0	Training	2	Q8NDX5
	Q8TDR4	0	Training	3	Q8TDR4
	Q7S5N0	0	Training	4	Q7S5N0
	P97376	0	Training	0	P97376
	P38262	0	Training	1	P38262
	Q9M1X2	0	Training	2	Q9M1X2
	Q8WWC4	0	Training	3	Q8WWC4
	Q9SU71	0	Training	4	Q9SU71
	Q9LRI8	0	Training	0	Q9LRI8
	Q9Y7N1	0	Training	1	Q9Y7N1
	P47035	0	Training	2	P47035
	Q9UU99	0	Training	3	Q9UU99
	Q4KLP8	0	Training	4	Q4KLP8
	A0A0N7KIY3	0	Training	0	A0A0N7KIY3
	E5KBU3	0	Training	1	E5KBU3
	Q9V3H8	0	Training	2	Q9V3H8
	Q12038	0	Training	3	Q12038
	F4HZG9	0	Training	4	F4HZG9
	Q09847	0	Training	0	Q09847
	P91853	0	Training	1	P91853
	Q94AV5	0	Training	2	Q94AV5
	Q6ZRQ5	0	Training	3	Q6ZRQ5
	P62277	0	Training	4	P62277
	Q8NI35	0	Training	0	Q8NI35
	Q569Z6	0	Training	1	Q569Z6
	Q9R1X4	0	Training	2	Q9R1X4
	H2KYU6	0	Training	3	H2KYU6
	Q9SID1	0	Training	4	Q9SID1
	Q03973	0	Training	0	Q03973
	O82645	0	Training	1	O82645
	P32380	0	Training	2	P32380
	O14503	0	Training	3	O14503
	O23945	0	Training	4	O23945
	Q18412	0	Training	0	Q18412
	Q9FNZ4	0	Training	1	Q9FNZ4
	Q9M297	0	Training	2	Q9M297
	Q9Y6G5	0	Training	3	Q9Y6G5
	P38848	0	Training	4	P38848
	Q9JIX9	0	Training	0	Q9JIX9
	O60053	0	Training	1	O60053
	Q8CD10	0	Training	2	Q8CD10
	P09087	0	Training	3	P09087
	Q8N8Q8	0	Training	4	Q8N8Q8
	Q9W3E2	0	Training	0	Q9W3E2
	P70444	0	Training	1	P70444
	Q93VP3	0	Training	2	Q93VP3
	Q9NVT9	0	Training	3	Q9NVT9
	Q0WV90	0	Training	4	Q0WV90
	Q86Y01	0	Training	0	Q86Y01
	Q86VI4	0	Training	1	Q86VI4
	Q6ZRS2	0	Training	2	Q6ZRS2
	Q9SR62	0	Training	3	Q9SR62
	O95180	0	Training	4	O95180
	Q9TYY7	0	Training	0	Q9TYY7
	Q6Q547	0	Training	1	Q6Q547
	Q42687	0	Training	2	Q42687
	Q0VGT2	0	Training	3	Q0VGT2
	Q1MTQ0	0	Training	4	Q1MTQ0
	P70399	0	Training	0	P70399
	P93203	0	Training	1	P93203
	Q13426	0	Training	2	Q13426
	Q9VHI4	0	Training	3	Q9VHI4
	P46947	0	Training	4	P46947
	P32314	0	Training	0	P32314
	Q9LLC6	0	Training	1	Q9LLC6
	P34226	0	Training	2	P34226
	Q6ZBH6	0	Training	3	Q6ZBH6
	Q96QF0	0	Training	4	Q96QF0
	A0A5K7RLP0	0	Training	0	A0A5K7RLP0
	O04479	0	Training	1	O04479
	Q9D5U8	0	Training	2	Q9D5U8
	Q9UGP4	0	Training	3	Q9UGP4
	Q9H2X8	0	Training	4	Q9H2X8
	Q9FY74	0	Training	0	Q9FY74
	E9F591	0	Training	1	E9F591
	P13804	0	Training	2	P13804
	Q94FY8	0	Training	3	Q94FY8
	Q9H9P5	0	Training	4	Q9H9P5
	P43558	0	Training	0	P43558
	P19955	0	Training	1	P19955
	P53208	0	Training	2	P53208
	Q2EMV9	0	Training	3	Q2EMV9
	Q04779	0	Training	4	Q04779
	Q9BWF2	0	Training	0	Q9BWF2
	Q9V4P1	0	Training	1	Q9V4P1
	G5EEH9	0	Training	2	G5EEH9
	P58753	0	Training	3	P58753
	Q9FHK4	0	Training	4	Q9FHK4
	Q9FLD5	0	Training	0	Q9FLD5
	Q8R5A3	0	Training	1	Q8R5A3
	Q05050	0	Training	2	Q05050
	G5EEV2	0	Training	3	G5EEV2
	P06813	0	Training	4	P06813
	Q9SRP6	0	Training	0	Q9SRP6
	Q9SSE9	0	Training	1	Q9SSE9
	Q6UWF3	0	Training	2	Q6UWF3
	O88291	0	Training	3	O88291
	Q99LW6	0	Training	4	Q99LW6
	Q12400	0	Training	0	Q12400
	P53332	0	Training	1	P53332
	Q8BZA9	0	Training	2	Q8BZA9
	Q9BY27	0	Training	3	Q9BY27
	O13612	0	Training	4	O13612
	Q9I7K6	0	Training	0	Q9I7K6
	Q6GYP7	0	Training	1	Q6GYP7
	Q8NBF2	0	Training	2	Q8NBF2
	Q13336	0	Training	3	Q13336
	P47821	0	Training	4	P47821
	Q9NZQ3	0	Training	0	Q9NZQ3
	Q7XA78	0	Training	1	Q7XA78
	O42855	0	Training	2	O42855
	Q8IWL8	0	Training	3	Q8IWL8
	Q9H875	0	Training	4	Q9H875
	P34224	0	Training	0	P34224
	Q9XZ34	0	Training	1	Q9XZ34
	P29692	0	Training	2	P29692
	Q15287	0	Training	3	Q15287
	Q5SNT2	0	Training	4	Q5SNT2
	Q9NYG5	0	Training	0	Q9NYG5
	P40063	0	Training	1	P40063
	Q9BXL8	0	Training	2	Q9BXL8
	Q9SK50	0	Training	3	Q9SK50
	Q9LVA9	0	Training	4	Q9LVA9
	P06652	0	Training	0	P06652
	G2TRN4	0	Training	1	G2TRN4
	Q6C6R8	0	Training	2	Q6C6R8
	Q61464	0	Training	3	Q61464
	Q9BRT3	0	Training	4	Q9BRT3
	Q9LRB7	0	Training	0	Q9LRB7
	Q70Z53	0	Training	1	Q70Z53
	O94468	0	Training	2	O94468
	Q6TA49	0	Training	3	Q6TA49
	Q8GWQ6	0	Training	4	Q8GWQ6
	O74387	0	Training	0	O74387
	O60356	0	Training	1	O60356
	Q10R09	0	Training	2	Q10R09
	Q12507	0	Training	3	Q12507
	Q9ULV3	0	Training	4	Q9ULV3
	Q9M3K7	0	Training	0	Q9M3K7
	P06774	0	Training	1	P06774
	Q07799	0	Training	2	Q07799
	Q7Z418	0	Training	3	Q7Z418
	Q9LVG4	0	Training	4	Q9LVG4
	Q8WVC0	0	Training	0	Q8WVC0
	Q14154	0	Training	1	Q14154
	Q80WE1	0	Training	2	Q80WE1
	P19263	0	Training	3	P19263
	Q9XIB5	0	Training	4	Q9XIB5
	Q9LMK5	0	Training	0	Q9LMK5
	Q9FQ08	0	Training	1	Q9FQ08
	Q5XF07	0	Training	2	Q5XF07
	Q9BQG0	0	Training	3	Q9BQG0
	Q12080	0	Training	4	Q12080
	P79015	0	Training	0	P79015
	P40757	0	Training	1	P40757
	Q12734	0	Training	2	Q12734
	Q8K0U4	0	Training	3	Q8K0U4
	P23611	0	Training	4	P23611
	O60164	0	Training	0	O60164
	Q9H5J8	0	Training	1	Q9H5J8
	O95477	0	Training	2	O95477
	P70582	0	Training	3	P70582
	Q96QE3	0	Training	4	Q96QE3
	Q9W603	0	Training	0	Q9W603
	Q9US52	0	Training	1	Q9US52
	Q680Q4	0	Training	2	Q680Q4
	Q03111	0	Training	3	Q03111
	Q9UJA2	0	Training	4	Q9UJA2
	P47002	0	Training	0	P47002
	O75920	0	Training	1	O75920
	P39713	0	Training	2	P39713
	Q9ULP9	0	Training	3	Q9ULP9
	Q96P16	0	Training	4	Q96P16
	Q03327	0	Training	0	Q03327
	O59757	0	Training	1	O59757
	P50479	0	Training	2	P50479
	Q07688	0	Training	3	Q07688
	Q8NCN2	0	Training	4	Q8NCN2
	Q8N668	0	Training	0	Q8N668
	P82137	0	Training	1	P82137
	P40850	0	Training	2	P40850
	Q9S9Z2	0	Training	3	Q9S9Z2
	P0CT69	0	Training	4	P0CT69
	O93956	0	Training	0	O93956
	Q06512	0	Training	1	Q06512
	A0A5K1K8Y8	0	Training	2	A0A5K1K8Y8
	Q8L627	0	Training	3	Q8L627
	Q8L5Z4	0	Training	4	Q8L5Z4
	Q9GZU8	0	Training	0	Q9GZU8
	Q5W0Q7	0	Training	1	Q5W0Q7
	Q9NR21	0	Training	2	Q9NR21
	Q9H5P4	0	Training	3	Q9H5P4
	P78811	0	Training	4	P78811
	Q03153	0	Training	0	Q03153
	A4F267	0	Training	1	A4F267
	Q9BVS5	0	Training	2	Q9BVS5
	Q94234	0	Training	3	Q94234
	Q9W415	0	Training	4	Q9W415
	Q9BXV9	0	Training	0	Q9BXV9
	O74736	0	Training	1	O74736
	O75179	0	Training	2	O75179
	Q02775	0	Training	3	Q02775
	Q05166	0	Training	4	Q05166
	Q9LZP8	0	Training	0	Q9LZP8
	Q9NVV9	0	Training	1	Q9NVV9
	A1L167	0	Training	2	A1L167
	P97287	0	Training	3	P97287
	Q9ULY5	0	Training	4	Q9ULY5
	Q91836	0	Training	0	Q91836
	P42114	0	Training	1	P42114
	O95104	0	Training	2	O95104
	Q8IH18	0	Training	3	Q8IH18
	Q8N3J3	0	Training	4	Q8N3J3
	Q9LKX9	0	Training	0	Q9LKX9
	Q7S1R6	0	Training	1	Q7S1R6
	P07199	0	Training	2	P07199
	Q9NZC4	0	Training	3	Q9NZC4
	Q10154	0	Training	4	Q10154
	Q7L0X2	0	Training	0	Q7L0X2
	P38182	0	Training	1	P38182
	Q96BM1	0	Training	2	Q96BM1
	Q95QK3	0	Training	3	Q95QK3
	P97452	0	Training	4	P97452
	O23403	0	Training	0	O23403
	Q9Y2X0	0	Training	1	Q9Y2X0
	Q04170	0	Training	2	Q04170
	P48240	0	Training	3	P48240
	Q9SL94	0	Training	4	Q9SL94
	P10355	0	Training	0	P10355
	P38936	0	Training	1	P38936
	Q9UL03	0	Training	2	Q9UL03
	Q6A078	0	Training	3	Q6A078
	P69850	0	Training	4	P69850
	Q8NEZ2	0	Training	0	Q8NEZ2
	Q7JRE4	0	Training	1	Q7JRE4
	Q13573	0	Training	2	Q13573
	A0A0K3AUE4	0	Training	3	A0A0K3AUE4
	Q6NLC1	0	Training	4	Q6NLC1
	Q86X51	0	Training	0	Q86X51
	Q7SH52	0	Training	1	Q7SH52
	Q5AP95	0	Training	2	Q5AP95
	Q9BQ48	0	Training	3	Q9BQ48
	P40458	0	Training	4	P40458
	P39995	0	Training	0	P39995
	Q9LFE0	0	Training	1	Q9LFE0
	Q14CZ7	0	Training	2	Q14CZ7
	Q9NUK0	0	Training	3	Q9NUK0
	D3Z6Q9	0	Training	4	D3Z6Q9
	Q8INR6	0	Training	0	Q8INR6
	P15330	0	Training	1	P15330
	Q9STG9	0	Training	2	Q9STG9
	Q9I9B9	0	Training	3	Q9I9B9
	Q6AT41	0	Training	4	Q6AT41
	P16580	0	Training	0	P16580
	Q99LC3	0	Training	1	Q99LC3
	P53159	0	Training	2	P53159
	P10069	0	Training	3	P10069
	P80404	0	Training	4	P80404
	P37727	0	Training	0	P37727
	Q8GWA7	0	Training	1	Q8GWA7
	P08638	0	Training	2	P08638
	Q9BVI4	0	Training	3	Q9BVI4
	O13600	0	Training	4	O13600
	Q9TVM2	0	Training	0	Q9TVM2
	Q8N4E7	0	Training	1	Q8N4E7
	Q95R35	0	Training	2	Q95R35
	O01811	0	Training	3	O01811
	P38882	0	Training	4	P38882
	Q15080	0	Training	0	Q15080
	Q0VD83	0	Training	1	Q0VD83
	P35244	0	Training	2	P35244
	Q04179	0	Training	3	Q04179
	B4DJY2	0	Training	4	B4DJY2
	Q9VUB5	0	Training	0	Q9VUB5
	Q8K3W2	0	Training	1	Q8K3W2
	P82252	0	Training	2	P82252
	Q8S8K8	0	Training	3	Q8S8K8
	Q53GL7	0	Training	4	Q53GL7
	Q12340	0	Training	0	Q12340
	Q9UBP6	0	Training	1	Q9UBP6
	Q8BGS1	0	Training	2	Q8BGS1
	Q01992	0	Training	3	Q01992
	Q13523	0	Training	4	Q13523
	Q06493	0	Training	0	Q06493
	Q93V66	0	Training	1	Q93V66
	Q9LVB9	0	Training	2	Q9LVB9
	P09940	0	Training	3	P09940
	P87074	0	Training	4	P87074
	O74958	0	Training	0	O74958
	O13722	0	Training	1	O13722
	Q9VFK6	0	Training	2	Q9VFK6
	P16554	0	Training	3	P16554
	Q67FY2	0	Training	4	Q67FY2
	P19956	0	Training	0	P19956
	Q500V5	0	Training	1	Q500V5
	Q9CAF2	0	Training	2	Q9CAF2
	Q9CQT6	0	Training	3	Q9CQT6
	Q99638	0	Training	4	Q99638
	Q8BMB0	0	Training	0	Q8BMB0
	O75762	0	Training	1	O75762
	A3KPQ7	0	Training	2	A3KPQ7
	Q96AJ1	0	Training	3	Q96AJ1
	Q60949	0	Training	4	Q60949
	Q9P305	0	Training	0	Q9P305
	Q8IY92	0	Training	1	Q8IY92
	Q9VF30	0	Training	2	Q9VF30
	Q9C7C4	0	Training	3	Q9C7C4
	P19387	0	Training	4	P19387
	O42636	0	Training	0	O42636
	O95163	0	Training	1	O95163
	Q8BQR4	0	Training	2	Q8BQR4
	A6NDU8	0	Training	3	A6NDU8
	Q8NBN7	0	Training	4	Q8NBN7
	P53034	0	Training	0	P53034
	Q26366	0	Training	1	Q26366
	P12853	0	Training	2	P12853
	P21549	0	Training	3	P21549
	Q7Z7F0	0	Training	4	Q7Z7F0
	Q96KK5	0	Training	0	Q96KK5
	P53062	0	Training	1	P53062
	P38279	0	Training	2	P38279
	Q9Y5Z4	0	Training	3	Q9Y5Z4
	P17890	0	Training	4	P17890
	Q9NQ92	0	Training	0	Q9NQ92
	P39207	0	Training	1	P39207
	Q8NFJ9	0	Training	2	Q8NFJ9
	P40096	0	Training	3	P40096
	P38985	0	Training	4	P38985
	A0A0D1CRC9	0	Training	0	A0A0D1CRC9
	Q9DCR4	0	Training	1	Q9DCR4
	Q3UZP0	0	Training	2	Q3UZP0
	F4KFB3	0	Training	3	F4KFB3
	P53909	0	Training	4	P53909
	Q08966	0	Training	0	Q08966
	Q8WXD0	0	Training	1	Q8WXD0
	Q9US07	0	Training	2	Q9US07
	P11746	0	Training	3	P11746
	Q9FN69	0	Training	4	Q9FN69
	Q03281	0	Training	0	Q03281
	Q00597	0	Training	1	Q00597
	Q3MIT2	0	Training	2	Q3MIT2
	Q96F07	0	Training	3	Q96F07
	Q76LB1	0	Training	4	Q76LB1
	Q94131	0	Training	0	Q94131
	Q80T22	0	Training	1	Q80T22
	Q0E3V2	0	Training	2	Q0E3V2
	Q8NE35	0	Training	3	Q8NE35
	Q84U09	0	Training	4	Q84U09
	Q9CPU2	0	Training	0	Q9CPU2
	P33399	0	Training	1	P33399
	Q9UJX4	0	Training	2	Q9UJX4
	Q6PFX2	0	Training	3	Q6PFX2
	Q9M9V9	0	Training	4	Q9M9V9
	Q5XET5	0	Training	0	Q5XET5
	Q92247	0	Training	1	Q92247
	Q03976	0	Training	2	Q03976
	Q02038	0	Training	3	Q02038
	Q9VC61	0	Training	4	Q9VC61
	Q961D9	0	Training	0	Q961D9
	Q8IYR2	0	Training	1	Q8IYR2
	P32828	0	Training	2	P32828
	P60602	0	Training	3	P60602
	Q9SGA2	0	Training	4	Q9SGA2
	Q9SW31	0	Training	0	Q9SW31
	Q9UI43	0	Training	1	Q9UI43
	Q92351	0	Training	2	Q92351
	P02381	0	Training	3	P02381
	O14291	0	Training	4	O14291
	P34250	0	Training	0	P34250
	Q9LX93	0	Training	1	Q9LX93
	Q0ZCJ7	0	Training	2	Q0ZCJ7
	Q9UU96	0	Training	3	Q9UU96
	P07663	0	Training	4	P07663
	P53203	0	Training	0	P53203
	Q9LUA3	0	Training	1	Q9LUA3
	P25576	0	Training	2	P25576
	Q8NFV4	0	Training	3	Q8NFV4
	P27472	0	Training	4	P27472
	Q9USQ7	0	Training	0	Q9USQ7
	Q9D995	0	Training	1	Q9D995
	Q9P7X2	0	Training	2	Q9P7X2
	Q9T0H9	0	Training	3	Q9T0H9
	Q12802	0	Training	4	Q12802
	P38998	0	Training	0	P38998
	P53088	0	Training	1	P53088
	G5ED47	0	Training	2	G5ED47
	P07548	0	Training	3	P07548
	Q9UUC7	0	Training	4	Q9UUC7
	Q01292	0	Training	0	Q01292
	Q61687	0	Training	1	Q61687
	Q8GWR1	0	Training	2	Q8GWR1
	Q9S9K9	0	Training	3	Q9S9K9
	P93740	0	Training	4	P93740
	Q67ZB6	0	Training	0	Q67ZB6
	P36152	0	Training	1	P36152
	F4KHG6	0	Training	2	F4KHG6
	Q9BUZ4	0	Training	3	Q9BUZ4
	Q9ESC8	0	Training	4	Q9ESC8
	Q91Z31	0	Training	0	Q91Z31
	Q9BXL5	0	Training	1	Q9BXL5
	P82926	0	Training	2	P82926
	Q9LD43	0	Training	3	Q9LD43
	Q3ZN08	0	Training	4	Q3ZN08
	Q9VTE2	0	Training	0	Q9VTE2
	Q9LNE8	0	Training	1	Q9LNE8
	Q13794	0	Training	2	Q13794
	P39515	0	Training	3	P39515
	P53063	0	Training	4	P53063
	P28147	0	Training	0	P28147
	Q60EW9	0	Training	1	Q60EW9
	P47085	0	Training	2	P47085
	Q9UK99	0	Training	3	Q9UK99
	Q9BRS8	0	Training	4	Q9BRS8
	Q5VRM0	0	Training	0	Q5VRM0
	Q05942	0	Training	1	Q05942
	Q9FGV1	0	Training	2	Q9FGV1
	A1Z8F4	0	Training	3	A1Z8F4
	P0C5X8	0	Training	4	P0C5X8
	Q9HGK2	0	Training	0	Q9HGK2
	Q3ZBF6	0	Training	1	Q3ZBF6
	Q14166	0	Training	2	Q14166
	Q13889	0	Training	3	Q13889
	J9VUG5	0	Training	4	J9VUG5
	Q8BK30	0	Training	0	Q8BK30
	P53330	0	Training	1	P53330
	Q9SQR3	0	Training	2	Q9SQR3
	Q7Z3K3	0	Training	3	Q7Z3K3
	Q09130	0	Training	4	Q09130
	Q8IYB3	0	Training	0	Q8IYB3
	P25379	0	Training	1	P25379
	P42677	0	Training	2	P42677
	Q12457	0	Training	3	Q12457
	Q9P7C9	0	Training	4	Q9P7C9
	Q9HAW0	0	Training	0	Q9HAW0
	Q20646	0	Training	1	Q20646
	P09932	0	Training	2	P09932
	O42254	0	Training	3	O42254
	Q8VWG3	0	Training	4	Q8VWG3
	P10914	0	Training	0	P10914
	Q9P0U4	0	Training	1	Q9P0U4
	Q07980	0	Training	2	Q07980
