Q12396	accession	Label	Set	CV_Fold	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
P19667	P19667	1	Training	4	Molineria latifolia	Plants	158	22.0	
P07596	P07596	1	Training	0	Hordeum vulgare	Plants	203	22.0	
P15018	P15018	1	Training	1	Homo sapiens	Metazoa	202	22.0	
Q9Y5Q6	Q9Y5Q6	1	Training	2	Homo sapiens	Metazoa	135	22.0	
Q9VA83	Q9VA83	1	Training	3	Drosophila melanogaster	Metazoa	227	19.0	
P67970	P67970	1	Training	4	Gallus gallus	Metazoa	107	24.0	
Q10E50	Q10E50	1	Training	0	Oryza sativa subsp. japonica	Plants	163	43.0	
P07529	P07529	1	Training	1	Naganishia albida	Fungi	332	21.0	
Q9NPG1	Q9NPG1	1	Training	2	Homo sapiens	Metazoa	666	22.0	
G8YYA6	G8YYA6	1	Training	3	Androctonus amoreuxi	Metazoa	74	22.0	
Q27309	Q27309	1	Training	4	Bombyx mori	Metazoa	1782	15.0	
Q76CE8	Q76CE8	1	Training	0	Typhula ishikariensis	Fungi	243	20.0	
P26006	P26006	1	Training	1	Homo sapiens	Metazoa	1051	32.0	
P52823	P52823	1	Training	2	Homo sapiens	Metazoa	247	17.0	
Q6UX52	Q6UX52	1	Training	3	Homo sapiens	Metazoa	265	20.0	
P20068	P20068	1	Training	4	Rattus norvegicus	Metazoa	169	22.0	
P01888	P01888	1	Training	0	Bos taurus	Metazoa	118	20.0	
Q9NR61	Q9NR61	1	Training	1	Homo sapiens	Metazoa	685	26.0	
Q9UBN6	Q9UBN6	1	Training	2	Homo sapiens	Metazoa	386	55.0	
Q9SLP4	Q9SLP4	1	Training	3	Tulipa saxatilis subsp. bakeri	Plants	314	26.0	
O76192	O76192	1	Training	4	Galleria mellonella	Metazoa	167	17.0	
P01538	P01538	1	Training	0	Viscum album	Plants	111	26.0	
I2C090	I2C090	1	Training	1	Ophiophagus hannah	Metazoa	1641	22.0	
Q9Y279	Q9Y279	1	Training	2	Homo sapiens	Metazoa	399	19.0	
Q05895	Q05895	1	Training	3	Mus musculus	Metazoa	956	21.0	
Q9NTU7	Q9NTU7	1	Training	4	Homo sapiens	Metazoa	201	27.0	
P35331	P35331	1	Training	0	Gallus gallus	Metazoa	1284	24.0	
P42579	P42579	1	Training	1	Lymnaea stagnalis	Metazoa	100	23.0	
P52706	P52706	1	Training	2	Prunus serotina	Plants	563	27.0	
Q63617	Q63617	1	Training	3	Rattus norvegicus	Metazoa	999	32.0	
Q8MMH0	Q8MMH0	1	Training	4	Pimpla hypochondriaca	Metazoa	109	21.0	
P49256	P49256	1	Training	0	Canis lupus familiaris	Metazoa	356	44.0	
P01348	P01348	1	Training	1	Sus scrofa	Metazoa	182	24.0	
Q8I7X1	Q8I7X1	1	Training	2	Porcellio scaber	Metazoa	145	21.0	
P15196	P15196	1	Training	3	Oryctolagus cuniculus	Metazoa	398	31.0	
P48819	P48819	1	Training	4	Sus scrofa	Metazoa	459	19.0	
P25033	P25033	1	Training	0	Hyalophora cecropia	Metazoa	413	19.0	
P80513	P80513	1	Training	1	Bos taurus	Metazoa	179	21.0	
P36511	P36511	1	Training	2	Rattus norvegicus	Metazoa	530	23.0	
Q17128	Q17128	1	Training	3	Blaberus discoidalis	Metazoa	72	21.0	
O76537	O76537	1	Training	4	Trichoplusia ni	Metazoa	182	16.0	
I6S7I0	I6S7I0	1	Training	0	Scolopendra mutilans	Metazoa	64	18.0	
Q64385	Q64385	1	Training	1	Mus musculus	Metazoa	432	23.0	
O35806	O35806	1	Training	2	Rattus norvegicus	Metazoa	1764	35.0	
Q02795	Q02795	1	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19.0	
P30121	P30121	1	Training	4	Rattus norvegicus	Metazoa	220	26.0	
O96910	O96910	1	Training	0	Aplysia californica	Metazoa	76	18.0	
P50895	P50895	1	Training	1	Homo sapiens	Metazoa	628	31.0	
Q7KRU8	Q7KRU8	1	Training	2	Drosophila melanogaster	Metazoa	205	19.0	
Q8LG54	Q8LG54	1	Training	3	Arabidopsis thaliana	Plants	130	21.0	
Q63345	Q63345	1	Training	4	Rattus norvegicus	Metazoa	245	27.0	
Q55U20	Q55U20	1	Training	0	Cryptococcus deneoformans (strain B-3501A)	Fungi	458	51.0	
P15467	P15467	1	Training	1	Bos taurus	Metazoa	147	28.0	
Q5G8A6	Q5G8A6	1	Training	2	Tityus costatus	Metazoa	87	19.0	
P80686	P80686	1	Training	3	Tenebrio molitor	Metazoa	211	16.0	
Q96KN2	Q96KN2	1	Training	4	Homo sapiens	Metazoa	507	25.0	
P26010	P26010	1	Training	0	Homo sapiens	Metazoa	798	19.0	
Q9Z0K8	Q9Z0K8	1	Training	1	Mus musculus	Metazoa	512	23.0	
P38570	P38570	1	Training	2	Homo sapiens	Metazoa	1179	18.0	
Q9JMI7	Q9JMI7	1	Training	3	Mus musculus	Metazoa	250	25.0	
Q07092	Q07092	1	Training	4	Homo sapiens	Metazoa	1604	21.0	
G4V4F9	G4V4F9	1	Training	0	Cupiennius salei	Metazoa	97	19.0	
Q7SZI7	Q7SZI7	1	Training	1	Xenopus laevis	Metazoa	1219	22.0	
Q8MJV4	Q8MJV4	1	Training	2	Bos taurus	Metazoa	122	24.0	
P34115	P34115	1	Training	3	Dictyostelium discoideum	Other	730	20.0	
P42705	P42705	1	Training	4	Canis lupus familiaris	Metazoa	352	23.0	
P80109	P80109	1	Training	0	Bos taurus	Metazoa	839	23.0	
P07602	P07602	1	Training	1	Homo sapiens	Metazoa	524	16.0	
Q61789	Q61789	1	Training	2	Mus musculus	Metazoa	3330	31.0	
Q8W257	Q8W257	1	Training	3	Ptilota filicina	Other	500	21.0	
P0DPU7	P0DPU7	1	Training	4	Scolopendra dehaani	Metazoa	78	25.0	
P21956	P21956	1	Training	0	Mus musculus	Metazoa	463	22.0	
Q9GL30	Q9GL30	1	Training	1	Bos taurus	Metazoa	545	35.0	
Q5D710	Q5D710	1	Training	2	Scylla serrata	Metazoa	126	24.0	
Q63191	Q63191	1	Training	3	Rattus norvegicus	Metazoa	1216	21.0	
G5EC68	G5EC68	1	Training	4	Caenorhabditis elegans	Metazoa	85	17.0	
Q9NRC9	Q9NRC9	1	Training	0	Homo sapiens	Metazoa	128	17.0	
A0A023W145	A0A023W145	1	Training	1	Ethmostigmus rubripes	Metazoa	88	24.0	
P51654	P51654	1	Training	2	Homo sapiens	Metazoa	580	24.0	
P22748	P22748	1	Training	3	Homo sapiens	Metazoa	312	18.0	
P02663	P02663	1	Training	4	Bos taurus	Metazoa	222	15.0	
A2VBC4	A2VBC4	1	Training	0	Polybia paulista	Metazoa	322	18.0	
P02870	P02870	1	Training	1	Lens culinaris	Plants	275	30.0	
P22388	P22388	1	Training	2	Rattus norvegicus	Metazoa	202	25.0	
Q9BXJ7	Q9BXJ7	1	Training	3	Homo sapiens	Metazoa	453	19.0	
Q91XZ4	Q91XZ4	1	Training	4	Mus musculus	Metazoa	772	28.0	
P63153	P63153	1	Training	0	Sus scrofa	Metazoa	146	23.0	
Q5GQ85	Q5GQ85	1	Training	1	Argas reflexus	Metazoa	159	16.0	
Q15582	Q15582	1	Training	2	Homo sapiens	Metazoa	683	23.0	
Q9LXD6	Q9LXD6	1	Training	3	Arabidopsis thaliana	Plants	773	23.0	
Q9Y251	Q9Y251	1	Training	4	Homo sapiens	Metazoa	543	35.0	
P0DPV1	P0DPV1	1	Training	0	Scolopendra dehaani	Metazoa	97	23.0	
Q7M3V1	Q7M3V1	1	Training	1	Chelonus sp. nr. curvimaculatus	Metazoa	246	20.0	
P01168	P01168	1	Training	2	Sus scrofa	Metazoa	116	24.0	
C0HLA0	C0HLA0	1	Training	3	Chamaecyparis obtusa	Plants	556	28.0	
Q9U943	Q9U943	1	Training	4	Locusta migratoria	Metazoa	3380	21.0	
Q96X54	Q96X54	1	Training	0	Aspergillus awamori	Fungi	628	25.0	
P19400	P19400	1	Training	1	Ascaris suum	Metazoa	169	20.0	
B9A8D7	B9A8D7	1	Training	2	Crassostrea virginica	Metazoa	85	18.0	
P60153	P60153	1	Training	3	Homo sapiens	Metazoa	205	26.0	
Q8WML4	Q8WML4	1	Training	4	Bos taurus	Metazoa	580	22.0	
P42578	P42578	1	Training	0	Lymnaea stagnalis	Metazoa	239	18.0	
P29241	P29241	1	Training	1	Aplysia californica	Metazoa	282	24.0	
P07457	P07457	1	Training	2	Zoarces americanus	Metazoa	87	22.0	
Q13421	Q13421	1	Training	3	Homo sapiens	Metazoa	622	36.0	
Q76FP5	Q76FP5	1	Training	4	Hypocrea rufa	Fungi	479	20.0	
Q5ZPR3	Q5ZPR3	1	Training	0	Homo sapiens	Metazoa	534	28.0	
P17813	P17813	1	Training	1	Homo sapiens	Metazoa	658	25.0	
Q0P569	Q0P569	1	Training	2	Bos taurus	Metazoa	474	24.0	
P17164	P17164	1	Training	3	Rattus norvegicus	Metazoa	462	28.0	
Q9HB40	Q9HB40	1	Training	4	Homo sapiens	Metazoa	452	26.0	
P09464	P09464	1	Training	0	Pieris brassicae	Metazoa	189	15.0	
Q14002	Q14002	1	Training	1	Homo sapiens	Metazoa	265	35.0	
P14384	P14384	1	Training	2	Homo sapiens	Metazoa	443	17.0	
Q969Z4	Q969Z4	1	Training	3	Homo sapiens	Metazoa	430	25.0	
P29060	P29060	1	Training	4	Nicotiana tabacum	Plants	291	22.0	
P02462	P02462	1	Training	0	Homo sapiens	Metazoa	1669	27.0	
A0A482A9N4	A0A482A9N4	1	Training	1	Talaromyces verruculosus	Fungi	328	21.0	
P45590	P45590	1	Training	2	Hyalophora cecropia	Metazoa	129	17.0	
P01048	P01048	1	Training	3	Rattus norvegicus	Metazoa	430	18.0	
O46432	O46432	1	Training	4	Felis catus	Metazoa	1007	50.0	
P18684	P18684	1	Training	0	Protophormia terraenovae	Metazoa	101	18.0	
Q62632	Q62632	1	Training	1	Rattus norvegicus	Metazoa	306	18.0	
P14214	P14214	1	Training	2	Tachypleus tridentatus	Metazoa	77	23.0	
P68248	P68248	1	Training	3	Gallus gallus	Metazoa	80	25.0	
P0DUQ6	P0DUQ6	1	Training	4	Conus planorbis	Metazoa	70	21.0	
Q8T9R8	Q8T9R8	1	Training	0	Stomoxys calcitrans	Metazoa	67	24.0	
O18994	O18994	1	Training	1	Sus scrofa	Metazoa	219	21.0	
P14630	P14630	1	Training	2	Rattus norvegicus	Metazoa	190	17.0	
A0A5C2A2T2	A0A5C2A2T2	1	Training	3	Conus purpurascens	Metazoa	178	24.0	
O60931	O60931	1	Training	4	Homo sapiens	Metazoa	367	22.0	
P81054	P81054	1	Training	0	Grifola frondosa	Fungi	348	18.0	
Q95NY5	Q95NY5	1	Training	1	Anopheles stephensi	Metazoa	315	18.0	
P09479	P09479	1	Training	2	Gallus gallus	Metazoa	456	20.0	
Q16568	Q16568	1	Training	3	Homo sapiens	Metazoa	116	27.0	
Q39649	Q39649	1	Training	4	Cucurbita maxima	Plants	141	22.0	
P52798	P52798	1	Training	0	Homo sapiens	Metazoa	201	25.0	
P07359	P07359	1	Training	1	Homo sapiens	Metazoa	652	16.0	
Q94733	Q94733	1	Training	2	Rhodnius prolixus	Metazoa	202	23.0	
B0FHH8	B0FHH8	1	Training	3	Manduca sexta	Metazoa	151	18.0	
Q95JC9	Q95JC9	1	Training	4	Sus scrofa	Metazoa	676	16.0	
Q6Z232	Q6Z232	1	Training	0	Oryza sativa subsp. japonica	Plants	146	42.0	
M1MR49	M1MR49	1	Training	1	Rhipicephalus appendiculatus	Metazoa	176	24.0	
C0H9B6	C0H9B6	1	Training	2	Salmo salar	Metazoa	413	19.0	
P82103	P82103	1	Training	3	Mytilus galloprovincialis	Metazoa	96	20.0	
Q99ML8	Q99ML8	1	Training	4	Mus musculus	Metazoa	113	23.0	
Q6UW10	Q6UW10	1	Training	0	Homo sapiens	Metazoa	78	19.0	
Q0IQK9	Q0IQK9	1	Training	1	Oryza sativa subsp. japonica	Plants	116	25.0	
P28825	P28825	1	Training	2	Mus musculus	Metazoa	747	20.0	
Q1HAY7	Q1HAY7	1	Training	3	Holotrichia diomphalia	Metazoa	317	23.0	
P49921	P49921	1	Training	4	Sus scrofa	Metazoa	91	23.0	
P31723	P31723	1	Training	0	Penicillium citrinum	Fungi	511	35.0	
P32472	P32472	1	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135	17.0	
Q02596	Q02596	1	Training	2	Mus musculus	Metazoa	151	19.0	
P84843	P84843	1	Training	3	Hybomitra bimaculata	Metazoa	76	20.0	
P17697	P17697	1	Training	4	Bos taurus	Metazoa	439	19.0	
P0DMD3	P0DMD3	1	Training	0	Scolopendra mutilans	Metazoa	105	21.0	
P79208	P79208	1	Training	1	Ovis aries	Metazoa	603	16.0	
Q6UX41	Q6UX41	1	Training	2	Homo sapiens	Metazoa	500	17.0	
G9M8X1	G9M8X1	1	Training	3	Nephotettix cincticeps	Metazoa	687	19.0	
Q8X150	Q8X150	1	Training	4	Gaeumannomyces tritici	Fungi	618	16.0	
P00688	P00688	1	Training	0	Mus musculus	Metazoa	508	15.0	
Q64HC7	Q64HC7	1	Training	1	Armadillidium vulgare	Metazoa	73	19.0	
Q9UK23	Q9UK23	1	Training	2	Homo sapiens	Metazoa	515	25.0	
Q4WZ11	Q4WZ11	1	Training	3	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19.0	
P10619	P10619	1	Training	4	Homo sapiens	Metazoa	480	28.0	
Q26994	Q26994	1	Training	0	Toxoplasma gondii	Other	179	17.0	
A0A1W6EVN2	A0A1W6EVN2	1	Training	1	Ampulex compressa	Metazoa	50	26.0	
Q6UWV2	Q6UWV2	1	Training	2	Homo sapiens	Metazoa	235	31.0	
P20333	P20333	1	Training	3	Homo sapiens	Metazoa	461	22.0	
Q76FB0	Q76FB0	1	Training	4	Cyanidium caldarium	Other	155	20.0	
Q43413	Q43413	1	Training	0	Capsicum annuum	Plants	75	27.0	
P0CS93	P0CS93	1	Training	1	Gibberella zeae	Fungi	680	24.0	
Q01584	Q01584	1	Training	2	Rhinella marina	Metazoa	183	20.0	
P20507	P20507	1	Training	3	Chlamydomonas reinhardtii	Plants	377	20.0	
P80961	P80961	1	Training	4	Myoxocephalus octodecemspinosus	Metazoa	128	20.0	
Q9NZV1	Q9NZV1	1	Training	0	Homo sapiens	Metazoa	1036	34.0	
P00992	P00992	1	Training	1	Vipera ammodytes ammodytes	Metazoa	93	24.0	
P0CX78	P0CX78	1	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25.0	
P17301	P17301	1	Training	3	Homo sapiens	Metazoa	1181	29.0	
Q9ES58	Q9ES58	1	Training	4	Rattus norvegicus	Metazoa	327	23.0	
P18709	P18709	1	Training	0	Xenopus laevis	Metazoa	1807	15.0	
O59896	O59896	1	Training	1	Pycnoporus cinnabarinus	Fungi	518	21.0	
Q2PS07	Q2PS07	1	Training	2	Fagopyrum esculentum	Plants	149	22.0	
P30919	P30919	1	Training	3	Rattus norvegicus	Metazoa	345	23.0	
Q8T0W8	Q8T0W8	1	Training	4	Gastrophysa atrocyanea	Metazoa	65	24.0	
Q86YL7	Q86YL7	1	Training	0	Homo sapiens	Metazoa	162	22.0	
Q96DU3	Q96DU3	1	Training	1	Homo sapiens	Metazoa	332	21.0	
B4FZ87	B4FZ87	1	Training	2	Zea mays	Plants	396	31.0	
P02763	P02763	1	Training	3	Homo sapiens	Metazoa	201	18.0	
B3STN5	B3STN5	1	Training	4	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	278	19.0	
P81264	P81264	1	Training	0	Bos taurus	Metazoa	98	22.0	
F2QXM5	F2QXM5	1	Training	1	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)	Fungi	587	19.0	
Q8NI17	Q8NI17	1	Training	2	Homo sapiens	Metazoa	732	19.0	
P01500	P01500	1	Training	3	Apis mellifera	Metazoa	46	27.0	
P81058	P81058	1	Training	4	Penaeus vannamei	Metazoa	82	19.0	
Q9GV28	Q9GV28	1	Training	0	Bombyx mori	Metazoa	433	16.0	
Q99467	Q99467	1	Training	1	Homo sapiens	Metazoa	661	23.0	
P20013	P20013	1	Training	2	Trametes versicolor	Fungi	372	26.0	
P35578	P35578	1	Training	3	Zootoca vivipara	Metazoa	172	21.0	
Q8NBL1	Q8NBL1	1	Training	4	Homo sapiens	Metazoa	392	23.0	
Q13231	Q13231	1	Training	0	Homo sapiens	Metazoa	466	21.0	
Q86Y78	Q86Y78	1	Training	1	Homo sapiens	Metazoa	171	22.0	
P23502	P23502	1	Training	2	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	1286	15.0	
O43291	O43291	1	Training	3	Homo sapiens	Metazoa	252	27.0	
L8BRS3	L8BRS3	1	Training	4	Morus alba	Plants	209	18.0	
P13686	P13686	1	Training	0	Homo sapiens	Metazoa	325	21.0	
P43307	P43307	1	Training	1	Homo sapiens	Metazoa	286	18.0	
P55057	P55057	1	Training	2	Oryctolagus cuniculus	Metazoa	124	27.0	
O08795	O08795	1	Training	3	Mus musculus	Metazoa	521	14.0	
P81605	P81605	1	Training	4	Homo sapiens	Metazoa	110	19.0	
P27773	P27773	1	Training	0	Mus musculus	Metazoa	505	24.0	
P01226	P01226	1	Training	1	Equus caballus	Metazoa	129	18.0	
Q556R7	Q556R7	1	Training	2	Dictyostelium discoideum	Other	303	24.0	
P48747	P48747	1	Training	3	Oryctolagus cuniculus	Metazoa	557	21.0	
Q56S59	Q56S59	1	Training	4	Nicotiana tabacum	Plants	150	23.0	
Q01528	Q01528	1	Training	0	Limulus polyphemus	Metazoa	172	19.0	
P06332	P06332	1	Training	1	Mus musculus	Metazoa	457	26.0	
P22894	P22894	1	Training	2	Homo sapiens	Metazoa	467	20.0	
Q8MMJ7	Q8MMJ7	1	Training	3	Opisthacanthus madagascariensis	Metazoa	68	23.0	
A0A2I8B346	A0A2I8B346	1	Training	4	Paralithodes camtschaticus	Metazoa	62	23.0	
P45561	P45561	1	Training	0	Sus scrofa	Metazoa	189	16.0	
O95633	O95633	1	Training	1	Homo sapiens	Metazoa	263	26.0	
Q945U0	Q945U0	1	Training	2	Phytophthora sojae	Other	257	28.0	
Q03472	Q03472	1	Training	3	Sus scrofa	Metazoa	202	28.0	
Q92154	Q92154	1	Training	4	Coturnix japonica	Metazoa	620	17.0	
Q13478	Q13478	1	Training	0	Homo sapiens	Metazoa	541	18.0	
P48765	P48765	1	Training	1	Bos taurus	Metazoa	970	32.0	
P49125	P49125	1	Training	2	Latrodectus tredecimguttatus	Metazoa	88	18.0	
Q28143	Q28143	1	Training	3	Bos taurus	Metazoa	456	35.0	
P08582	P08582	1	Training	4	Homo sapiens	Metazoa	738	19.0	
Q8I948	Q8I948	1	Training	0	Acanthoscurria gomesiana	Metazoa	156	23.0	
Q9NYY1	Q9NYY1	1	Training	1	Homo sapiens	Metazoa	176	24.0	
P12872	P12872	1	Training	2	Homo sapiens	Metazoa	115	25.0	
Q6IV20	Q6IV20	1	Training	3	Gallus gallus	Metazoa	104	22.0	
O35701	O35701	1	Training	4	Mus musculus	Metazoa	481	27.0	
O18998	O18998	1	Training	0	Oryctolagus cuniculus	Metazoa	281	21.0	
P10762	P10762	1	Training	1	Locusta migratoria	Metazoa	179	16.0	
Q9H7M9	Q9H7M9	1	Training	2	Homo sapiens	Metazoa	311	32.0	
Q7Q7R8	Q7Q7R8	1	Training	3	Anopheles gambiae	Metazoa	89	29.0	
P19035	P19035	1	Training	4	Bos taurus	Metazoa	96	23.0	
P23515	P23515	1	Training	0	Homo sapiens	Metazoa	440	24.0	
P16235	P16235	1	Training	1	Rattus norvegicus	Metazoa	700	26.0	
O75711	O75711	1	Training	2	Homo sapiens	Metazoa	98	20.0	
P31420	P31420	1	Training	3	Manduca sexta	Metazoa	274	18.0	
P18650	P18650	1	Training	4	Sus scrofa	Metazoa	317	18.0	
Q4V645	Q4V645	1	Training	0	Drosophila melanogaster	Metazoa	108	29.0	
P08505	P08505	1	Training	1	Mus musculus	Metazoa	211	24.0	
Q05928	Q05928	1	Training	2	Mus musculus	Metazoa	177	31.0	
P01076	P01076	1	Training	3	Solanum lycopersicum	Plants	77	32.0	
P08236	P08236	1	Training	4	Homo sapiens	Metazoa	651	22.0	
Q8WPJ2	Q8WPJ2	1	Training	0	Mytilus edulis	Metazoa	367	17.0	
Q27972	Q27972	1	Training	1	Bos taurus	Metazoa	361	24.0	
P11021	P11021	1	Training	2	Homo sapiens	Metazoa	654	18.0	
P85197	P85197	1	Training	3	Lonomia obliqua	Metazoa	180	16.0	
P13671	P13671	1	Training	4	Homo sapiens	Metazoa	934	21.0	
P04217	P04217	1	Training	0	Homo sapiens	Metazoa	495	21.0	
P0DUT0	P0DUT0	1	Training	1	Doratifera vulnerans	Metazoa	46	19.0	
P01364	P01364	1	Training	2	Aplysia californica	Metazoa	108	23.0	
Q9UVI4	Q9UVI4	1	Training	3	Claviceps fusiformis	Fungi	394	16.0	
Q8J0D2	Q8J0D2	1	Training	4	Geotrichum sp. (strain M128)	Fungi	812	23.0	
P02774	P02774	1	Training	0	Homo sapiens	Metazoa	474	16.0	
U6BLZ9	U6BLZ9	1	Training	1	Penicillium canescens	Fungi	463	26.0	
Q52085	Q52085	1	Training	2	Heterostelium pallidum	Other	320	19.0	
O15455	O15455	1	Training	3	Homo sapiens	Metazoa	904	23.0	
P00719	P00719	1	Training	4	Struthio camelus	Metazoa	204	19.0	
O62680	O62680	1	Training	0	Sus scrofa	Metazoa	123	25.0	
P86407	P86407	1	Training	1	Mesobuthus eupeus	Metazoa	75	22.0	
I6S7G5	I6S7G5	1	Training	2	Scolopendra mutilans	Metazoa	84	16.0	
Q17058	Q17058	1	Training	3	Apis mellifera	Metazoa	567	17.0	
Q8WP90	Q8WP90	1	Training	4	Solenopsis invicta	Metazoa	153	19.0	
Q0ZS88	Q0ZS88	1	Training	0	Phlebotomus perniciosus	Metazoa	388	18.0	
P15261	P15261	1	Training	1	Mus musculus	Metazoa	477	25.0	
Q9C5S0	Q9C5S0	1	Training	2	Arabidopsis thaliana	Plants	191	20.0	
P38660	P38660	1	Training	3	Mesocricetus auratus	Metazoa	439	19.0	
O18330	O18330	1	Training	4	Apis mellifera	Metazoa	432	19.0	
P82358	P82358	1	Training	0	Acanthoscurria gomesiana	Metazoa	84	23.0	
P04937	P04937	1	Training	1	Rattus norvegicus	Metazoa	2477	24.0	
P38574	P38574	1	Training	2	Bos taurus	Metazoa	287	18.0	
Q02126	Q02126	1	Training	3	Hordeum vulgare	Plants	330	25.0	
P32803	P32803	1	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	20.0	
P04925	P04925	1	Training	0	Mus musculus	Metazoa	254	22.0	
P0DQE1	P0DQE1	1	Training	1	Scolopendra dehaani	Metazoa	109	23.0	
A0A7J6K7I9	A0A7J6K7I9	1	Training	2	Toxoplasma gondii	Other	553	64.0	
P15289	P15289	1	Training	3	Homo sapiens	Metazoa	507	18.0	
Q8GT41	Q8GT41	1	Training	4	Platanus acerifolia	Plants	179	23.0	
A0A3N2PQC3	A0A3N2PQC3	1	Training	0	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	Fungi	99	26.0	
Q6UXL0	Q6UXL0	1	Training	1	Homo sapiens	Metazoa	311	29.0	
P10493	P10493	1	Training	2	Mus musculus	Metazoa	1245	28.0	
P14925	P14925	1	Training	3	Rattus norvegicus	Metazoa	976	25.0	
P20462	P20462	1	Training	4	Notamacropus eugenii	Metazoa	176	18.0	
E0X9F6	E0X9F6	1	Training	0	Thaumetopoea pityocampa	Metazoa	126	18.0	
Q8N6C8	Q8N6C8	1	Training	1	Homo sapiens	Metazoa	439	23.0	
P01177	P01177	1	Training	2	Sus scrofa	Metazoa	125	19.0	
Q9VG55	Q9VG55	1	Training	3	Drosophila melanogaster	Metazoa	191	24.0	
P33487	P33487	1	Training	4	Arabidopsis thaliana	Plants	198	33.0	
Q13433	Q13433	1	Training	0	Homo sapiens	Metazoa	755	28.0	
P86929	P86929	1	Training	1	Metaphire guillelmi	Metazoa	73	14.0	
Q9N4D8	Q9N4D8	1	Training	2	Caenorhabditis elegans	Metazoa	123	17.0	
Q70SU7	Q70SU7	1	Training	3	Salvelinus alpinus	Metazoa	342	19.0	
Q6IUU3	Q6IUU3	1	Training	4	Rattus norvegicus	Metazoa	750	32.0	
Q08481	Q08481	1	Training	0	Mus musculus	Metazoa	727	17.0	
P11215	P11215	1	Training	1	Homo sapiens	Metazoa	1152	16.0	
Q8MUP7	Q8MUP7	1	Training	2	Ixodes scapularis	Metazoa	102	21.0	
A1X159	A1X159	1	Training	3	Perna viridis	Metazoa	431	20.0	
P32358	P32358	1	Training	4	Bombyx mori	Metazoa	579	15.0	
Q9SUQ8	Q9SUQ8	1	Training	0	Arabidopsis thaliana	Plants	187	29.0	
Q8TCT8	Q8TCT8	1	Training	1	Homo sapiens	Metazoa	520	25.0	
P55083	P55083	1	Training	2	Homo sapiens	Metazoa	255	21.0	
P06727	P06727	1	Training	3	Homo sapiens	Metazoa	396	20.0	
P43121	P43121	1	Training	4	Homo sapiens	Metazoa	646	23.0	
Q12546	Q12546	1	Training	0	Aspergillus ficuum	Fungi	614	22.0	
Q9ERQ6	Q9ERQ6	1	Training	1	Rattus norvegicus	Metazoa	571	30.0	
P08069	P08069	1	Training	2	Homo sapiens	Metazoa	1367	30.0	
P35859	P35859	1	Training	3	Rattus norvegicus	Metazoa	603	23.0	
P04062	P04062	1	Training	4	Homo sapiens	Metazoa	536	39.0	
P07897	P07897	1	Training	0	Rattus norvegicus	Metazoa	2124	19.0	
P20112	P20112	1	Training	1	Sus scrofa	Metazoa	300	17.0	
P51688	P51688	1	Training	2	Homo sapiens	Metazoa	502	20.0	
P06911	P06911	1	Training	3	Rattus norvegicus	Metazoa	188	19.0	
Q86SC0	Q86SC0	1	Training	4	Oryctes rhinoceros	Metazoa	66	26.0	
P06865	P06865	1	Training	0	Homo sapiens	Metazoa	529	22.0	
Q9NRR1	Q9NRR1	1	Training	1	Homo sapiens	Metazoa	136	22.0	
O75462	O75462	1	Training	2	Homo sapiens	Metazoa	422	37.0	
P18181	P18181	1	Training	3	Mus musculus	Metazoa	240	22.0	
O62605	O62605	1	Training	4	Galleria mellonella	Metazoa	218	16.0	
Q9NAX4	Q9NAX4	1	Training	0	Dictyostelium discoideum	Other	464	17.0	
P22301	P22301	1	Training	1	Homo sapiens	Metazoa	178	18.0	
P33577	P33577	1	Training	2	Petromyzon marinus	Metazoa	119	19.0	
P25291	P25291	1	Training	3	Canis lupus familiaris	Metazoa	509	21.0	
Q27270	Q27270	1	Training	4	Tenebrio molitor	Metazoa	96	18.0	
Q9ZWA9	Q9ZWA9	1	Training	0	Arabidopsis thaliana	Plants	451	25.0	
P83472	P83472	1	Training	1	Lumbricus terrestris	Metazoa	86	22.0	
Q6IWZ0	Q6IWZ0	1	Training	2	Aplysia californica	Metazoa	535	18.0	
P80915	P80915	1	Training	3	Macadamia integrifolia	Plants	102	26.0	
P24021	P24021	1	Training	4	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20.0	
Q8L9T8	Q8L9T8	1	Training	0	Arabidopsis thaliana	Plants	63	27.0	
P22063	P22063	1	Training	1	Rattus norvegicus	Metazoa	1040	30.0	
O14786	O14786	1	Training	2	Homo sapiens	Metazoa	923	21.0	
P27919	P27919	1	Training	3	Avena sativa	Plants	214	28.0	
P34170	P34170	1	Training	4	Bombyx mori	Metazoa	160	20.0	
