O74740	Accession
Q9FPW4	Q9FPW4
Q5BAH2	Q5BAH2
Q9P805	Q9P805
Q5JPI9	Q5JPI9
Q9UTP3	Q9UTP3
P50106	P50106
Q8C6L5	Q8C6L5
Q8NF50	Q8NF50
Q08887	Q08887
Q8RY95	Q8RY95
E9EWQ4	E9EWQ4
Q86TL0	Q86TL0
Q9SIU2	Q9SIU2
A1A6H3	A1A6H3
Q9NYX4	Q9NYX4
Q12285	Q12285
Q1MTN3	Q1MTN3
J9VE33	J9VE33
Q9UK99	Q9UK99
Q8IZL2	Q8IZL2
P20676	P20676
Q9VL76	Q9VL76
Q10148	Q10148
Q96KK5	Q96KK5
P46677	P46677
Q9SWI1	Q9SWI1
Q12418	Q12418
Q16617	Q16617
A1L4Y1	A1L4Y1
P35169	P35169
P25188	P25188
Q8N5M1	Q8N5M1
A6QPQ5	A6QPQ5
Q9H5Z6	Q9H5Z6
P53913	P53913
P53239	P53239
P53743	P53743
Q5Q0E6	Q5Q0E6
Q96MT3	Q96MT3
P53140	P53140
O75971	O75971
Q8N7J2	Q8N7J2
A0A0D1DMJ6	A0A0D1DMJ6
Q2M2T7	Q2M2T7
A4F267	A4F267
Q5XF07	Q5XF07
Q9W0I5	Q9W0I5
P36036	P36036
Q9NWW0	Q9NWW0
P53846	P53846
P32347	P32347
Q23229	Q23229
Q7S7U5	Q7S7U5
Q9HAF1	Q9HAF1
Q9SZH4	Q9SZH4
Q7Z410	Q7Z410
Q41811	Q41811
P48376	P48376
P63040	P63040
Q9UGY1	Q9UGY1
Q8LDU4	Q8LDU4
G5EGU9	G5EGU9
Q86TS9	Q86TS9
Q8BGL3	Q8BGL3
Q8WV93	Q8WV93
O64973	O64973
Q8WT44	Q8WT44
Q96IL0	Q96IL0
Q9UT48	Q9UT48
Q7Z602	Q7Z602
Q99LW6	Q99LW6
Q8GSI0	Q8GSI0
Q8NE35	Q8NE35
O97297	O97297
Q4V7H8	Q4V7H8
O88735	O88735
Q9HAW0	Q9HAW0
P40460	P40460
Q99929	Q99929
B8BNY7	B8BNY7
Q9UI26	Q9UI26
Q7XA83	Q7XA83
O23813	O23813
P37263	P37263
P81128	P81128
Q9FFY9	Q9FFY9
Q12749	Q12749
P70399	P70399
Q9CPQ8	Q9CPQ8
Q91YJ3	Q91YJ3
Q9BUK6	Q9BUK6
Q9NQX7	Q9NQX7
Q8SYK5	Q8SYK5
P39547	P39547
P57680	P57680
Q8NDZ2	Q8NDZ2
O60516	O60516
Q10099	Q10099
Q9UUJ4	Q9UUJ4
A0A0P0WQ90	A0A0P0WQ90
Q3UP24	Q3UP24
Q9H9P8	Q9H9P8
O14503	O14503
Q00873	Q00873
P15384	P15384
P00927	P00927
Q96WW3	Q96WW3
Q9H1D9	Q9H1D9
O95838	O95838
Q9LKW9	Q9LKW9
Q04089	Q04089
Q9ES00	Q9ES00
Q96SB3	Q96SB3
Q9VIF5	Q9VIF5
P46983	P46983
P53125	P53125
Q505B8	Q505B8
P46736	P46736
G4N7S6	G4N7S6
Q9H6K1	Q9H6K1
P25576	P25576
Q14498	Q14498
F4KBW6	F4KBW6
Q9C4Z7	Q9C4Z7
Q9UID6	Q9UID6
O60141	O60141
Q93YU8	Q93YU8
Q9LY66	Q9LY66
Q8WWC4	Q8WWC4
P53246	P53246
Q6ZN28	Q6ZN28
P79005	P79005
A9YTQ3	A9YTQ3
Q17RH7	Q17RH7
Q7TNS8	Q7TNS8
P38291	P38291
Q9VE04	Q9VE04
Q9M7I7	Q9M7I7
Q96MB7	Q96MB7
Q9GZZ1	Q9GZZ1
Q10290	Q10290
P49454	P49454
Q13309	Q13309
P38687	P38687
Q24JJ9	Q24JJ9
Q9VEC1	Q9VEC1
P19735	P19735
P06292	P06292
P29677	P29677
Q9USM1	Q9USM1
Q05024	Q05024
Q53R41	Q53R41
Q13761	Q13761
P52503	P52503
P40002	P40002
Q96BM1	Q96BM1
P38398	P38398
O88286	O88286
Q9DB96	Q9DB96
Q9Y3C1	Q9Y3C1
A2A288	A2A288
P54783	P54783
Q9H0W9	Q9H0W9
F4JTS8	F4JTS8
P47977	P47977
P11978	P11978
P0C7P0	P0C7P0
Q14678	Q14678
P54074	P54074
O13688	O13688
O65272	O65272
Q01852	Q01852
Q9BVJ6	Q9BVJ6
Q058N4	Q058N4
P03871	P03871
P19173	P19173
P09081	P09081
P40055	P40055
Q8IYJ3	Q8IYJ3
O60174	O60174
P21675	P21675
E9F591	E9F591
Q9H5V7	Q9H5V7
Q9FG61	Q9FG61
G5EEM0	G5EEM0
Q92466	Q92466
Q9BPX3	Q9BPX3
P48240	P48240
Q9NWH2	Q9NWH2
Q584U2	Q584U2
Q6P5E8	Q6P5E8
Q5W9E7	Q5W9E7
Q865Y9	Q865Y9
C8V329	C8V329
Q8L5W8	Q8L5W8
Q9FLU1	Q9FLU1
Q93WX6	Q93WX6
Q0D9C4	Q0D9C4
O23077	O23077
Q9P7G6	Q9P7G6
X5HYT8	X5HYT8
Q9SKT1	Q9SKT1
Q9BW27	Q9BW27
Q9LPV5	Q9LPV5
Q8BL80	Q8BL80
Q6IQ55	Q6IQ55
Q15078	Q15078
Q17390	Q17390
Q20591	Q20591
Q9LJ87	Q9LJ87
O74946	O74946
P10105	P10105
O46101	O46101
Q5SWY8	Q5SWY8
Q9SL94	Q9SL94
Q03661	Q03661
P53150	P53150
P10355	P10355
Q9VRN3	Q9VRN3
Q9R061	Q9R061
Q9N2W5	Q9N2W5
P53919	P53919
Q5C9Z4	Q5C9Z4
Q9LVG4	Q9LVG4
Q8K0U3	Q8K0U3
P34893	P34893
Q8BK30	Q8BK30
Q05921	Q05921
Q8L999	Q8L999
Q8NEY8	Q8NEY8
P19426	P19426
P38883	P38883
Q12734	Q12734
Q8WXD0	Q8WXD0
Q9U280	Q9U280
Q9USY3	Q9USY3
Q8NDZ0	Q8NDZ0
Q53GL7	Q53GL7
P16371	P16371
Q9UI30	Q9UI30
Q9HAW4	Q9HAW4
P34440	P34440
P49379	P49379
P97303	P97303
Q19872	Q19872
Q9D3F7	Q9D3F7
Q9C0C2	Q9C0C2
Q6NXG1	Q6NXG1
Q07362	Q07362
Q3V2A7	Q3V2A7
Q9BXS1	Q9BXS1
Q9D4W2	Q9D4W2
Q9NSP4	Q9NSP4
Q07540	Q07540
Q15811	Q15811
Q01750	Q01750
O75940	O75940
O04121	O04121
P48985	P48985
Q7Z418	Q7Z418
Q8W4B2	Q8W4B2
Q0WUA3	Q0WUA3
O74417	O74417
B2C6R6	B2C6R6
O17386	O17386
Q9BSJ5	Q9BSJ5
Q673G8	Q673G8
Q7SA90	Q7SA90
Q9TVM2	Q9TVM2
Q06449	Q06449
Q9D1M4	Q9D1M4
Q9NJH0	Q9NJH0
P33448	P33448
P34283	P34283
O13788	O13788
P63098	P63098
P53218	P53218
Q9C829	Q9C829
P53212	P53212
P48015	P48015
Q9P7M3	Q9P7M3
Q9I869	Q9I869
Q9ULP0	Q9ULP0
Q08952	Q08952
Q6NLW5	Q6NLW5
P32480	P32480
Q8L3P4	Q8L3P4
P40023	P40023
Q9Y6G5	Q9Y6G5
Q9LMK5	Q9LMK5
Q9H875	Q9H875
Q924H7	Q924H7
Q9UDX5	Q9UDX5
Q9Z2Q2	Q9Z2Q2
Q12321	Q12321
Q8IPA1	Q8IPA1
Q96255	Q96255
P45974	P45974
Q08357	Q08357
Q6ZVD7	Q6ZVD7
Q8N6I1	Q8N6I1
Q9H7Z3	Q9H7Z3
Q8LGI2	Q8LGI2
Q12018	Q12018
P27516	P27516
Q9Y508	Q9Y508
P32585	P32585
Q9BVL4	Q9BVL4
Q967U1	Q967U1
Q9UJA2	Q9UJA2
Q10414	Q10414
Q9BWX1	Q9BWX1
Q86V97	Q86V97
P82244	P82244
Q9FZ47	Q9FZ47
P18491	P18491
E9AGH7	E9AGH7
P93740	P93740
F8VQK3	F8VQK3
Q59RL7	Q59RL7
Q61550	Q61550
O64517	O64517
Q06409	Q06409
Q5RI15	Q5RI15
P0DH90	P0DH90
Q8C8N2	Q8C8N2
Q8WV28	Q8WV28
Q0ZCJ7	Q0ZCJ7
Q52KF3	Q52KF3
P80404	P80404
P0DO23	P0DO23
O43058	O43058
Q24434	Q24434
P38064	P38064
Q38E51	Q38E51
Q06678	Q06678
Q03654	Q03654
Q8N3J2	Q8N3J2
Q9U213	Q9U213
Q92361	Q92361
Q9R085	Q9R085
Q9VDW6	Q9VDW6
Q9CZX7	Q9CZX7
Q86U28	Q86U28
Q60EN8	Q60EN8
Q9SYD8	Q9SYD8
Q70EL2	Q70EL2
P21281	P21281
Q84LM4	Q84LM4
Q99547	Q99547
P06841	P06841
Q9NPG3	Q9NPG3
Q9FKQ7	Q9FKQ7
P22572	P22572
Q9EQ80	Q9EQ80
Q9Z0X1	Q9Z0X1
P10080	P10080
P49005	P49005
Q9TYY7	Q9TYY7
Q6EPN6	Q6EPN6
Q9SZ63	Q9SZ63
Q9Y5L0	Q9Y5L0
Q9LK29	Q9LK29
P06267	P06267
H2KYU6	H2KYU6
P08525	P08525
Q9P7T4	Q9P7T4
Q9Y4R8	Q9Y4R8
Q96BU1	Q96BU1
Q80TN7	Q80TN7
O95359	O95359
Q96BY6	Q96BY6
Q06338	Q06338
Q9UUI3	Q9UUI3
Q9VNB5	Q9VNB5
O82239	O82239
P38801	P38801
Q9LVA9	Q9LVA9
Q9Z2D7	Q9Z2D7
A0A0D1CRC9	A0A0D1CRC9
Q04175	Q04175
P30047	P30047
P24345	P24345
Q9WVR8	Q9WVR8
P53060	P53060
E9Q4F7	E9Q4F7
Q56P42	Q56P42
P38325	P38325
Q9UKV8	Q9UKV8
Q8BGY9	Q8BGY9
Q9Z351	Q9Z351
J9VP29	J9VP29
P09007	P09007
Q9FYB5	Q9FYB5
Q12416	Q12416
Q9SKZ1	Q9SKZ1
Q6BDR8	Q6BDR8
Q9UTJ8	Q9UTJ8
Q9FI46	Q9FI46
Q504T8	Q504T8
B9DHT4	B9DHT4
P38872	P38872
O14734	O14734
Q9P7N4	Q9P7N4
Q05123	Q05123
P52655	P52655
Q04049	Q04049
Q10429	Q10429
Q8WYH8	Q8WYH8
Q19360	Q19360
Q8TEA8	Q8TEA8
P36093	P36093
B7WN96	B7WN96
O48847	O48847
O43813	O43813
Q8BM75	Q8BM75
Q8TB36	Q8TB36
O75506	O75506
Q7Z7K0	Q7Z7K0
D3ZUE1	D3ZUE1
Q9HEV5	Q9HEV5
P40156	P40156
Q6SKR2	Q6SKR2
P26770	P26770
Q8NCE0	Q8NCE0
O00841	O00841
Q96QA5	Q96QA5
Q6RI63	Q6RI63
Q5D869	Q5D869
Q86VP6	Q86VP6
O94606	O94606
Q9Y239	Q9Y239
Q9UBF9	Q9UBF9
Q9STL9	Q9STL9
Q86U90	Q86U90
P53886	P53886
Q9P6N2	Q9P6N2
Q10R09	Q10R09
G5EG51	G5EG51
Q8K1Z0	Q8K1Z0
Q7S4E7	Q7S4E7
Q04170	Q04170
D3YN49	D3YN49
U4PAZ9	U4PAZ9
O13936	O13936
O15427	O15427
Q9Y6N9	Q9Y6N9
Q9H227	Q9H227
Q9UIA0	Q9UIA0
Q10135	Q10135
Q6P4F7	Q6P4F7
P0DOW4	P0DOW4
Q08921	Q08921
O14015	O14015
Q06810	Q06810
P36626	P36626
P34260	P34260
Q9D4H9	Q9D4H9
Q61510	Q61510
Q8IRB5	Q8IRB5
Q9UUA8	Q9UUA8
Q580X6	Q580X6
Q6PG16	Q6PG16
Q9H633	Q9H633
Q9USU3	Q9USU3
Q39033	Q39033
O01811	O01811
Q9Y3E1	Q9Y3E1
Q9HE02	Q9HE02
Q8K459	Q8K459
O14843	O14843
P40574	P40574
P0C7R1	P0C7R1
Q9QX98	Q9QX98
Q9VC56	Q9VC56
Q18171	Q18171
Q12361	Q12361
Q9LXR8	Q9LXR8
P32807	P32807
Q06455	Q06455
Q02606	Q02606
Q9SW18	Q9SW18
Q9LZP8	Q9LZP8
Q8N4H5	Q8N4H5
P03898	P03898
Q8K3Q3	Q8K3Q3
Q9C5S1	Q9C5S1
P14905	P14905
Q9US06	Q9US06
P98170	P98170
Q7XA07	Q7XA07
Q681Z2	Q681Z2
P12853	P12853
O75478	O75478
O88843	O88843
Q09814	Q09814
Q6F6B5	Q6F6B5
Q49AM1	Q49AM1
P40012	P40012
Q497V6	Q497V6
P54274	P54274
P11498	P11498
Q9AYU1	Q9AYU1
P47093	P47093
Q8WW38	Q8WW38
O42636	O42636
O78750	O78750
O13978	O13978
P28347	P28347
P18409	P18409
Q02223	Q02223
Q5T8A7	Q5T8A7
P28803	P28803
Q8II12	Q8II12
Q12830	Q12830
P22342	P22342
G5EGF8	G5EGF8
Q43715	Q43715
Q03018	Q03018
P53259	P53259
Q9ZUT3	Q9ZUT3
O88484	O88484
Q04603	Q04603
A0A143ZZK9	A0A143ZZK9
K4PW38	K4PW38
O74942	O74942
Q6P587	Q6P587
Q9UBU9	Q9UBU9
Q969X0	Q969X0
Q06672	Q06672
Q9SU25	Q9SU25
F4I902	F4I902
Q9H063	Q9H063
Q86TU7	Q86TU7
Q55D99	Q55D99
P40554	P40554
Q9W4N2	Q9W4N2
O97101	O97101
Q16581	Q16581
O94864	O94864
O78310	O78310
Q9JJP2	Q9JJP2
Q64318	Q64318
P27216	P27216
Q9C8L2	Q9C8L2
A2RTF1	A2RTF1
Q21446	Q21446
Q7K003	Q7K003
P00522	P00522
O13395	O13395
O81836	O81836
Q924C5	Q924C5
H3BKT1	H3BKT1
P41695	P41695
P34224	P34224
Q7Z7C8	Q7Z7C8
Q9USX8	Q9USX8
Q8N8R5	Q8N8R5
Q96GX8	Q96GX8
P32851	P32851
H2KYS8	H2KYS8
O82286	O82286
O74374	O74374
Q9LR64	Q9LR64
Q9LZX6	Q9LZX6
Q9VN45	Q9VN45
O75056	O75056
A0A1D8PJ01	A0A1D8PJ01
Q06675	Q06675
P14693	P14693
Q94AR8	Q94AR8
Q811D2	Q811D2
Q6Z6S1	Q6Z6S1
Q8L8Z1	Q8L8Z1
O13927	O13927
P0DKJ7	P0DKJ7
A2T1U1	A2T1U1
O60016	O60016
Q9Y6H6	Q9Y6H6
A1Z8P9	A1Z8P9
Q15287	Q15287
Q9D8B6	Q9D8B6
O43765	O43765
Q90578	Q90578
Q8L7E9	Q8L7E9
Q8VZS9	Q8VZS9
Q9H7D0	Q9H7D0
F4JZC2	F4JZC2
Q8IWL3	Q8IWL3
P62952	P62952
P08907	P08907
Q4ADV7	Q4ADV7
Q9HCJ1	Q9HCJ1
Q5PRF9	Q5PRF9
Q9P7B8	Q9P7B8
Q9LS48	Q9LS48
Q0JJ05	Q0JJ05
O13851	O13851
Q9W157	Q9W157
O14210	O14210
Q9P7X2	Q9P7X2
O13900	O13900
P41223	P41223
P46309	P46309
Q5T7W0	Q5T7W0
P40208	P40208
Q3UYV9	Q3UYV9
P24226	P24226
P42900	P42900
O60293	O60293
Q0WPT7	Q0WPT7
Q9UST6	Q9UST6
Q9H2X8	Q9H2X8
Q93VB2	Q93VB2
Q17602	Q17602
Q8BH70	Q8BH70
O43030	O43030
P39515	P39515
P31115	P31115
Q04231	Q04231
Q3TN34	Q3TN34
Q9UQ35	Q9UQ35
O73622	O73622
O74544	O74544
O42958	O42958
Q92546	Q92546
P35639	P35639
Q8BQP9	Q8BQP9
Q6NZN1	Q6NZN1
Q10953	Q10953
Q08553	Q08553
P46678	P46678
P02381	P02381
Q8L493	Q8L493
P39995	P39995
Q18425	Q18425
Q4PLS0	Q4PLS0
Q8K339	Q8K339
Q7RYM5	Q7RYM5
A0SVK0	A0SVK0
P25367	P25367
O43006	O43006
Q9FL12	Q9FL12
P23786	P23786
P83565	P83565
Q9C552	Q9C552
Q86YA3	Q86YA3
Q96FI4	Q96FI4
Q9UM07	Q9UM07
Q91WA1	Q91WA1
Q06152	Q06152
P30987	P30987
Q09184	Q09184
Q93227	Q93227
Q9Y221	Q9Y221
Q9VBW6	Q9VBW6
Q1HG43	Q1HG43
P51556	P51556
O14497	O14497
Q0DIQ5	Q0DIQ5
Q8IWZ4	Q8IWZ4
Q8IWA0	Q8IWA0
P54987	P54987
Q8R4U1	Q8R4U1
P42677	P42677
G5EEU2	G5EEU2
E1JH25	E1JH25
O65220	O65220
Q9NTI7	Q9NTI7
O95415	O95415
O13988	O13988
Q96IY1	Q96IY1
Q9HFR0	Q9HFR0
P52890	P52890
Q9LX93	Q9LX93
Q9NPJ1	Q9NPJ1
P34219	P34219
Q24167	Q24167
P53208	P53208
Q07930	Q07930
Q3U8K7	Q3U8K7
Q03280	Q03280
Q8IRH5	Q8IRH5
P30943	P30943
Q9JM80	Q9JM80
Q6IDB0	Q6IDB0
Q9UTI4	Q9UTI4
O13859	O13859
Q9Y3F4	Q9Y3F4
Q23794	Q23794
Q9SRT0	Q9SRT0
Q9S752	Q9S752
Q99ML9	Q99ML9
Q12457	Q12457
O74854	O74854
Q06568	Q06568
G5ECC7	G5ECC7
P35680	P35680
Q945K7	Q945K7
Q9Y3B2	Q9Y3B2
P25638	P25638
P19474	P19474
Q9P0R6	Q9P0R6
Q8VY52	Q8VY52
P47979	P47979
O74309	O74309
P38557	P38557
Q04430	Q04430
P36161	P36161
Q9NXV6	Q9NXV6
Q12488	Q12488
Q9Y118	Q9Y118
Q38HM4	Q38HM4
Q16186	Q16186
Q8TEW0	Q8TEW0
O17514	O17514
Q3UMU9	Q3UMU9
Q9ESM6	Q9ESM6
Q9ZT96	Q9ZT96
P33308	P33308
Q15678	Q15678
Q9WTK8	Q9WTK8
Q9ULV3	Q9ULV3
Q15543	Q15543
P42696	P42696
Q9ZNX9	Q9ZNX9
Q9FVW4	Q9FVW4
Q86X51	Q86X51
Q9CA42	Q9CA42
Q9SQI2	Q9SQI2
Q12338	Q12338
Q6GPH4	Q6GPH4
Q2T9J0	Q2T9J0
P70582	P70582
Q9W252	Q9W252
P46946	P46946
Q03193	Q03193
O95180	O95180
Q9NRY6	Q9NRY6
Q12906	Q12906
O43822	O43822
P25583	P25583
P53063	P53063
P15924	P15924
P38127	P38127
Q5FWP4	Q5FWP4
P0C6T3	P0C6T3
Q8N684	Q8N684
Q9CQT2	Q9CQT2
Q9NSN8	Q9NSN8
P82162	P82162
Q6P2H3	Q6P2H3
P06509	P06509
Q09685	Q09685
Q06211	Q06211
Q965W2	Q965W2
Q10740	Q10740
Q9LYD9	Q9LYD9
O08608	O08608
O60184	O60184
Q92900	Q92900
Q8NI35	Q8NI35
Q9H4Z3	Q9H4Z3
Q12259	Q12259
Q8MUF9	Q8MUF9
O75324	O75324
Q96AH0	Q96AH0
Q9S7I0	Q9S7I0
P86924	P86924
Q09856	Q09856
E9PYL2	E9PYL2
Q1ENB6	Q1ENB6
P25368	P25368
Q9WV02	Q9WV02
P05549	P05549
Q9UU84	Q9UU84
O94740	O94740
Q9Y7Q6	Q9Y7Q6
O94355	O94355
Q9N5S3	Q9N5S3
P46972	P46972
A2A5K6	A2A5K6
P38172	P38172
Q9NS91	Q9NS91
P53968	P53968
Q9P287	Q9P287
O94585	O94585
Q6UXY1	Q6UXY1
P83183	P83183
P23179	P23179
Q15057	Q15057
O74844	O74844
Q8I615	Q8I615
P12852	P12852
P41896	P41896
Q99LG4	Q99LG4
Q9VXG1	Q9VXG1
Q02950	Q02950
O94589	O94589
Q6ZMT4	Q6ZMT4
P39956	P39956
Q8GYU3	Q8GYU3
B2D6M2	B2D6M2
O23210	O23210
Q39055	Q39055
Q40460	Q40460
Q8GSM2	Q8GSM2
Q2KIR7	Q2KIR7
P25627	P25627
P40360	P40360
O17679	O17679
O24463	O24463
Q8WVI0	Q8WVI0
O82170	O82170
P20050	P20050
O43031	O43031
Q8BGW1	Q8BGW1
Q9Z2D6	Q9Z2D6
P41930	P41930
P25299	P25299
P43606	P43606
Q6S4P4	Q6S4P4
Q9ER97	Q9ER97
P07255	P07255
Q9Y5B0	Q9Y5B0
Q96EY7	Q96EY7
Q9Y7M6	Q9Y7M6
Q8NBI5	Q8NBI5
P40498	P40498
Q90941	Q90941
Q06149	Q06149
Q6PIZ9	Q6PIZ9
Q09739	Q09739
Q9SL05	Q9SL05
Q53JF7	Q53JF7
Q03782	Q03782
F4HVZ5	F4HVZ5
P56385	P56385
Q08622	Q08622
Q3U284	Q3U284
P98078	P98078
P32357	P32357
P21359	P21359
P56645	P56645
Q7K4V4	Q7K4V4
Q07555	Q07555
Q12487	Q12487
Q9VFG8	Q9VFG8
P25846	P25846
Q96B23	Q96B23
P38228	P38228
Q9Y421	Q9Y421
Q9USY4	Q9USY4
Q6AT41	Q6AT41
Q969Y2	Q969Y2
F4IHY7	F4IHY7
Q09130	Q09130
Q62908	Q62908
Q3U2U7	Q3U2U7
Q9FKP4	Q9FKP4
Q9Y2D1	Q9Y2D1
Q08047	Q08047
P39880	P39880
P24522	P24522
Q9JKD9	Q9JKD9
P53233	P53233
Q12476	Q12476
Q9UKN8	Q9UKN8
P23611	P23611
Q9LPL4	Q9LPL4
Q10252	Q10252
P69447	P69447
U3H042	U3H042
Q9DB60	Q9DB60
Q9DBA9	Q9DBA9
P14712	P14712
O75665	O75665
Q39255	Q39255
P33399	P33399
P07548	P07548
Q9BS16	Q9BS16
P32792	P32792
Q15785	Q15785
P54113	P54113
P32494	P32494
Q9UNE7	Q9UNE7
Q9FN69	Q9FN69
Q9UPV0	Q9UPV0
S8EZA7	S8EZA7
Q8IVF7	Q8IVF7
Q6NZY4	Q6NZY4
Q5AP95	Q5AP95
I6LAD1	I6LAD1
Q42496	Q42496
Q9CQ29	Q9CQ29
Q9VQI9	Q9VQI9
Q8VDU0	Q8VDU0
Q9NRG9	Q9NRG9
Q924W6	Q924W6
P41002	P41002
Q96NE9	Q96NE9
P41073	P41073
Q96L08	Q96L08
O97965	O97965
Q0PNE2	Q0PNE2
O43918	O43918
Q6PDS3	Q6PDS3
Q9PVF7	Q9PVF7
Q96RL1	Q96RL1
P53335	P53335
P22058	P22058
O94822	O94822
Q24573	Q24573
Q8GT74	Q8GT74
Q9UH92	Q9UH92
G5EC86	G5EC86
Q15916	Q15916
Q8LD98	Q8LD98
Q9R1X4	Q9R1X4
O59858	O59858
Q652K4	Q652K4
P53226	P53226
P38803	P38803
Q9FNZ5	Q9FNZ5
D0EL35	D0EL35
Q9XI46	Q9XI46
Q9NZI6	Q9NZI6
P53875	P53875
Q9Y605	Q9Y605
Q9VJL6	Q9VJL6
O14981	O14981
Q6A037	Q6A037
P78337	P78337
P53287	P53287
Q86UA6	Q86UA6
Q9C8J7	Q9C8J7
O08586	O08586
Q8R4I4	Q8R4I4
Q00757	Q00757
Q6L5B5	Q6L5B5
P38789	P38789
Q9CPP6	Q9CPP6
Q9LU39	Q9LU39
P35195	P35195
Q7RWZ7	Q7RWZ7
Q8IYR2	Q8IYR2
A2AG58	A2AG58
Q9NYV6	Q9NYV6
P34708	P34708
P40344	P40344
Q700C7	Q700C7
O95817	O95817
Q9VYD1	Q9VYD1
O94329	O94329
P53067	P53067
O15360	O15360
Q12788	Q12788
Q9NZG7	Q9NZG7
Q7Z419	Q7Z419
O09174	O09174
P53920	P53920
O93956	O93956
Q05958	Q05958
Q93Y32	Q93Y32
Q8NHY2	Q8NHY2
Q6VNB8	Q6VNB8
P14731	P14731
Q10573	Q10573
O42666	O42666
Q9SK50	Q9SK50
Q5IBH7	Q5IBH7
Q32NR9	Q32NR9
Q8TC90	Q8TC90
Q07534	Q07534
Q96F07	Q96F07
P36151	P36151
Q9STF2	Q9STF2
Q15058	Q15058
P52594	P52594
Q9UL03	Q9UL03
Q15398	Q15398
Q9BXP2	Q9BXP2
Q86WB7	Q86WB7
Q8VYZ5	Q8VYZ5
Q9LDE4	Q9LDE4
O74835	O74835
P82245	P82245
P46781	P46781
P51610	P51610
Q9H6Z9	Q9H6Z9
Q15834	Q15834
P32914	P32914
Q9U221	Q9U221
Q39249	Q39249
P92792	P92792
P19634	P19634
P32944	P32944
A0A1D8PRB7	A0A1D8PRB7
Q8LLD0	Q8LLD0
G5EFQ5	G5EFQ5
Q06683	Q06683
Q9U226	Q9U226
Q8TDB4	Q8TDB4
Q18909	Q18909
Q9D818	Q9D818
Q9W2H9	Q9W2H9
Q9P3U7	Q9P3U7
Q9ZQ19	Q9ZQ19
Q63430	Q63430
Q10FT0	Q10FT0
P28328	P28328
Q8TBE7	Q8TBE7
Q9LEK8	Q9LEK8
Q9P7B7	Q9P7B7
Q9BZJ8	Q9BZJ8
Q8BP40	Q8BP40
O74311	O74311
Q9VN91	Q9VN91
P07910	P07910
P38769	P38769
Q94FL6	Q94FL6
Q62209	Q62209
Q01080	Q01080
O60150	O60150
P78527	P78527
P36517	P36517
Q9NUJ1	Q9NUJ1
Q8NBZ0	Q8NBZ0
Q05905	Q05905
Q9SQR5	Q9SQR5
A0A2I0C2C6	A0A2I0C2C6
Q9HFF5	Q9HFF5
O75554	O75554
P54730	P54730
A2AIL4	A2AIL4
O35615	O35615
Q9JKU3	Q9JKU3
P11836	P11836
O09053	O09053
Q8NC56	Q8NC56
P53330	P53330
Q61234	Q61234
Q8VC65	Q8VC65
Q9D842	Q9D842
Q8VWK0	Q8VWK0
O80842	O80842
Q9UI32	Q9UI32
Q86YN6	Q86YN6
Q6C6R8	Q6C6R8
Q9M8S7	Q9M8S7
P53201	P53201
Q03525	Q03525
T2BMW7	T2BMW7
Q5U623	Q5U623
Q6PB70	Q6PB70
P42232	P42232
P49916	P49916
O35914	O35914
Q9XII1	Q9XII1
Q9P7C9	Q9P7C9
P0DJH7	P0DJH7
Q0JFZ0	Q0JFZ0
Q9Y2R0	Q9Y2R0
Q93356	Q93356
Q94K75	Q94K75
P32493	P32493
P08417	P08417
Q99188	Q99188
Q9Y4E5	Q9Y4E5
Q4WF55	Q4WF55
Q9CAH5	Q9CAH5
Q96C01	Q96C01
Q96C12	Q96C12
Q2Z1W2	Q2Z1W2
P32855	P32855
O94609	O94609
A0A6P3HVI0	A0A6P3HVI0
Q674X7	Q674X7
C4R4G9	C4R4G9
Q9H008	Q9H008
Q9USQ4	Q9USQ4
Q6Z955	Q6Z955
Q9NX04	Q9NX04
Q9JK95	Q9JK95
Q9LS02	Q9LS02
Q9UQY9	Q9UQY9
Q02796	Q02796
Q9NVR2	Q9NVR2
Q9VC45	Q9VC45
Q9BSI4	Q9BSI4
P22813	P22813
Q96H22	Q96H22
Q9Y4K3	Q9Y4K3
P62847	P62847
Q6P6J4	Q6P6J4
P50539	P50539
O75603	O75603
Q587E3	Q587E3
Q63342	Q63342
Q84JG2	Q84JG2
E2RU10	E2RU10
Q03760	Q03760
P25046	P25046
Q8NF64	Q8NF64
O74553	O74553
P50531	P50531
Q9UF56	Q9UF56
Q9P7E0	Q9P7E0
Q9H8W5	Q9H8W5
Q9NVH0	Q9NVH0
Q9HGN4	Q9HGN4
O70531	O70531
P55199	P55199
Q15047	Q15047
Q86WP2	Q86WP2
Q02060	Q02060
A0A120KVR5	A0A120KVR5
Q708Y0	Q708Y0
P22224	P22224
Q92688	Q92688
Q8BHK1	Q8BHK1
Q09808	Q09808
Q04847	Q04847
P82970	P82970
Q8VWG3	Q8VWG3
O02351	O02351
Q1MT80	Q1MT80
P47074	P47074
Q96BN2	Q96BN2
Q6UB28	Q6UB28
Q10103	Q10103
Q9UU79	Q9UU79
A8CEI3	A8CEI3
O49687	O49687
Q9SJQ6	Q9SJQ6
P40995	P40995
Q12066	Q12066
Q12179	Q12179
O54697	O54697
Q9Y512	Q9Y512
Q61884	Q61884
Q3ZBF6	Q3ZBF6
Q9VWE6	Q9VWE6
Q2NL27	Q2NL27
P43079	P43079
Q9UKV3	Q9UKV3
Q557E7	Q557E7
Q9LSC4	Q9LSC4
P40543	P40543
Q12433	Q12433
