Q12396	accession	Label	Set	CV_Fold	O74740	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
	O15427	0	Training	2	O15427	Homo sapiens	Metazoa	465		True
	P27516	0	Training	3	P27516	Dunaliella salina	Plants	172		False
	A0A3Q7HWE4	0	Training	4	A0A3Q7HWE4	Solanum lycopersicum	Plants	165		False
	Q8GT66	0	Training	0	Q8GT66	Pisum sativum	Plants	436		False
	Q8NFG4	0	Training	1	Q8NFG4	Homo sapiens	Metazoa	579		False
	Q9HDZ3	0	Training	2	Q9HDZ3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	182		False
	Q9Z2S7	0	Training	3	Q9Z2S7	Mus musculus	Metazoa	137		False
	Q9ULE6	0	Training	4	Q9ULE6	Homo sapiens	Metazoa	856		False
	Q6NZN1	0	Training	0	Q6NZN1	Mus musculus	Metazoa	1644		False
	A2ALU4	0	Training	1	A2ALU4	Mus musculus	Metazoa	1481		False
	O60141	0	Training	2	O60141	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	299		False
	P52868	0	Training	3	P52868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		False
	Q9STY4	0	Training	4	Q9STY4	Arabidopsis thaliana	Plants	599		False
	Q9P7L2	0	Training	0	Q9P7L2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	425		False
	P47158	0	Training	1	P47158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	497		False
	Q920F5	0	Training	2	Q920F5	Rattus norvegicus	Metazoa	492		False
	Q9NGX9	0	Training	3	Q9NGX9	Drosophila melanogaster	Metazoa	489		False
	Q9SCR2	0	Training	4	Q9SCR2	Arabidopsis thaliana	Plants	209		False
	Q8GSJ6	0	Training	0	Q8GSJ6	Arabidopsis thaliana	Plants	154		True
	J9VQC4	0	Training	1	J9VQC4	Cryptococcus neoformans (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	366		True
	P14908	0	Training	2	P14908	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341		False
	Q08702	0	Training	3	Q08702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	217		False
	Q8IWA0	0	Training	4	Q8IWA0	Homo sapiens	Metazoa	830		False
	Q69ZR9	0	Training	0	Q69ZR9	Mus musculus	Metazoa	1610		False
	Q68CP9	0	Training	1	Q68CP9	Homo sapiens	Metazoa	1835		False
	A0A075TRC0	0	Training	2	A0A075TRC0	Penicillium expansum	Fungi	1776		False
	Q0D2I5	0	Training	3	Q0D2I5	Homo sapiens	Metazoa	559		False
	Q9EPK5	0	Training	4	Q9EPK5	Mus musculus	Metazoa	395		False
	Q61127	0	Training	0	Q61127	Mus musculus	Metazoa	525		False
	P06100	0	Training	1	P06100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	191		False
	Q06148	0	Training	2	Q06148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	342		True
	O49570	0	Training	3	O49570	Arabidopsis thaliana	Plants	650		False
	Q0WQ41	0	Training	4	Q0WQ41	Arabidopsis thaliana	Plants	594		False
	Q5U623	0	Training	0	Q5U623	Homo sapiens	Metazoa	682		False
	Q9FLU1	0	Training	1	Q9FLU1	Arabidopsis thaliana	Plants	454		False
	Q14140	0	Training	2	Q14140	Homo sapiens	Metazoa	314		False
	O60674	0	Training	3	O60674	Homo sapiens	Metazoa	1132		False
	Q8RWD5	0	Training	4	Q8RWD5	Arabidopsis thaliana	Plants	577		False
	O94972	0	Training	0	O94972	Homo sapiens	Metazoa	964		False
	Q12361	0	Training	1	Q12361	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	961		True
	P42900	0	Training	2	P42900	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	643		False
	A2A288	0	Training	3	A2A288	Homo sapiens	Metazoa	527		False
	P47118	0	Training	4	P47118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	141		False
	Q1K548	0	Training	0	Q1K548	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	477		False
	O60921	0	Training	1	O60921	Homo sapiens	Metazoa	280		False
	P34241	0	Training	2	P34241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1764		False
	P33759	0	Training	3	P33759	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	307		False
	G5EEG9	0	Training	4	G5EEG9	Caenorhabditis elegans	Metazoa	399		False
	Q09184	0	Training	0	Q09184	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	381		False
	Q9VKV5	0	Training	1	Q9VKV5	Drosophila melanogaster	Metazoa	319		False
	Q6ZIV7	0	Training	2	Q6ZIV7	Oryza sativa subsp. japonica	Plants	284		False
	Q07938	0	Training	3	Q07938	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	337		False
	P43557	0	Training	4	P43557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	207		False
	O61707	0	Training	0	O61707	Caenorhabditis elegans	Metazoa	523		False
	P38255	0	Training	1	P38255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430		False
	Q9BWC9	0	Training	2	Q9BWC9	Homo sapiens	Metazoa	280		False
	Q8N6I1	0	Training	3	Q8N6I1	Homo sapiens	Metazoa	236		False
	Q10178	0	Training	4	Q10178	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205		False
	P14604	0	Training	0	P14604	Rattus norvegicus	Metazoa	290		False
	P40099	0	Training	1	P40099	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211		False
	Q9D011	0	Training	2	Q9D011	Mus musculus	Metazoa	178		False
	P82670	0	Training	3	P82670	Bos taurus	Metazoa	201		False
	Q5VTT2	0	Training	4	Q5VTT2	Homo sapiens	Metazoa	229		False
	Q9LES2	0	Training	0	Q9LES2	Arabidopsis thaliana	Plants	478		False
	O14161	0	Training	1	O14161	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	293		False
	Q76KJ5	0	Training	2	Q76KJ5	Mus musculus	Metazoa	399		False
	P14731	0	Training	3	P14731	Gallus gallus	Metazoa	584		False
	P19447	0	Training	4	P19447	Homo sapiens	Metazoa	782		False
	Q70CQ1	0	Training	0	Q70CQ1	Homo sapiens	Metazoa	688		False
	P00390	0	Training	1	P00390	Homo sapiens	Metazoa	522		False
	P46059	0	Training	2	P46059	Homo sapiens	Metazoa	708		True
	Q5VWN6	0	Training	3	Q5VWN6	Homo sapiens	Metazoa	2430		False
	D3Z7H4	0	Training	4	D3Z7H4	Mus musculus	Metazoa	322		True
	Q01750	0	Training	0	Q01750	Rattus norvegicus	Metazoa	249		False
	Q7ZT48	0	Training	1	Q7ZT48	Xenopus laevis	Metazoa	221		False
	Q9Y3F4	0	Training	2	Q9Y3F4	Homo sapiens	Metazoa	350		False
	Q8BVE8	0	Training	3	Q8BVE8	Mus musculus	Metazoa	1365		False
	Q6J9Q2	0	Training	4	Q6J9Q2	Arabidopsis thaliana	Plants	348		False
	Q96E29	0	Training	0	Q96E29	Homo sapiens	Metazoa	417		False
	P53808	0	Training	1	P53808	Mus musculus	Metazoa	214		False
	P32626	0	Training	2	P32626	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	227		False
	Q15560	0	Training	3	Q15560	Homo sapiens	Metazoa	299		False
	P22354	0	Training	4	P22354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	195		False
	O94913	0	Training	0	O94913	Homo sapiens	Metazoa	1555		False
	O82204	0	Training	1	O82204	Arabidopsis thaliana	Plants	143		False
	P30316	0	Training	2	P30316	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1086		False
	O22059	0	Training	3	O22059	Arabidopsis thaliana	Plants	94		False
	Q6ZQX7	0	Training	4	Q6ZQX7	Homo sapiens	Metazoa	453		False
	A0A0P0WQ90	0	Training	0	A0A0P0WQ90	Oryza sativa subsp. japonica	Plants	416		False
	P38193	0	Training	1	P38193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	441		False
	A0A5B9G902	0	Training	2	A0A5B9G902	Aureobasidium melanogenum	Fungi	521		False
	Q9D4H9	0	Training	3	Q9D4H9	Mus musculus	Metazoa	941		False
	Q02630	0	Training	4	Q02630	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1113		False
	Q9BXJ9	0	Training	0	Q9BXJ9	Homo sapiens	Metazoa	866		False
	Q09014	0	Training	1	Q09014	Mus musculus	Metazoa	390		False
	Q8NI36	0	Training	2	Q8NI36	Homo sapiens	Metazoa	895		False
	P25188	0	Training	3	P25188	Cavia porcellus	Metazoa	167		False
	Q9P7H5	0	Training	4	Q9P7H5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	175		False
	Q9Y7K9	0	Training	0	Q9Y7K9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	246		False
	Q8S4Q6	0	Training	1	Q8S4Q6	Arabidopsis thaliana	Plants	202		False
	Q9USM4	0	Training	2	Q9USM4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	264		False
	P40360	0	Training	3	P40360	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	574		False
	Q66GP9	0	Training	4	Q66GP9	Arabidopsis thaliana	Plants	561		False
	Q7S910	0	Training	0	Q7S910	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	263		False
	A8WFJ9	0	Training	1	A8WFJ9	Caenorhabditis elegans	Metazoa	463		False
	Q6ZYL4	0	Training	2	Q6ZYL4	Homo sapiens	Metazoa	71		False
	P22033	0	Training	3	P22033	Homo sapiens	Metazoa	750		False
	Q06678	0	Training	4	Q06678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		False
	Q08687	0	Training	0	Q08687	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	178		False
	Q9H8E8	0	Training	1	Q9H8E8	Homo sapiens	Metazoa	782		False
	P53125	0	Training	2	P53125	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1264		False
	P40381	0	Training	3	P40381	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328		False
	Q9NZZ3	0	Training	4	Q9NZZ3	Homo sapiens	Metazoa	219		False
	Q9NPD3	0	Training	0	Q9NPD3	Homo sapiens	Metazoa	245		False
	Q9D1F4	0	Training	1	Q9D1F4	Mus musculus	Metazoa	257		False
	Q96PN7	0	Training	2	Q96PN7	Homo sapiens	Metazoa	1200		False
	Q07163	0	Training	3	Q07163	Saccharomyces cerevisiae	Fungi	1755		False
	Q8IZD2	0	Training	4	Q8IZD2	Homo sapiens	Metazoa	1858		False
	P32505	0	Training	0	P32505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	525		False
	Q96GX5	0	Training	1	Q96GX5	Homo sapiens	Metazoa	879		False
	P41812	0	Training	2	P41812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	875		False
	Q9ZVA7	0	Training	3	Q9ZVA7	Arabidopsis thaliana	Plants	468		False
	Q8LDU1	0	Training	4	Q8LDU1	Arabidopsis thaliana	Plants	321		False
	Q9R0X4	0	Training	0	Q9R0X4	Mus musculus	Metazoa	439		False
	B6HQN4	0	Training	1	B6HQN4	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	268		False
	O60287	0	Training	2	O60287	Homo sapiens	Metazoa	2271		False
	Q9HAV7	0	Training	3	Q9HAV7	Homo sapiens	Metazoa	217		False
	Q8TEC5	0	Training	4	Q8TEC5	Homo sapiens	Metazoa	729		False
	Q9HCC9	0	Training	0	Q9HCC9	Homo sapiens	Metazoa	887		False
	Q8NF50	0	Training	1	Q8NF50	Homo sapiens	Metazoa	2099		False
	Q8C624	0	Training	2	Q8C624	Mus musculus	Metazoa	132		False
	Q15038	0	Training	3	Q15038	Homo sapiens	Metazoa	168		False
	Q12393	0	Training	4	Q12393	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293		False
	O22267	0	Training	0	O22267	Arabidopsis thaliana	Plants	1122		True
	P16455	0	Training	1	P16455	Homo sapiens	Metazoa	207		False
	P43309	0	Training	2	P43309	Malus domestica	Plants	593		False
	O00463	0	Training	3	O00463	Homo sapiens	Metazoa	557		False
	P15771	0	Training	4	P15771	Gallus gallus	Metazoa	694		False
	Q9LY23	0	Training	0	Q9LY23	Arabidopsis thaliana	Plants	286		False
	P40084	0	Training	1	P40084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	226		False
	A2AMT1	0	Training	2	A2AMT1	Mus musculus	Metazoa	669		False
	Q557E7	0	Training	3	Q557E7	Dictyostelium discoideum	Other	665		False
	Q9W0I5	0	Training	4	Q9W0I5	Drosophila melanogaster	Metazoa	251		False
	Q9LV91	0	Training	0	Q9LV91	Arabidopsis thaliana	Plants	576		False
	Q9FNZ5	0	Training	1	Q9FNZ5	Arabidopsis thaliana	Plants	142		False
	Q12018	0	Training	2	Q12018	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	815		False
	O74350	0	Training	3	O74350	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	299		False
	P11930	0	Training	4	P11930	Mus musculus	Metazoa	357		False
	Q9P2N6	0	Training	0	Q9P2N6	Homo sapiens	Metazoa	904		False
	Q9BUL9	0	Training	1	Q9BUL9	Homo sapiens	Metazoa	199		False
	P53251	0	Training	2	P53251	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210		False
	Q04477	0	Training	3	Q04477	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	213		False
	Q6PR54	0	Training	4	Q6PR54	Mus musculus	Metazoa	2419		False
	E2RU10	0	Training	0	E2RU10	Giardia intestinalis (strain ATCC 50803 / WB clone C6)	Other	238		False
	P49756	0	Training	1	P49756	Homo sapiens	Metazoa	843		False
	Q6GPH4	0	Training	2	Q6GPH4	Homo sapiens	Metazoa	301		False
	Q06163	0	Training	3	Q06163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	884		False
	Q8N108	0	Training	4	Q8N108	Homo sapiens	Metazoa	512		False
	Q15326	0	Training	0	Q15326	Homo sapiens	Metazoa	602		False
	Q8VCM2	0	Training	1	Q8VCM2	Mus musculus	Metazoa	349		False
	Q9P267	0	Training	2	Q9P267	Homo sapiens	Metazoa	1494		False
	Q04149	0	Training	3	Q04149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	632		False
	Q04781	0	Training	4	Q04781	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1562		False
	A0A125S9M5	0	Training	0	A0A125S9M5	Hypsibius exemplaris	Metazoa	614		False
	Q5XIQ3	0	Training	1	Q5XIQ3	Rattus norvegicus	Metazoa	316		False
	P36517	0	Training	2	P36517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319		False
	P16522	0	Training	3	P16522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	626		False
	P37263	0	Training	4	P37263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153		False
	Q84N64	0	Training	0	Q84N64	Arabidopsis thaliana	Plants	777		False
	Q10PI9	0	Training	1	Q10PI9	Oryza sativa subsp. japonica	Plants	459		False
	P36136	0	Training	2	P36136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271		False
	P41846	0	Training	3	P41846	Caenorhabditis elegans	Metazoa	1009		False
	Q86V15	0	Training	4	Q86V15	Homo sapiens	Metazoa	1759		False
	P47164	0	Training	0	P47164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	639		False
	Q14192	0	Training	1	Q14192	Homo sapiens	Metazoa	279		False
	K4C9E2	0	Training	2	K4C9E2	Solanum lycopersicum	Plants	498		False
	Q10666	0	Training	3	Q10666	Caenorhabditis elegans	Metazoa	438		False
	P40923	0	Training	4	P40923	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	201		False
	P51948	0	Training	0	P51948	Homo sapiens	Metazoa	309		False
	P49334	0	Training	1	P49334	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	152		False
	Q6SKR2	0	Training	2	Q6SKR2	Mus musculus	Metazoa	214		False
	Q18490	0	Training	3	Q18490	Caenorhabditis elegans	Metazoa	142		False
	Q06142	0	Training	4	Q06142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	861		False
	Q9VWE6	0	Training	0	Q9VWE6	Drosophila melanogaster	Metazoa	2111		False
	P0DJH7	0	Training	1	P0DJH7	Gallus gallus	Metazoa	80		False
	Q80T69	0	Training	2	Q80T69	Mus musculus	Metazoa	795		False
	Q9NAD6	0	Training	3	Q9NAD6	Caenorhabditis elegans	Metazoa	706		False
	P39706	0	Training	4	P39706	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	426		False
	K7W9N9	0	Training	0	K7W9N9	Solanum lycopersicum	Plants	285		False
	G5ED29	0	Training	1	G5ED29	Caenorhabditis elegans	Metazoa	959		False
	Q9LFQ9	0	Training	2	Q9LFQ9	Arabidopsis thaliana	Plants	359		False
	Q84MB6	0	Training	3	Q84MB6	Arabidopsis thaliana	Plants	332		False
	O13777	0	Training	4	O13777	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	217		False
	Q5XG73	0	Training	0	Q5XG73	Mus musculus	Metazoa	508		False
	Q96S44	0	Training	1	Q96S44	Homo sapiens	Metazoa	253		False
	D3YN49	0	Training	2	D3YN49	Xenopus laevis	Metazoa	316		False
	J9VP29	0	Training	3	J9VP29	Cryptococcus neoformans (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	331		False
	Q8QFX1	0	Training	4	Q8QFX1	Gallus gallus	Metazoa	1325		False
	Q96JZ2	0	Training	0	Q96JZ2	Homo sapiens	Metazoa	352		False
	Q8MIR0	0	Training	1	Q8MIR0	Sus scrofa	Metazoa	373		False
	Q9JKL7	0	Training	2	Q9JKL7	Rattus norvegicus	Metazoa	494		False
	Q7ZYP6	0	Training	3	Q7ZYP6	Xenopus laevis	Metazoa	626		False
	Q7Z412	0	Training	4	Q7Z412	Homo sapiens	Metazoa	305		False
	Q9LU68	0	Training	0	Q9LU68	Arabidopsis thaliana	Plants	435		False
	A0A120KVR8	0	Training	1	A0A120KVR8	Trypanosoma brucei brucei	Other	1728		False
	P53540	0	Training	2	P53540	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	846		False
	Q09406	0	Training	3	Q09406	Caenorhabditis elegans	Metazoa	534		False
	Q12149	0	Training	4	Q12149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	733		False
	Q944A6	0	Training	0	Q944A6	Arabidopsis thaliana	Plants	487		False
	Q9Z0W3	0	Training	1	Q9Z0W3	Mus musculus	Metazoa	1402		False
	A8J785	0	Training	2	A8J785	Chlamydomonas reinhardtii	Plants	209		True
	P53999	0	Training	3	P53999	Homo sapiens	Metazoa	127		False
	P92792	0	Training	4	P92792	Solanum tuberosum	Plants	204		False
	P13405	0	Training	0	P13405	Mus musculus	Metazoa	921		False
	P38727	0	Training	1	P38727	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	235		True
	Q96GZ6	0	Training	2	Q96GZ6	Homo sapiens	Metazoa	507		True
	P25054	0	Training	3	P25054	Homo sapiens	Metazoa	2843		False
	Q23064	0	Training	4	Q23064	Caenorhabditis elegans	Metazoa	1041		False
	P82916	0	Training	0	P82916	Bos taurus	Metazoa	130		False
	P48382	0	Training	1	P48382	Homo sapiens	Metazoa	616		False
	Q8K4R8	0	Training	2	Q8K4R8	Rattus norvegicus	Metazoa	601		True
	Q8GZR2	0	Training	3	Q8GZR2	Euglena gracilis	Other	496		False
	L0R6Q1	0	Training	4	L0R6Q1	Homo sapiens	Metazoa	103		True
	Q23272	0	Training	0	Q23272	Caenorhabditis elegans	Metazoa	488		False
	Q9SAR5	0	Training	1	Q9SAR5	Arabidopsis thaliana	Plants	342		False
	Q04347	0	Training	2	Q04347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519		False
	P40053	0	Training	3	P40053	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	627		False
	P29539	0	Training	4	P29539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1916		False
	Q9VBX2	0	Training	0	Q9VBX2	Drosophila melanogaster	Metazoa	367		False
	T2BMW7	0	Training	1	T2BMW7	Cryptococcus neoformans (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	548		False
	Q9WV69	0	Training	2	Q9WV69	Mus musculus	Metazoa	405		False
	Q39083	0	Training	3	Q39083	Arabidopsis thaliana	Plants	206		False
	P17677	0	Training	4	P17677	Homo sapiens	Metazoa	238		False
	Q9GZS1	0	Training	0	Q9GZS1	Homo sapiens	Metazoa	419		False
	P39715	0	Training	1	P39715	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	212		False
	Q96C01	0	Training	2	Q96C01	Homo sapiens	Metazoa	138		False
	Q06623	0	Training	3	Q06623	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	655		False
	O43913	0	Training	4	O43913	Homo sapiens	Metazoa	435		False
	P25398	0	Training	0	P25398	Homo sapiens	Metazoa	132		False
	O43008	0	Training	1	O43008	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300		False
	Q96I23	0	Training	2	Q96I23	Homo sapiens	Metazoa	114		False
	Q99741	0	Training	3	Q99741	Homo sapiens	Metazoa	560		False
	P21269	0	Training	4	P21269	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	546		False
	Q9D494	0	Training	0	Q9D494	Mus musculus	Metazoa	218		False
	Q6PG16	0	Training	1	Q6PG16	Mus musculus	Metazoa	667		False
	Q6P8Z1	0	Training	2	Q6P8Z1	Mus musculus	Metazoa	170		False
	Q92922	0	Training	3	Q92922	Homo sapiens	Metazoa	1105		False
	Q7SCZ3	0	Training	4	Q7SCZ3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	218		False
	P23326	0	Training	0	P23326	Spinacia oleracea	Plants	159		False
	Q9STY0	0	Training	1	Q9STY0	Arabidopsis thaliana	Plants	227		True
	O14925	0	Training	2	O14925	Homo sapiens	Metazoa	209		True
	Q96BQ5	0	Training	3	Q96BQ5	Homo sapiens	Metazoa	260		False
	Q8L773	0	Training	4	Q8L773	Arabidopsis thaliana	Plants	244		False
	Q9HCI7	0	Training	0	Q9HCI7	Homo sapiens	Metazoa	577		False
	P25963	0	Training	1	P25963	Homo sapiens	Metazoa	317		False
	Q9UBY9	0	Training	2	Q9UBY9	Homo sapiens	Metazoa	170		False
	Q12308	0	Training	3	Q12308	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	588		False
	E9EWQ4	0	Training	4	E9EWQ4	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075)	Fungi	1004		False
	Q8CDY7	0	Training	0	Q8CDY7	Mus musculus	Metazoa	219		False
	Q8LD98	0	Training	1	Q8LD98	Arabidopsis thaliana	Plants	252		True
	P30414	0	Training	2	P30414	Homo sapiens	Metazoa	1462		False
	Q9Y6W5	0	Training	3	Q9Y6W5	Homo sapiens	Metazoa	498		False
	Q99L90	0	Training	4	Q99L90	Mus musculus	Metazoa	462		False
	Q96I59	0	Training	0	Q96I59	Homo sapiens	Metazoa	477		False
	Q8N7J2	0	Training	1	Q8N7J2	Homo sapiens	Metazoa	671		False
	P46940	0	Training	2	P46940	Homo sapiens	Metazoa	1657		False
	O00566	0	Training	3	O00566	Homo sapiens	Metazoa	681		False
	Q8IZL2	0	Training	4	Q8IZL2	Homo sapiens	Metazoa	1156		False
	P15343	0	Training	0	P15343	Equus caballus	Metazoa	58		False
	Q18237	0	Training	1	Q18237	Caenorhabditis elegans	Metazoa	1076		False
	Q86YI8	0	Training	2	Q86YI8	Homo sapiens	Metazoa	300		False
	Q8K3Y6	0	Training	3	Q8K3Y6	Rattus norvegicus	Metazoa	776		False
	Q96EV2	0	Training	4	Q96EV2	Homo sapiens	Metazoa	1170		False
	O65282	0	Training	0	O65282	Arabidopsis thaliana	Plants	253		False
	Q8NBZ0	0	Training	1	Q8NBZ0	Homo sapiens	Metazoa	244		False
	Q5FWF5	0	Training	2	Q5FWF5	Homo sapiens	Metazoa	840		False
	P38291	0	Training	3	P38291	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140		False
	P32862	0	Training	4	P32862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1170		False
	K4PW38	0	Training	0	K4PW38	Oryza sativa subsp. japonica	Plants	458		False
	P49773	0	Training	1	P49773	Homo sapiens	Metazoa	126		False
	P32841	0	Training	2	P32841	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	428		False
	Q02953	0	Training	3	Q02953	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	609		False
	Q9M2X3	0	Training	4	Q9M2X3	Arabidopsis thaliana	Plants	295		False
	Q6CLY8	0	Training	0	Q6CLY8	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	Fungi	368		False
	Q9VDE4	0	Training	1	Q9VDE4	Drosophila melanogaster	Metazoa	286		False
	P07255	0	Training	2	P07255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	59		True
	Q7M2P1	0	Training	3	Q7M2P1	Sus scrofa	Metazoa	76		False
	Q3E747	0	Training	4	Q3E747	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	85		False
	S0DQI7	0	Training	0	S0DQI7	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831)	Fungi	316		False
	P34234	0	Training	1	P34234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	306		False
	Q03694	0	Training	2	Q03694	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420		False
	K7WDL7	0	Training	3	K7WDL7	Catharanthus roseus	Plants	388		False
	Q7Z7K0	0	Training	4	Q7Z7K0	Homo sapiens	Metazoa	106		False
	Q11120	0	Training	0	Q11120	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	515		False
	Q12066	0	Training	1	Q12066	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484		False
	O43765	0	Training	2	O43765	Homo sapiens	Metazoa	313		False
	Q8VY52	0	Training	3	Q8VY52	Arabidopsis thaliana	Plants	232		False
	B6HU70	0	Training	4	B6HU70	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	361		False
	Q7FAD5	0	Training	0	Q7FAD5	Oryza sativa subsp. japonica	Plants	869		False
	Q9NVR2	0	Training	1	Q9NVR2	Homo sapiens	Metazoa	710		False
	P46959	0	Training	2	P46959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	383		False
	P35435	0	Training	3	P35435	Rattus norvegicus	Metazoa	273		False
	P68350	0	Training	4	P68350	Arabidopsis thaliana	Plants	175		False
	P79937	0	Training	0	P79937	Xenopus laevis	Metazoa	390		False
	Q5SXA9	0	Training	1	Q5SXA9	Mus musculus	Metazoa	1104		False
