O74740	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
Q9Y239	Q9Y239	Homo sapiens	Metazoa	953		False
Q9UBF9	Q9UBF9	Homo sapiens	Metazoa	498		False
Q9STL9	Q9STL9	Arabidopsis thaliana	Plants	633		False
Q86U90	Q86U90	Homo sapiens	Metazoa	279		False
P53886	P53886	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1748		False
Q9P6N2	Q9P6N2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	229		False
Q10R09	Q10R09	Oryza sativa subsp. japonica	Plants	310		False
G5EG51	G5EG51	Caenorhabditis elegans	Metazoa	1270		False
Q8K1Z0	Q8K1Z0	Mus musculus	Metazoa	313		False
Q7S4E7	Q7S4E7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	124		False
Q04170	Q04170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	232		False
D3YN49	D3YN49	Xenopus laevis	Metazoa	316		False
U4PAZ9	U4PAZ9	Caenorhabditis elegans	Metazoa	1112		False
O13936	O13936	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	990		False
O15427	O15427	Homo sapiens	Metazoa	465		True
Q9Y6N9	Q9Y6N9	Homo sapiens	Metazoa	552		False
Q9H227	Q9H227	Homo sapiens	Metazoa	469		False
Q9UIA0	Q9UIA0	Homo sapiens	Metazoa	394		False
Q10135	Q10135	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1235		False
Q6P4F7	Q6P4F7	Homo sapiens	Metazoa	1023		False
P0DOW4	P0DOW4	Ramazzottius varieornatus	Metazoa	445		False
Q08921	Q08921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	799		False
O14015	O14015	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	150		False
Q06810	Q06810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360		False
P36626	P36626	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	561		False
P34260	P34260	Caenorhabditis elegans	Metazoa	603		False
Q9D4H9	Q9D4H9	Mus musculus	Metazoa	941		False
Q61510	Q61510	Mus musculus	Metazoa	634		False
Q8IRB5	Q8IRB5	Drosophila melanogaster	Metazoa	1465		False
Q9UUA8	Q9UUA8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	120		False
Q580X6	Q580X6	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	928		False
Q6PG16	Q6PG16	Mus musculus	Metazoa	667		False
Q9H633	Q9H633	Homo sapiens	Metazoa	154		False
Q9USU3	Q9USU3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	878		False
Q39033	Q39033	Arabidopsis thaliana	Plants	581		False
O01811	O01811	Caenorhabditis elegans	Metazoa	377		True
Q9Y3E1	Q9Y3E1	Homo sapiens	Metazoa	203		False
Q9HE02	Q9HE02	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1185		False
Q8K459	Q8K459	Mus musculus	Metazoa	51		False
O14843	O14843	Homo sapiens	Metazoa	346		True
P40574	P40574	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	245		False
P0C7R1	P0C7R1	Arabidopsis thaliana	Plants	239		False
Q9QX98	Q9QX98	Mus musculus	Metazoa	324		False
Q9VC56	Q9VC56	Drosophila melanogaster	Metazoa	3912		False
Q18171	Q18171	Caenorhabditis elegans	Metazoa	424		False
Q12361	Q12361	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	961		True
Q9LXR8	Q9LXR8	Arabidopsis thaliana	Plants	318		False
P32807	P32807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	602		False
Q06455	Q06455	Homo sapiens	Metazoa	604		False
Q02606	Q02606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381		False
Q9SW18	Q9SW18	Arabidopsis thaliana	Plants	312		False
Q9LZP8	Q9LZP8	Arabidopsis thaliana	Plants	146		False
Q8N4H5	Q8N4H5	Homo sapiens	Metazoa	51		True
P03898	P03898	Bos taurus	Metazoa	115		True
Q8K3Q3	Q8K3Q3	Mus musculus	Metazoa	521		False
Q9C5S1	Q9C5S1	Arabidopsis thaliana	Plants	784		False
P14905	P14905	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	389		False
Q9US06	Q9US06	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	456		False
P98170	P98170	Homo sapiens	Metazoa	497		False
Q7XA07	Q7XA07	Chlamydomonas reinhardtii	Plants	427		False
Q681Z2	Q681Z2	Arabidopsis thaliana	Plants	203		False
P12853	P12853	Chlamydomonas reinhardtii	Plants	291		False
O75478	O75478	Homo sapiens	Metazoa	443		False
O88843	O88843	Mus musculus	Metazoa	199		False
Q09814	Q09814	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	239		False
Q6F6B5	Q6F6B5	Arabidopsis thaliana	Plants	741		False
Q49AM1	Q49AM1	Homo sapiens	Metazoa	385		False
P40012	P40012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539		False
Q497V6	Q497V6	Mus musculus	Metazoa	772		False
P54274	P54274	Homo sapiens	Metazoa	439		False
P11498	P11498	Homo sapiens	Metazoa	1178		False
Q9AYU1	Q9AYU1	Triphysaria versicolor	Plants	329		False
P47093	P47093	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	109		False
Q8WW38	Q8WW38	Homo sapiens	Metazoa	1151		False
O42636	O42636	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	278		False
O78750	O78750	Ovis aries	Metazoa	227		True
O13978	O13978	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	184		False
P28347	P28347	Homo sapiens	Metazoa	426		False
P18409	P18409	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	493		False
Q02223	Q02223	Homo sapiens	Metazoa	184		True
Q5T8A7	Q5T8A7	Homo sapiens	Metazoa	1209		False
P28803	P28803	Spinacia oleracea	Plants	128		False
Q8II12	Q8II12	Plasmodium falciparum (isolate 3D7)	Other	409		True
Q12830	Q12830	Homo sapiens	Metazoa	3046		False
P22342	P22342	Euglena viridis	Other	102		False
G5EGF8	G5EGF8	Caenorhabditis elegans	Metazoa	354		False
Q43715	Q43715	Pisum sativum	Plants	809		False
Q03018	Q03018	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1630		False
P53259	P53259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346		False
Q9ZUT3	Q9ZUT3	Arabidopsis thaliana	Plants	273		True
O88484	O88484	Rattus norvegicus	Metazoa	530		False
Q04603	Q04603	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	196		False
A0A143ZZK9	A0A143ZZK9	Plasmodium falciparum (isolate 3D7)	Other	1264		False
K4PW38	K4PW38	Oryza sativa subsp. japonica	Plants	458		False
O74942	O74942	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	610		False
Q6P587	Q6P587	Homo sapiens	Metazoa	221		False
Q9UBU9	Q9UBU9	Homo sapiens	Metazoa	619		False
Q969X0	Q969X0	Homo sapiens	Metazoa	211		False
Q06672	Q06672	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	205		False
Q9SU25	Q9SU25	Arabidopsis thaliana	Plants	649		False
F4I902	F4I902	Arabidopsis thaliana	Plants	420		False
Q9H063	Q9H063	Homo sapiens	Metazoa	256		False
Q86TU7	Q86TU7	Homo sapiens	Metazoa	594		False
Q55D99	Q55D99	Dictyostelium discoideum	Other	1197		False
P40554	P40554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99		False
Q9W4N2	Q9W4N2	Drosophila melanogaster	Metazoa	788		False
O97101	O97101	Dictyostelium discoideum	Other	1000		False
Q16581	Q16581	Homo sapiens	Metazoa	482		True
O94864	O94864	Homo sapiens	Metazoa	414		False
O78310	O78310	Arabidopsis thaliana	Plants	216		False
Q9JJP2	Q9JJP2	Mus musculus	Metazoa	631		False
Q64318	Q64318	Mus musculus	Metazoa	1117		False
P27216	P27216	Homo sapiens	Metazoa	316		False
Q9C8L2	Q9C8L2	Arabidopsis thaliana	Plants	287		False
A2RTF1	A2RTF1	Mus musculus	Metazoa	1109		False
Q21446	Q21446	Caenorhabditis elegans	Metazoa	539		False
Q7K003	Q7K003	Drosophila melanogaster	Metazoa	201		False
P00522	P00522	Drosophila melanogaster	Metazoa	1620		False
O13395	O13395	Mycosarcoma maydis	Fungi	1180		False
O81836	O81836	Arabidopsis thaliana	Plants	314		False
Q924C5	Q924C5	Mus musculus	Metazoa	1680		False
H3BKT1	H3BKT1	Mus musculus	Metazoa	185		False
P41695	P41695	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1021		False
P34224	P34224	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	193		False
Q7Z7C8	Q7Z7C8	Homo sapiens	Metazoa	310		False
Q9USX8	Q9USX8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	237		False
Q8N8R5	Q8N8R5	Homo sapiens	Metazoa	385		False
Q96GX8	Q96GX8	Homo sapiens	Metazoa	76		False
P32851	P32851	Rattus norvegicus	Metazoa	288		False
H2KYS8	H2KYS8	Caenorhabditis elegans	Metazoa	1107		True
O82286	O82286	Arabidopsis thaliana	Plants	226		False
O74374	O74374	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	554		False
Q9LR64	Q9LR64	Arabidopsis thaliana	Plants	174		False
Q9LZX6	Q9LZX6	Arabidopsis thaliana	Plants	365		False
Q9VN45	Q9VN45	Drosophila melanogaster	Metazoa	553		False
O75056	O75056	Homo sapiens	Metazoa	442		False
A0A1D8PJ01	A0A1D8PJ01	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	895		False
Q06675	Q06675	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	368		False
P14693	P14693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	329		False
Q94AR8	Q94AR8	Arabidopsis thaliana	Plants	509		False
Q811D2	Q811D2	Mus musculus	Metazoa	1581		False
Q6Z6S1	Q6Z6S1	Oryza sativa subsp. japonica	Plants	537		False
Q8L8Z1	Q8L8Z1	Arabidopsis thaliana	Plants	190		True
O13927	O13927	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	201		False
P0DKJ7	P0DKJ7	Arabidopsis thaliana	Plants	813		False
A2T1U1	A2T1U1	Brassica oleracea var. botrytis	Plants	305		False
O60016	O60016	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	490		False
Q9Y6H6	Q9Y6H6	Homo sapiens	Metazoa	103		True
A1Z8P9	A1Z8P9	Drosophila melanogaster	Metazoa	2346		False
Q15287	Q15287	Homo sapiens	Metazoa	305		False
Q9D8B6	Q9D8B6	Mus musculus	Metazoa	190		False
O43765	O43765	Homo sapiens	Metazoa	313		False
Q90578	Q90578	Gallus gallus	Metazoa	464		False
Q8L7E9	Q8L7E9	Arabidopsis thaliana	Plants	421		False
Q8VZS9	Q8VZS9	Arabidopsis thaliana	Plants	475		False
Q9H7D0	Q9H7D0	Homo sapiens	Metazoa	1870		False
F4JZC2	F4JZC2	Arabidopsis thaliana	Plants	680		False
Q8IWL3	Q8IWL3	Homo sapiens	Metazoa	235		False
P62952	P62952	Homo sapiens	Metazoa	87		True
P08907	P08907	Equus caballus	Metazoa	401		False
Q4ADV7	Q4ADV7	Homo sapiens	Metazoa	1423		False
Q9HCJ1	Q9HCJ1	Homo sapiens	Metazoa	492		True
Q5PRF9	Q5PRF9	Homo sapiens	Metazoa	694		False
Q9P7B8	Q9P7B8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	399		False
Q9LS48	Q9LS48	Arabidopsis thaliana	Plants	316		False
Q0JJ05	Q0JJ05	Oryza sativa subsp. japonica	Plants	987		False
O13851	O13851	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	294		False
Q9W157	Q9W157	Drosophila melanogaster	Metazoa	971		False
O14210	O14210	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	295		False
Q9P7X2	Q9P7X2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	533		False
O13900	O13900	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	481		False
P41223	P41223	Homo sapiens	Metazoa	144		False
P46309	P46309	Arabidopsis thaliana	Plants	522		False
Q5T7W0	Q5T7W0	Homo sapiens	Metazoa	954		False
P40208	P40208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455		False
Q3UYV9	Q3UYV9	Mus musculus	Metazoa	790		False
P24226	P24226	Brassica oleracea var. capitata	Plants	469		False
P42900	P42900	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	643		False
O60293	O60293	Homo sapiens	Metazoa	1989		False
Q0WPT7	Q0WPT7	Arabidopsis thaliana	Plants	352		False
Q9UST6	Q9UST6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	198		False
Q9H2X8	Q9H2X8	Homo sapiens	Metazoa	130		True
Q93VB2	Q93VB2	Arabidopsis thaliana	Plants	425		False
Q17602	Q17602	Caenorhabditis elegans	Metazoa	1390		False
Q8BH70	Q8BH70	Mus musculus	Metazoa	621		False
O43030	O43030	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	287		False
P39515	P39515	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	158		True
P31115	P31115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	442		False
Q04231	Q04231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177		False
Q3TN34	Q3TN34	Mus musculus	Metazoa	1009		False
Q9UQ35	Q9UQ35	Homo sapiens	Metazoa	2752		False
O73622	O73622	Xenopus laevis	Metazoa	293		False
O74544	O74544	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	314		False
O42958	O42958	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	754		False
Q92546	Q92546	Homo sapiens	Metazoa	391		False
P35639	P35639	Mus musculus	Metazoa	168		False
Q8BQP9	Q8BQP9	Mus musculus	Metazoa	257		False
Q6NZN1	Q6NZN1	Mus musculus	Metazoa	1644		False
Q10953	Q10953	Caenorhabditis elegans	Metazoa	796		False
Q08553	Q08553	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188		False
P46678	P46678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594		False
P02381	P02381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	398		False
Q8L493	Q8L493	Arabidopsis thaliana	Plants	373		False
P39995	P39995	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	279		False
Q18425	Q18425	Caenorhabditis elegans	Metazoa	473		False
Q4PLS0	Q4PLS0	Mus musculus	Metazoa	1046		False
Q8K339	Q8K339	Mus musculus	Metazoa	391		False
Q7RYM5	Q7RYM5	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	292		False
A0SVK0	A0SVK0	Arabidopsis thaliana	Plants	291		False
P25367	P25367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405		False
O43006	O43006	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	225		False
Q9FL12	Q9FL12	Arabidopsis thaliana	Plants	592		False
P23786	P23786	Homo sapiens	Metazoa	658		False
P83565	P83565	Rattus norvegicus	Metazoa	206		False
Q9C552	Q9C552	Arabidopsis thaliana	Plants	753		False
Q86YA3	Q86YA3	Homo sapiens	Metazoa	2104		False
Q96FI4	Q96FI4	Homo sapiens	Metazoa	390		False
Q9UM07	Q9UM07	Homo sapiens	Metazoa	663		False
Q91WA1	Q91WA1	Mus musculus	Metazoa	278		False
Q06152	Q06152	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274		False
P30987	P30987	Mus musculus	Metazoa	341		True
Q09184	Q09184	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	381		False
Q93227	Q93227	Caenorhabditis elegans	Metazoa	431		False
Q9Y221	Q9Y221	Homo sapiens	Metazoa	180		False
Q9VBW6	Q9VBW6	Drosophila melanogaster	Metazoa	678		False
Q1HG43	Q1HG43	Homo sapiens	Metazoa	343		True
P51556	P51556	Rattus norvegicus	Metazoa	727		False
O14497	O14497	Homo sapiens	Metazoa	2285		False
Q0DIQ5	Q0DIQ5	Oryza sativa subsp. japonica	Plants	1510		False
Q8IWZ4	Q8IWZ4	Homo sapiens	Metazoa	224		False
Q8IWA0	Q8IWA0	Homo sapiens	Metazoa	830		False
P54987	P54987	Mus musculus	Metazoa	488		False
Q8R4U1	Q8R4U1	Mus musculus	Metazoa	393		False
P42677	P42677	Homo sapiens	Metazoa	84		False
G5EEU2	G5EEU2	Caenorhabditis elegans	Metazoa	714		False
E1JH25	E1JH25	Drosophila melanogaster	Metazoa	1876		False
O65220	O65220	Arabidopsis thaliana	Plants	281		False
Q9NTI7	Q9NTI7	Homo sapiens	Metazoa	297		False
O95415	O95415	Homo sapiens	Metazoa	125		True
O13988	O13988	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	555		False
Q96IY1	Q96IY1	Homo sapiens	Metazoa	281		False
Q9HFR0	Q9HFR0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	437		False
P52890	P52890	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	566		False
Q9LX93	Q9LX93	Arabidopsis thaliana	Plants	301		True
Q9NPJ1	Q9NPJ1	Homo sapiens	Metazoa	570		False
P34219	P34219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	525		False
Q24167	Q24167	Drosophila melanogaster	Metazoa	1507		False
P53208	P53208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	328		False
Q07930	Q07930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	204		False
Q3U8K7	Q3U8K7	Mus musculus	Metazoa	883		False
Q03280	Q03280	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	3268		False
Q8IRH5	Q8IRH5	Drosophila melanogaster	Metazoa	733		False
P30943	P30943	Rhodomonas sp. (strain CS 24)	Other	104		False
Q9JM80	Q9JM80	Rattus norvegicus	Metazoa	424		True
Q6IDB0	Q6IDB0	Arabidopsis thaliana	Plants	193		False
Q9UTI4	Q9UTI4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	172		False
O13859	O13859	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	285		False
Q9Y3F4	Q9Y3F4	Homo sapiens	Metazoa	350		False
Q23794	Q23794	Chironomus tentans	Metazoa	99		False
Q9SRT0	Q9SRT0	Arabidopsis thaliana	Plants	460		False
Q9S752	Q9S752	Arabidopsis thaliana	Plants	388		False
Q99ML9	Q99ML9	Mus musculus	Metazoa	989		False
Q12457	Q12457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	570		False
O74854	O74854	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	872		False
Q06568	Q06568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	189		False
G5ECC7	G5ECC7	Caenorhabditis elegans	Metazoa	1264		False
P35680	P35680	Homo sapiens	Metazoa	557		False
Q945K7	Q945K7	Arabidopsis thaliana	Plants	374		False
Q9Y3B2	Q9Y3B2	Homo sapiens	Metazoa	195		False
P25638	P25638	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111		False
P19474	P19474	Homo sapiens	Metazoa	475		False
Q9P0R6	Q9P0R6	Homo sapiens	Metazoa	139		False
Q8VY52	Q8VY52	Arabidopsis thaliana	Plants	232		False
P47979	P47979	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	404		False
O74309	O74309	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	807		False
P38557	P38557	Arabidopsis thaliana	Plants	474		False
Q04430	Q04430	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		False
P36161	P36161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1157		False
Q9NXV6	Q9NXV6	Homo sapiens	Metazoa	580		False
Q12488	Q12488	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	208		False
Q9Y118	Q9Y118	Drosophila melanogaster	Metazoa	431		False
Q38HM4	Q38HM4	Mus musculus	Metazoa	350		False
Q16186	Q16186	Homo sapiens	Metazoa	407		False
Q8TEW0	Q8TEW0	Homo sapiens	Metazoa	1356		False
O17514	O17514	Caenorhabditis elegans	Metazoa	773		False
Q3UMU9	Q3UMU9	Mus musculus	Metazoa	669		False
Q9ESM6	Q9ESM6	Mus musculus	Metazoa	539		True
Q9ZT96	Q9ZT96	Arabidopsis thaliana	Plants	541		False
P33308	P33308	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	149		False
Q15678	Q15678	Homo sapiens	Metazoa	1187		False
Q9WTK8	Q9WTK8	Mus musculus	Metazoa	396		False
Q9ULV3	Q9ULV3	Homo sapiens	Metazoa	898		False
Q15543	Q15543	Homo sapiens	Metazoa	124		False
P42696	P42696	Homo sapiens	Metazoa	430		False
Q9ZNX9	Q9ZNX9	Arabidopsis thaliana	Plants	517		False
Q9FVW4	Q9FVW4	Arabidopsis thaliana	Plants	482		False
Q86X51	Q86X51	Homo sapiens	Metazoa	503		False
Q9CA42	Q9CA42	Arabidopsis thaliana	Plants	1085		False
Q9SQI2	Q9SQI2	Arabidopsis thaliana	Plants	1173		False
Q12338	Q12338	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	110		False
Q6GPH4	Q6GPH4	Homo sapiens	Metazoa	301		False
Q2T9J0	Q2T9J0	Homo sapiens	Metazoa	566		False
P70582	P70582	Rattus norvegicus	Metazoa	510		False
Q9W252	Q9W252	Drosophila melanogaster	Metazoa	1318		False
P46946	P46946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345		False
Q03193	Q03193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310		True
O95180	O95180	Homo sapiens	Metazoa	2353		False
Q9NRY6	Q9NRY6	Homo sapiens	Metazoa	295		False
Q12906	Q12906	Homo sapiens	Metazoa	894		False
O43822	O43822	Homo sapiens	Metazoa	256		False
P25583	P25583	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	335		False
P53063	P53063	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	387		False
P15924	P15924	Homo sapiens	Metazoa	2871		False
P38127	P38127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	377		True
Q5FWP4	Q5FWP4	Xenopus laevis	Metazoa	625		False
P0C6T3	P0C6T3	Rattus norvegicus	Metazoa	269		True
Q8N684	Q8N684	Homo sapiens	Metazoa	471		False
Q9CQT2	Q9CQT2	Mus musculus	Metazoa	265		False
Q9NSN8	Q9NSN8	Homo sapiens	Metazoa	517		False
P82162	P82162	Spinacia oleracea	Plants	195		False
Q6P2H3	Q6P2H3	Homo sapiens	Metazoa	762		False
P06509	P06509	Spinacia oleracea	Plants	272		False
Q09685	Q09685	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	411		False
Q06211	Q06211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1407		False
Q965W2	Q965W2	Caenorhabditis elegans	Metazoa	407		False
Q10740	Q10740	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	671		False
Q9LYD9	Q9LYD9	Arabidopsis thaliana	Plants	1096		False
O08608	O08608	Mus musculus	Metazoa	189		False
O60184	O60184	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1102		False
Q92900	Q92900	Homo sapiens	Metazoa	1129		False
Q8NI35	Q8NI35	Homo sapiens	Metazoa	1801		False
Q9H4Z3	Q9H4Z3	Homo sapiens	Metazoa	704		False
Q12259	Q12259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	485		False
Q8MUF9	Q8MUF9	Dictyostelium discoideum	Other	649		False
O75324	O75324	Homo sapiens	Metazoa	88		True
Q96AH0	Q96AH0	Homo sapiens	Metazoa	204		False
Q9S7I0	Q9S7I0	Arabidopsis thaliana	Plants	1307		False
P86924	P86924	Trypanosoma brucei brucei	Other	416		False
Q09856	Q09856	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	542		False
E9PYL2	E9PYL2	Mus musculus	Metazoa	2035		False
Q1ENB6	Q1ENB6	Arabidopsis thaliana	Plants	484		False
P25368	P25368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297		False
Q9WV02	Q9WV02	Mus musculus	Metazoa	391		False
P05549	P05549	Homo sapiens	Metazoa	437		False
Q9UU84	Q9UU84	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	426		False
O94740	O94740	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	466		False
Q9Y7Q6	Q9Y7Q6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	147		False
O94355	O94355	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240		False
Q9N5S3	Q9N5S3	Caenorhabditis elegans	Metazoa	365		False
P46972	P46972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177		False
A2A5K6	A2A5K6	Mus musculus	Metazoa	1337		False
P38172	P38172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	270		False
Q9NS91	Q9NS91	Homo sapiens	Metazoa	495		False
P53968	P53968	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	678		False
Q9P287	Q9P287	Homo sapiens	Metazoa	314		False
O94585	O94585	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	187		False
Q6UXY1	Q6UXY1	Homo sapiens	Metazoa	529		False
P83183	P83183	Eledone cirrhosa	Metazoa	84		False
P23179	P23179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	398		False
Q15057	Q15057	Homo sapiens	Metazoa	778		False
O74844	O74844	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244		False
Q8I615	Q8I615	Plasmodium falciparum (isolate 3D7)	Other	1189		False
P12852	P12852	Chlamydomonas reinhardtii	Plants	199		False
P41896	P41896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	400		False
Q99LG4	Q99LG4	Mus musculus	Metazoa	440		False
Q9VXG1	Q9VXG1	Drosophila melanogaster	Metazoa	1959		False
Q02950	Q02950	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	344		False
O94589	O94589	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	551		False
Q6ZMT4	Q6ZMT4	Homo sapiens	Metazoa	941		False
P39956	P39956	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	796		False
Q8GYU3	Q8GYU3	Arabidopsis thaliana	Plants	1465		False
B2D6M2	B2D6M2	Caenorhabditis elegans	Metazoa	612		False
O23210	O23210	Arabidopsis thaliana	Plants	486		False
Q39055	Q39055	Arabidopsis thaliana	Plants	390		False
Q40460	Q40460	Nicotiana tabacum	Plants	442		False
Q8GSM2	Q8GSM2	Hordeum vulgare	Plants	896		False
Q2KIR7	Q2KIR7	Bos taurus	Metazoa	295		False
