O74740	accession	Label	Set	CV_Fold	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
E9EWQ4	E9EWQ4	0	Training	4	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075)	Fungi	1004		False
Q8CDY7	Q8CDY7	0	Training	0	Mus musculus	Metazoa	219		False
Q8LD98	Q8LD98	0	Training	1	Arabidopsis thaliana	Plants	252		True
P30414	P30414	0	Training	2	Homo sapiens	Metazoa	1462		False
Q9Y6W5	Q9Y6W5	0	Training	3	Homo sapiens	Metazoa	498		False
Q99L90	Q99L90	0	Training	4	Mus musculus	Metazoa	462		False
Q96I59	Q96I59	0	Training	0	Homo sapiens	Metazoa	477		False
Q8N7J2	Q8N7J2	0	Training	1	Homo sapiens	Metazoa	671		False
P46940	P46940	0	Training	2	Homo sapiens	Metazoa	1657		False
O00566	O00566	0	Training	3	Homo sapiens	Metazoa	681		False
Q8IZL2	Q8IZL2	0	Training	4	Homo sapiens	Metazoa	1156		False
P15343	P15343	0	Training	0	Equus caballus	Metazoa	58		False
Q18237	Q18237	0	Training	1	Caenorhabditis elegans	Metazoa	1076		False
Q86YI8	Q86YI8	0	Training	2	Homo sapiens	Metazoa	300		False
Q8K3Y6	Q8K3Y6	0	Training	3	Rattus norvegicus	Metazoa	776		False
Q96EV2	Q96EV2	0	Training	4	Homo sapiens	Metazoa	1170		False
O65282	O65282	0	Training	0	Arabidopsis thaliana	Plants	253		False
Q8NBZ0	Q8NBZ0	0	Training	1	Homo sapiens	Metazoa	244		False
Q5FWF5	Q5FWF5	0	Training	2	Homo sapiens	Metazoa	840		False
P38291	P38291	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140		False
P32862	P32862	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1170		False
K4PW38	K4PW38	0	Training	0	Oryza sativa subsp. japonica	Plants	458		False
P49773	P49773	0	Training	1	Homo sapiens	Metazoa	126		False
P32841	P32841	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	428		False
Q02953	Q02953	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	609		False
Q9M2X3	Q9M2X3	0	Training	4	Arabidopsis thaliana	Plants	295		False
Q6CLY8	Q6CLY8	0	Training	0	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	Fungi	368		False
Q9VDE4	Q9VDE4	0	Training	1	Drosophila melanogaster	Metazoa	286		False
P07255	P07255	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	59		True
Q7M2P1	Q7M2P1	0	Training	3	Sus scrofa	Metazoa	76		False
Q3E747	Q3E747	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	85		False
S0DQI7	S0DQI7	0	Training	0	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831)	Fungi	316		False
P34234	P34234	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	306		False
Q03694	Q03694	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420		False
K7WDL7	K7WDL7	0	Training	3	Catharanthus roseus	Plants	388		False
Q7Z7K0	Q7Z7K0	0	Training	4	Homo sapiens	Metazoa	106		False
Q11120	Q11120	0	Training	0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	515		False
Q12066	Q12066	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484		False
O43765	O43765	0	Training	2	Homo sapiens	Metazoa	313		False
Q8VY52	Q8VY52	0	Training	3	Arabidopsis thaliana	Plants	232		False
B6HU70	B6HU70	0	Training	4	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	361		False
Q7FAD5	Q7FAD5	0	Training	0	Oryza sativa subsp. japonica	Plants	869		False
Q9NVR2	Q9NVR2	0	Training	1	Homo sapiens	Metazoa	710		False
P46959	P46959	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	383		False
P35435	P35435	0	Training	3	Rattus norvegicus	Metazoa	273		False
P68350	P68350	0	Training	4	Arabidopsis thaliana	Plants	175		False
P79937	P79937	0	Training	0	Xenopus laevis	Metazoa	390		False
Q5SXA9	Q5SXA9	0	Training	1	Mus musculus	Metazoa	1104		False
Q8RUN2	Q8RUN2	0	Training	2	Arabidopsis thaliana	Plants	213		False
Q06109	Q06109	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	277		False
B2RUZ4	B2RUZ4	0	Training	4	Homo sapiens	Metazoa	78		True
Q8TAS1	Q8TAS1	0	Training	0	Homo sapiens	Metazoa	419		False
P53277	P53277	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	215		False
Q8IWU4	Q8IWU4	0	Training	2	Homo sapiens	Metazoa	369		True
Q13015	Q13015	0	Training	3	Homo sapiens	Metazoa	90		False
P00107	P00107	0	Training	4	Diacronema lutheri	Other	83		False
P33441	P33441	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	392		False
Q9NYJ1	Q9NYJ1	0	Training	1	Homo sapiens	Metazoa	87		False
P32591	P32591	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	825		False
Q9GZT3	Q9GZT3	0	Training	3	Homo sapiens	Metazoa	109		False
Q14657	Q14657	0	Training	4	Homo sapiens	Metazoa	143		False
Q15847	Q15847	0	Training	0	Homo sapiens	Metazoa	76		False
Q6IBW4	Q6IBW4	0	Training	1	Homo sapiens	Metazoa	605		False
Q9H3F6	Q9H3F6	0	Training	2	Homo sapiens	Metazoa	313		False
P93025	P93025	0	Training	3	Arabidopsis thaliana	Plants	915		False
Q27403	Q27403	0	Training	4	Drosophila melanogaster	Metazoa	504		False
S8F0G9	S8F0G9	0	Training	0	Toxoplasma gondii (strain ATCC 50611 / Me49)	Other	920		False
Q9BUH6	Q9BUH6	0	Training	1	Homo sapiens	Metazoa	204		False
Q23243	Q23243	0	Training	2	Caenorhabditis elegans	Metazoa	845		False
P10156	P10156	0	Training	3	Tetrahymena thermophila (strain SB210)	Other	164		False
P40535	P40535	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587		False
Q5VWQ8	Q5VWQ8	0	Training	0	Homo sapiens	Metazoa	1189		False
P63098	P63098	0	Training	1	Homo sapiens	Metazoa	170		False
Q62209	Q62209	0	Training	2	Mus musculus	Metazoa	993		False
Q9NX20	Q9NX20	0	Training	3	Homo sapiens	Metazoa	251		False
Q8NDF8	Q8NDF8	0	Training	4	Homo sapiens	Metazoa	572		False
Q06188	Q06188	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	304		False
Q9LK76	Q9LK76	0	Training	1	Arabidopsis thaliana	Plants	389		False
O43058	O43058	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	663		False
Q04377	Q04377	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	747		False
P91278	P91278	0	Training	4	Caenorhabditis elegans	Metazoa	362		False
P24919	P24919	0	Training	0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	273		False
Q9H6F5	Q9H6F5	0	Training	1	Homo sapiens	Metazoa	360		False
P32569	P32569	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	687		False
Q9M4B5	Q9M4B5	0	Training	3	Arabidopsis thaliana	Plants	129		False
P32785	P32785	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	401		False
Q9D818	Q9D818	0	Training	0	Mus musculus	Metazoa	391		False
O74317	O74317	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	113		False
F4J7T2	F4J7T2	0	Training	2	Arabidopsis thaliana	Plants	1907		False
Q03776	Q03776	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	544		False
Q811H0	Q811H0	0	Training	4	Mus musculus	Metazoa	420		False
Q9LZ08	Q9LZ08	0	Training	0	Arabidopsis thaliana	Plants	214		False
O15226	O15226	0	Training	1	Homo sapiens	Metazoa	690		False
A6QPQ5	A6QPQ5	0	Training	2	Bos taurus	Metazoa	325		False
P47120	P47120	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	325		False
Q92619	Q92619	0	Training	4	Homo sapiens	Metazoa	1136		False
Q8RWE8	Q8RWE8	0	Training	0	Arabidopsis thaliana	Plants	442		False
O13834	O13834	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	3227		False
Q0WUY1	Q0WUY1	0	Training	2	Arabidopsis thaliana	Plants	534		False
Q9SCY2	Q9SCY2	0	Training	3	Arabidopsis thaliana	Plants	208		False
Q9BXS1	Q9BXS1	0	Training	4	Homo sapiens	Metazoa	227		False
Q08931	Q08931	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		False
P25364	P25364	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	564		False
O46101	O46101	0	Training	2	Drosophila melanogaster	Metazoa	244		True
P54939	P54939	0	Training	3	Gallus gallus	Metazoa	2541		False
Q86UA6	Q86UA6	0	Training	4	Homo sapiens	Metazoa	219		False
P34708	P34708	0	Training	0	Caenorhabditis elegans	Metazoa	1110		False
Q8K339	Q8K339	0	Training	1	Mus musculus	Metazoa	391		False
P97303	P97303	0	Training	2	Mus musculus	Metazoa	839		False
P28803	P28803	0	Training	3	Spinacia oleracea	Plants	128		False
O74518	O74518	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	336		False
Q9FFK6	Q9FFK6	0	Training	0	Arabidopsis thaliana	Plants	810		False
Q9BWU0	Q9BWU0	0	Training	1	Homo sapiens	Metazoa	742		False
E1BUG7	E1BUG7	0	Training	2	Gallus gallus	Metazoa	690		False
P10105	P10105	0	Training	3	Drosophila melanogaster	Metazoa	629		False
P47141	P47141	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266		False
Q86YD1	Q86YD1	0	Training	0	Homo sapiens	Metazoa	416		False
Q94JU3	Q94JU3	0	Training	1	Arabidopsis thaliana	Plants	260		False
F4I2J8	F4I2J8	0	Training	2	Arabidopsis thaliana	Plants	716		False
Q2TB10	Q2TB10	0	Training	3	Homo sapiens	Metazoa	664		False
Q93VT9	Q93VT9	0	Training	4	Arabidopsis thaliana	Plants	220		False
P18576	P18576	0	Training	0	Rattus norvegicus	Metazoa	341		False
Q9P000	Q9P000	0	Training	1	Homo sapiens	Metazoa	198		False
Q9H204	Q9H204	0	Training	2	Homo sapiens	Metazoa	178		False
P38302	P38302	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140		False
Q6NWY9	Q6NWY9	0	Training	4	Homo sapiens	Metazoa	871		False
Q12062	Q12062	0	Training	0	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	643		False
Q04749	Q04749	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	426		False
Q06835	Q06835	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	107		False
D4A4P4	D4A4P4	0	Training	3	Rattus norvegicus	Metazoa	490		False
Q6NV75	Q6NV75	0	Training	4	Homo sapiens	Metazoa	609		True
Q9C5H9	Q9C5H9	0	Training	0	Arabidopsis thaliana	Plants	678		False
Q9HGP5	Q9HGP5	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	268		False
O15084	O15084	0	Training	2	Homo sapiens	Metazoa	1053		False
Q9UUM2	Q9UUM2	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	971		False
O75506	O75506	0	Training	4	Homo sapiens	Metazoa	76		False
P42847	P42847	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	217		False
Q921G6	Q921G6	0	Training	1	Mus musculus	Metazoa	680		False
Q06665	Q06665	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	692		False
B9DGU7	B9DGU7	0	Training	3	Arabidopsis thaliana	Plants	267		False
P87234	P87234	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	635		False
P82925	P82925	0	Training	0	Bos taurus	Metazoa	386		False
Q1ZXU0	Q1ZXU0	0	Training	1	Caenorhabditis elegans	Metazoa	205		False
Q12406	Q12406	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	477		False
P10852	P10852	0	Training	3	Mus musculus	Metazoa	526		True
P34260	P34260	0	Training	4	Caenorhabditis elegans	Metazoa	603		False
G5EDT1	G5EDT1	0	Training	0	Caenorhabditis elegans	Metazoa	961		False
Q5VWG9	Q5VWG9	0	Training	1	Homo sapiens	Metazoa	929		False
P32494	P32494	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	702		False
Q6PDS3	Q6PDS3	0	Training	3	Mus musculus	Metazoa	724		False
Q9VAM5	Q9VAM5	0	Training	4	Drosophila melanogaster	Metazoa	872		False
Q8SWR3	Q8SWR3	0	Training	0	Drosophila melanogaster	Metazoa	435		False
O93295	O93295	0	Training	1	Gallus gallus	Metazoa	493		True
P48437	P48437	0	Training	2	Mus musculus	Metazoa	737		False
F1NPG5	F1NPG5	0	Training	3	Gallus gallus	Metazoa	639		False
Q04867	Q04867	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	317		False
O81852	O81852	0	Training	0	Arabidopsis thaliana	Plants	916		False
Q9SIU2	Q9SIU2	0	Training	1	Arabidopsis thaliana	Plants	848		False
Q62868	Q62868	0	Training	2	Rattus norvegicus	Metazoa	1388		False
A0A0R4IMY7	A0A0R4IMY7	0	Training	3	Danio rerio	Metazoa	1470		False
Q19203	Q19203	0	Training	4	Caenorhabditis elegans	Metazoa	310		False
Q03782	Q03782	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	492		False
Q9VBW6	Q9VBW6	0	Training	1	Drosophila melanogaster	Metazoa	678		False
Q9HCJ1	Q9HCJ1	0	Training	2	Homo sapiens	Metazoa	492		True
A0A486WWJ9	A0A486WWJ9	0	Training	3	Caenorhabditis elegans	Metazoa	582		False
Q5XVF0	Q5XVF0	0	Training	4	Arabidopsis thaliana	Plants	666		False
Q9Z2T2	Q9Z2T2	0	Training	0	Rattus norvegicus	Metazoa	336		True
Q15058	Q15058	0	Training	1	Homo sapiens	Metazoa	1648		False
Q7KRI2	Q7KRI2	0	Training	2	Drosophila melanogaster	Metazoa	127		False
Q05131	Q05131	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	434		True
Q8BMA5	Q8BMA5	0	Training	4	Mus musculus	Metazoa	1420		False
B1AUS7	B1AUS7	0	Training	0	Mus musculus	Metazoa	101		False
E9Q7G0	E9Q7G0	0	Training	1	Mus musculus	Metazoa	2094		False
P54113	P54113	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	591		False
Q37708	Q37708	0	Training	3	Artemia franciscana	Metazoa	219		True
P46678	P46678	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594		False
P53233	P53233	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	369		False
Q9UJ42	Q9UJ42	0	Training	1	Homo sapiens	Metazoa	338		True
Q8T0D4	Q8T0D4	0	Training	2	Drosophila melanogaster	Metazoa	299		False
Q4ZGE1	Q4ZGE1	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	61		True
Q9USR9	Q9USR9	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	643		False
F4JCX9	F4JCX9	0	Training	0	Arabidopsis thaliana	Plants	663		False
P82281	P82281	0	Training	1	Arabidopsis thaliana	Plants	349		False
B5X0I6	B5X0I6	0	Training	2	Arabidopsis thaliana	Plants	1091		False
Q08278	Q08278	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	222		False
Q8WYH8	Q8WYH8	0	Training	4	Homo sapiens	Metazoa	240		False
Q8GXA4	Q8GXA4	0	Training	0	Arabidopsis thaliana	Plants	489		False
Q1MTR4	Q1MTR4	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	424		False
Q10426	Q10426	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1040		False
O94417	O94417	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	301		False
Q13285	Q13285	0	Training	4	Homo sapiens	Metazoa	461		False
Q96IZ2	Q96IZ2	0	Training	0	Homo sapiens	Metazoa	230		True
Q08959	Q08959	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	321		False
Q6NZ36	Q6NZ36	0	Training	2	Homo sapiens	Metazoa	180		False
Q06089	Q06089	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161		True
O08608	O08608	0	Training	4	Mus musculus	Metazoa	189		False
P15340	P15340	0	Training	0	Gallus gallus	Metazoa	62		False
P18412	P18412	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	486		False
Q8CIN9	Q8CIN9	0	Training	2	Rattus norvegicus	Metazoa	362		False
P38227	P38227	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	689		False
Q09884	Q09884	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1374		False
O14464	O14464	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	93		False
W5U2K2	W5U2K2	0	Training	1	Catharanthus roseus	Plants	289		False
Q9LF79	Q9LF79	0	Training	2	Arabidopsis thaliana	Plants	1074		False
P38172	P38172	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	270		False
O60150	O60150	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	361		False
Q4E657	Q4E657	0	Training	0	Trypanosoma cruzi (strain CL Brener)	Other	485		False
Q9P7C8	Q9P7C8	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	214		False
O75478	O75478	0	Training	2	Homo sapiens	Metazoa	443		False
Q96M32	Q96M32	0	Training	3	Homo sapiens	Metazoa	723		False
Q7S4E7	Q7S4E7	0	Training	4	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	124		False
A0A0D1E3S6	A0A0D1E3S6	0	Training	0	Mycosarcoma maydis	Fungi	591		False
P38749	P38749	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	330		False
P38282	P38282	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291		False
P14907	P14907	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	823		False
Q8WXX7	Q8WXX7	0	Training	4	Homo sapiens	Metazoa	1259		False
Q8TF40	Q8TF40	0	Training	0	Homo sapiens	Metazoa	1166		False
P49842	P49842	0	Training	1	Homo sapiens	Metazoa	254		False
Q9C829	Q9C829	0	Training	2	Arabidopsis thaliana	Plants	440		False
P19634	P19634	0	Training	3	Homo sapiens	Metazoa	815		False
O00488	O00488	0	Training	4	Homo sapiens	Metazoa	134		False
Q8WVH0	Q8WVH0	0	Training	0	Homo sapiens	Metazoa	158		False
P94077	P94077	0	Training	1	Arabidopsis thaliana	Plants	189		False
Q673G8	Q673G8	0	Training	2	Danio rerio	Metazoa	837		False
Q9HD34	Q9HD34	0	Training	3	Homo sapiens	Metazoa	91		False
P60879	P60879	0	Training	4	Mus musculus	Metazoa	206		False
Q94AI4	Q94AI4	0	Training	0	Arabidopsis thaliana	Plants	775		False
Q9VS24	Q9VS24	0	Training	1	Drosophila melanogaster	Metazoa	994		False
Q7SA88	Q7SA88	0	Training	2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	439		False
Q01517	Q01517	0	Training	3	Pisum sativum	Plants	349		False
O74563	O74563	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	680		False
Q91YI6	Q91YI6	0	Training	0	Mus musculus	Metazoa	484		False
O74844	O74844	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244		False
P08417	P08417	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	488		False
Q8R3H9	Q8R3H9	0	Training	3	Mus musculus	Metazoa	386		False
O13395	O13395	0	Training	4	Mycosarcoma maydis	Fungi	1180		False
A0A7J6K338	A0A7J6K338	0	Training	0	Toxoplasma gondii	Other	504		True
Q12420	Q12420	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587		False
Q8L7F7	Q8L7F7	0	Training	2	Arabidopsis thaliana	Plants	739		False
Q8IXW5	Q8IXW5	0	Training	3	Homo sapiens	Metazoa	612		False
P14066	P14066	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	229		False
Q9NZ63	Q9NZ63	0	Training	0	Homo sapiens	Metazoa	289		False
Q80Z30	Q80Z30	0	Training	1	Rattus norvegicus	Metazoa	750		False
Q23405	Q23405	0	Training	2	Caenorhabditis elegans	Metazoa	842		False
P28066	P28066	0	Training	3	Homo sapiens	Metazoa	241		False
Q9VEC1	Q9VEC1	0	Training	4	Drosophila melanogaster	Metazoa	642		False
P32843	P32843	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	850		False
Q10274	Q10274	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	390		False
Q9ESJ1	Q9ESJ1	0	Training	2	Mus musculus	Metazoa	568		False
O78750	O78750	0	Training	3	Ovis aries	Metazoa	227		True
Q9Y314	Q9Y314	0	Training	4	Homo sapiens	Metazoa	301		False
Q9FFF5	Q9FFF5	0	Training	0	Arabidopsis thaliana	Plants	241		False
Q80WB5	Q80WB5	0	Training	1	Mus musculus	Metazoa	209		False
P22293	P22293	0	Training	2	Drosophila melanogaster	Metazoa	1325		False
Q6P3S6	Q6P3S6	0	Training	3	Homo sapiens	Metazoa	717		False
P0DPI2	P0DPI2	0	Training	4	Homo sapiens	Metazoa	268		False
Q96DE5	Q96DE5	0	Training	0	Homo sapiens	Metazoa	110		False
Q8NAV1	Q8NAV1	0	Training	1	Homo sapiens	Metazoa	312		False
Q9UST6	Q9UST6	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	198		False
Q03654	Q03654	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	590		False
P38169	P38169	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	460		False
Q8GT74	Q8GT74	0	Training	0	Arabidopsis thaliana	Plants	241		True
Q8L7E9	Q8L7E9	0	Training	1	Arabidopsis thaliana	Plants	421		False
C6SZ50	C6SZ50	0	Training	2	Glycine max	Plants	211		False
P53107	P53107	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	440		False
Q99816	Q99816	0	Training	4	Homo sapiens	Metazoa	390		False
Q5TAX3	Q5TAX3	0	Training	0	Homo sapiens	Metazoa	1644		False
O35914	O35914	0	Training	1	Mus musculus	Metazoa	961		False
Q8N9N2	Q8N9N2	0	Training	2	Homo sapiens	Metazoa	400		False
Q9UDX5	Q9UDX5	0	Training	3	Homo sapiens	Metazoa	166		True
Q96255	Q96255	0	Training	4	Arabidopsis thaliana	Plants	430		False
P09114	P09114	0	Training	0	Nicotiana tabacum	Plants	664		False
O60284	O60284	0	Training	1	Homo sapiens	Metazoa	1047		False
Q99JT1	Q99JT1	0	Training	2	Mus musculus	Metazoa	557		False
O94258	O94258	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	978		False
Q3HNG7	Q3HNG7	0	Training	4	Bos taurus	Metazoa	343		False
Q15388	Q15388	0	Training	0	Homo sapiens	Metazoa	145		True
Q6P4F7	Q6P4F7	0	Training	1	Homo sapiens	Metazoa	1023		False
Q84TH4	Q84TH4	0	Training	2	Arabidopsis thaliana	Plants	382		False
O94311	O94311	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	180		False
Q7SB95	Q7SB95	0	Training	4	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	117		False
B2C6R6	B2C6R6	0	Training	0	Arabidopsis thaliana	Plants	681		False
P05549	P05549	0	Training	1	Homo sapiens	Metazoa	437		False
Q59H18	Q59H18	0	Training	2	Homo sapiens	Metazoa	835		False
Q3E6R5	Q3E6R5	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	114		True
Q27539	Q27539	0	Training	4	Caenorhabditis elegans	Metazoa	221		False
O02751	O02751	0	Training	0	Bos taurus	Metazoa	592		False
Q9BUE6	Q9BUE6	0	Training	1	Homo sapiens	Metazoa	129		False
Q567V2	Q567V2	0	Training	2	Homo sapiens	Metazoa	206		True
P43583	P43583	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2143		False
Q5JNS0	Q5JNS0	0	Training	4	Oryza sativa subsp. japonica	Plants	379		False
P36159	P36159	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	838		False
O82264	O82264	0	Training	1	Arabidopsis thaliana	Plants	413		False
P42566	P42566	0	Training	2	Homo sapiens	Metazoa	896		False
P35639	P35639	0	Training	3	Mus musculus	Metazoa	168		False
Q9DCX2	Q9DCX2	0	Training	4	Mus musculus	Metazoa	161		False
P56216	P56216	0	Training	0	Penicillium simplicissimum	Fungi	560		False
O95696	O95696	0	Training	1	Homo sapiens	Metazoa	1058		False
Q8N684	Q8N684	0	Training	2	Homo sapiens	Metazoa	471		False
P46781	P46781	0	Training	3	Homo sapiens	Metazoa	194		False
Q92766	Q92766	0	Training	4	Homo sapiens	Metazoa	1687		False
Q9Y0E4	Q9Y0E4	0	Training	0	Drosophila melanogaster	Metazoa	2262		False
Q8LLD0	Q8LLD0	0	Training	1	Arabidopsis thaliana	Plants	1046		False
Q38AH0	Q38AH0	0	Training	2	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	370		False
Q9H633	Q9H633	0	Training	3	Homo sapiens	Metazoa	154		False
Q08622	Q08622	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	556		False
Q3TLD5	Q3TLD5	0	Training	0	Mus musculus	Metazoa	531		False
A0A8I6ASZ5	A0A8I6ASZ5	0	Training	1	Rattus norvegicus	Metazoa	666		False
Q96I36	Q96I36	0	Training	2	Homo sapiens	Metazoa	57		True
Q9Y808	Q9Y808	0	Training	3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1063		False
O80669	O80669	0	Training	4	Arabidopsis thaliana	Plants	141		False
Q9JJK4	Q9JJK4	0	Training	0	Rattus norvegicus	Metazoa	372		True
O95751	O95751	0	Training	1	Homo sapiens	Metazoa	146		False
