Q12396	Accession	Label	Set	CV_Fold
P15309	P15309	1	Training	1
P0DPU8	P0DPU8	1	Training	2
Q9LLT1	Q9LLT1	1	Training	3
B0XRV0	B0XRV0	1	Training	4
P01833	P01833	1	Training	0
P04706	P04706	1	Training	1
P00996	P00996	1	Training	2
P24807	P24807	1	Training	3
O76076	O76076	1	Training	4
Q8BSU2	Q8BSU2	1	Training	0
Q96PL1	Q96PL1	1	Training	1
P13806	P13806	1	Training	2
Q8MMH3	Q8MMH3	1	Training	3
P14625	P14625	1	Training	4
B0CPC6	B0CPC6	1	Training	0
P67861	P67861	1	Training	1
Q5F0I3	Q5F0I3	1	Training	2
P06028	P06028	1	Training	3
P18428	P18428	1	Training	4
P04275	P04275	1	Training	0
P00533	P00533	1	Training	1
Q55GS3	Q55GS3	1	Training	2
P29794	P29794	1	Training	3
Q9H5V8	Q9H5V8	1	Training	4
P54660	P54660	1	Training	0
Q9GQV7	Q9GQV7	1	Training	1
Q9ZT66	Q9ZT66	1	Training	2
P02672	P02672	1	Training	3
P02701	P02701	1	Training	4
Q99435	Q99435	1	Training	0
P81827	P81827	1	Training	1
P08514	P08514	1	Training	2
Q6DWK3	Q6DWK3	1	Training	3
P19594	P19594	1	Training	4
P05059	P05059	1	Training	0
P05160	P05160	1	Training	1
P81999	P81999	1	Training	2
P69770	P69770	1	Training	3
P0DL40	P0DL40	1	Training	4
O95866	O95866	1	Training	0
P43174	P43174	1	Training	1
P05113	P05113	1	Training	2
Q8ISL8	Q8ISL8	1	Training	3
Q78CF9	Q78CF9	1	Training	4
P62520	P62520	1	Training	0
Q8NBJ9	Q8NBJ9	1	Training	1
P00760	P00760	1	Training	2
P59665	P59665	1	Training	3
P08796	P08796	1	Training	4
Q86Y34	Q86Y34	1	Training	0
P20774	P20774	1	Training	1
Q4V4I9	Q4V4I9	1	Training	2
P13691	P13691	1	Training	3
Q60GF7	Q60GF7	1	Training	4
Q9NPF0	Q9NPF0	1	Training	0
P35613	P35613	1	Training	1
P41271	P41271	1	Training	2
P23142	P23142	1	Training	3
Q9P2K2	Q9P2K2	1	Training	4
Q5XM24	Q5XM24	1	Training	0
P25404	P25404	1	Training	1
Q03405	Q03405	1	Training	2
P24821	P24821	1	Training	3
P20062	P20062	1	Training	4
Q99969	Q99969	1	Training	0
P22412	P22412	1	Training	1
Q968Z6	Q968Z6	1	Training	2
P50448	P50448	1	Training	3
P19425	P19425	1	Training	4
P07712	P07712	1	Training	0
P55203	P55203	1	Training	1
P53616	P53616	1	Training	2
Q9GZX6	Q9GZX6	1	Training	3
P28798	P28798	1	Training	4
Q29422	Q29422	1	Training	0
P07994	P07994	1	Training	1
Q86LE5	Q86LE5	1	Training	2
O46162	O46162	1	Training	3
P48816	P48816	1	Training	4
Q7TQN3	Q7TQN3	1	Training	0
P05164	P05164	1	Training	1
Q13162	Q13162	1	Training	2
